schema,object_name,object_type,caller_path,caller_class,evidence
auth,audit_log_entries,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,custom_oauth_providers,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,flow_state,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,identities,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,instances,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,mfa_amr_claims,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,mfa_challenges,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,mfa_factors,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,oauth_authorizations,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,oauth_client_states,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,oauth_clients,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,oauth_consents,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,one_time_tokens,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,refresh_tokens,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,refresh_tokens_id_seq,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,saml_providers,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,saml_relay_states,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,schema_migrations,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,sessions,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,sso_domains,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,sso_providers,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,users,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,webauthn_challenges,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
auth,webauthn_credentials,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
cron,job,RELATION,backend/mlb/scripts/database_audit/inventory_mlb_supabase_estate.py,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
cron,job,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
cron,job_run_details,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
extensions,pg_stat_statements,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
extensions,pg_stat_statements_info,RELATION,pre_pa_schema.sql,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
mlb,bvp_stats,RELATION,archive/cleanup_backups/20250926-022228/mlb-src-deprecated/utils/buildFeatureVector.js,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
mlb,bvp_stats,RELATION,archive/defunct_20250926_090506/mlb_backend/scripts/generateBvpStats.js,ACTIVE_SHARED_INFRASTRUCTURE_CALLER,exact schema/name or client table literal
