scope,metric,estimate,ci_95_lower,ci_95_upper,bootstrap_fraction_favoring_c,negative_delta_means,bootstrap_reps,seed
FULL_12,C_MEAN_MINUS_RAW_MAE,0.09590365028518821,0.00792100198375746,0.1653296009448111,0.0174,C_BETTER,10000,20260829
FULL_12,C_MEDIAN_MINUS_RAW_MAE,0.02521227874245957,-0.020357737039132483,0.06640916689875385,0.1319,C_BETTER,10000,20260829
FULL_12,C_MINUS_RAW_RMSE,0.008090882627084461,-0.05184677498817938,0.0701484955629891,0.3892,C_BETTER,10000,20260829
FULL_12,C_MINUS_RAW_ABSOLUTE_BIAS,-0.20932044494693838,-0.7189206382309528,0.4754748951724174,0.7026,C_BETTER,10000,20260829
FULL_12,C_MINUS_RAW_CRPS,0.008271355025578853,-0.03721467746012221,0.04759101214308657,0.3401,C_BETTER,10000,20260829
FULL_12,C_MINUS_RAW_BRIER,0.0035949983384528372,-0.005386736088579254,0.010799919057733393,0.1835,C_BETTER,10000,20260829
FULL_12,C_MINUS_RAW_LOG_LOSS,0.007460202307530972,-0.010882838453732687,0.022124762097145638,0.1798,C_BETTER,10000,20260829
FIRST_8_REFERENCE,C_MEAN_MINUS_RAW_MAE,0.1282777034503395,0.008172286399237576,0.20694189050646283,0.0181,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MEDIAN_MINUS_RAW_MAE,0.060426856862641376,0.02444532802367939,0.08900205843481902,0.0007,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MINUS_RAW_RMSE,0.021727207402212123,-0.07257250782319014,0.11140635657283414,0.3137,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MINUS_RAW_ABSOLUTE_BIAS,-0.36122466711977635,-0.7276224882510283,0.6497002643532752,0.7381,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MINUS_RAW_CRPS,0.023540490530515434,-0.04362671923125838,0.07307656636537055,0.2192,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MINUS_RAW_BRIER,0.005137261131576254,-0.007824929444432832,0.01432908357086164,0.1845,C_BETTER,10000,20260825
FIRST_8_REFERENCE,C_MINUS_RAW_LOG_LOSS,0.010848148689303727,-0.01559661595757333,0.029382621744972977,0.1773,C_BETTER,10000,20260825
