term,A_CONTROL_coefficient,B_PARK_ONLY_coefficient,C_CONFIDENCE_ONLY_coefficient,D_LOW_DEPTH_coefficient
league_total,-0.01265250483616578,-0.009121384581001273,-0.007650561803718463,-0.007377931335224827
home_offense,0.01438300487029133,0.015087237812546086,0.015165920655995545,0.015161011157259598
home_prevention,-0.013582351836678185,-0.012296395860512854,-0.011540466649533098,-0.011551804231314383
away_offense,0.013564475744245507,0.01422722503703608,0.013775102685456396,0.0137783584727436
away_prevention,-0.013586090275206979,-0.012712933632803715,-0.011846246357311912,-0.011824413397986008
home_starter_ra9,0.013753975761015624,0.014250473464018296,0.014260987454727389,0.014303057616141852
away_starter_ra9,0.006799765020473005,0.00701805004626481,0.007002475915133584,0.007021940959486699
home_starter_prior_starts,0.012677233712015375,0.0006045472197127954,nan,nan
away_starter_prior_starts,0.0008268356527004493,-0.010872043168452675,nan,nan
home_expected_outs,-0.011065970207803344,-0.007414313935690596,-0.007361001572272555,-0.007365059471617398
away_expected_outs,0.007419496809107899,0.010418727359514813,0.0076670565942527575,0.007517685630347751
home_workload_uncertainty_outs,0.010362819278096425,0.010388781746984557,0.010736750416472023,0.010834896218853078
away_workload_uncertainty_outs,0.0014323801126656583,0.0013164015179776812,0.0019722974722490407,0.001812188688078412
home_bullpen_ra9,0.015070549615556185,0.01284178156967175,0.011500430968169254,0.011501527378982437
away_bullpen_ra9,0.010854280711089645,0.009848791942991162,0.008867486409897794,0.0088451402756002
home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.012382836433609365,-0.013262985030833062,-0.01326482769287063
away_bullpen_likely_available_reliever_count,0.003558827664027518,0.0021600145225947357,0.0020310716464405666,0.002007110387190432
home_bullpen_recent_innings_burden,-0.000834537374008508,-0.0022483806124508248,-0.0025168109530165667,-0.002500392214595576
away_bullpen_recent_innings_burden,0.007154814495771844,0.006149485167285061,0.006379359474389643,0.006346316698432979
strict_prior_total_run_factor,0.04347158492532503,0.0443690137870892,0.04519379965478723,0.045218025259556524
park_history_depth,-0.02681303790069205,nan,nan,nan
game_number,0.003839049993724805,0.003112184877286818,0.00341793920317846,0.0034111805495585412
home_starter_n0,nan,nan,nan,-0.000515992700546288
home_starter_n1_2,nan,nan,nan,-3.517676678766079e-06
away_starter_n0,nan,nan,nan,0.0010208243010761265
away_starter_n1_2,nan,nan,nan,-0.00074249175570067
INTERCEPT,2.1965397963878517,2.19667927644979,2.196727411099522,2.196732948066576
DISPERSION_ALPHA,0.12944479977012996,0.12977069284586348,0.12988346817423194,0.12988021930772453
