variant,dimension,decision
B_PARK_ONLY,STRUCTURAL_CORRECTNESS,FAIL
B_PARK_ONLY,COUNT_STATIONARITY,MIXED
B_PARK_ONLY,POINT_MAE,MIXED
B_PARK_ONLY,RMSE,PASS
B_PARK_ONLY,BIAS,PASS
B_PARK_ONLY,CRPS,PASS
B_PARK_ONLY,BRIER_LOGLOSS_ECE,PASS
B_PARK_ONLY,TEMPORAL_STABILITY,PASS
B_PARK_ONLY,BLOCK_ROBUSTNESS,MIXED
B_PARK_ONLY,COEFFICIENT_REASSIGNMENT_RISK,PASS
B_PARK_ONLY,SIMPLICITY_INTERPRETABILITY,PASS
C_CONFIDENCE_ONLY,STRUCTURAL_CORRECTNESS,PASS
C_CONFIDENCE_ONLY,COUNT_STATIONARITY,PASS
C_CONFIDENCE_ONLY,POINT_MAE,MIXED
C_CONFIDENCE_ONLY,RMSE,PASS
C_CONFIDENCE_ONLY,BIAS,PASS
C_CONFIDENCE_ONLY,CRPS,PASS
C_CONFIDENCE_ONLY,BRIER_LOGLOSS_ECE,PASS
C_CONFIDENCE_ONLY,TEMPORAL_STABILITY,PASS
C_CONFIDENCE_ONLY,BLOCK_ROBUSTNESS,MIXED
C_CONFIDENCE_ONLY,COEFFICIENT_REASSIGNMENT_RISK,PASS
C_CONFIDENCE_ONLY,SIMPLICITY_INTERPRETABILITY,PASS
D_LOW_DEPTH,STRUCTURAL_CORRECTNESS,PASS
D_LOW_DEPTH,COUNT_STATIONARITY,PASS
D_LOW_DEPTH,POINT_MAE,MIXED
D_LOW_DEPTH,RMSE,PASS
D_LOW_DEPTH,BIAS,PASS
D_LOW_DEPTH,CRPS,PASS
D_LOW_DEPTH,BRIER_LOGLOSS_ECE,PASS
D_LOW_DEPTH,TEMPORAL_STABILITY,PASS
D_LOW_DEPTH,BLOCK_ROBUSTNESS,MIXED
D_LOW_DEPTH,COEFFICIENT_REASSIGNMENT_RISK,PASS
D_LOW_DEPTH,SIMPLICITY_INTERPRETABILITY,MIXED
