variant,period,games,mae,rmse,actual_minus_forecast_bias,delta_mae_vs_control,delta_rmse_vs_control,delta_bias_vs_control,point_forecast_effect
A_CONTROL,FROZEN_2025_VALIDATION,2433,3.597206636166537,4.591661831793692,0.21504740002206743,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,2026_SEQUENTIAL_EARLY,1281,3.5209459692414056,4.500767948230816,0.5774332448470871,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,2026_LATE_HOLDOUT,439,3.6782613120044236,4.68092949277268,0.6610547573577193,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,PROSPECTIVE_AUG06_15,126,3.265726718124754,4.092129493546904,0.558992375399351,0.0,0.0,0.0,CONTROL_REFERENCE
B_PARK_ONLY,FROZEN_2025_VALIDATION,2433,3.609047729660149,4.581630238180419,0.022841271842263648,0.011841093493611954,-0.010031593613272882,-0.1922061281798038,MIXED
B_PARK_ONLY,2026_SEQUENTIAL_EARLY,1281,3.548085685155089,4.486066338698284,0.17030081717828816,0.02713971591368347,-0.014701609532532522,-0.407132427668799,MIXED
B_PARK_ONLY,2026_LATE_HOLDOUT,439,3.7588648957244715,4.664873737287822,0.17216178771991095,0.08060358372004783,-0.01605575548485838,-0.48889296963780837,MIXED
B_PARK_ONLY,PROSPECTIVE_AUG06_15,126,3.2843054088213197,4.0776241318382,0.023905626931632923,0.018578690696565925,-0.014505361708703646,-0.5350867484677181,MIXED
C_CONFIDENCE_ONLY,FROZEN_2025_VALIDATION,2433,3.6157122846687173,4.577408098000191,-0.0915221438093045,0.018505648502180172,-0.0142537337935007,-0.3065695438313719,MIXED
C_CONFIDENCE_ONLY,2026_SEQUENTIAL_EARLY,1281,3.5549530763792703,4.47925376644542,0.01306059625846816,0.0340071071378647,-0.021514181785396325,-0.564372648588619,MIXED
C_CONFIDENCE_ONLY,2026_LATE_HOLDOUT,439,3.765376544507537,4.644464224923119,-0.00880467162149965,0.08711523250311348,-0.036465267849560945,-0.669859428979219,MIXED
C_CONFIDENCE_ONLY,PROSPECTIVE_AUG06_15,126,3.27124467203617,4.047216838694606,-0.15533428351781042,0.005517953911416296,-0.044912654852297784,-0.7143266589171614,MIXED
D_LOW_DEPTH,FROZEN_2025_VALIDATION,2433,3.6160046162865176,4.5779057916968755,-0.08880232035263821,0.018797980119980462,-0.013756040096816413,-0.30384972037470565,MIXED
D_LOW_DEPTH,2026_SEQUENTIAL_EARLY,1281,3.5544338338833588,4.478977860862776,0.015561795541819596,0.03348786464195319,-0.021790087368040112,-0.5618714493052676,MIXED
D_LOW_DEPTH,2026_LATE_HOLDOUT,439,3.7655056703605734,4.644912909775722,-0.006360806738358838,0.08724435835614974,-0.03601658299695831,-0.6674155640960782,MIXED
D_LOW_DEPTH,PROSPECTIVE_AUG06_15,126,3.271716925462785,4.047770025679071,-0.15274119199537492,0.00599020733803135,-0.044359467867832514,-0.7117335673947259,MIXED
