variant,test,feature,raw_count_a,raw_count_b,forecast_a,forecast_b,absolute_difference,exact_invariance,count_stationarity,n0_forecast,n1_forecast,n2_forecast,n3_forecast,n100_forecast,n1_equals_n2,mature_n3_equals_n100,allowed_effect
A_CONTROL,MATURE_RAW_COUNT_PERTURBATION,park_history_depth,100,400,9.468720547516641,7.971990044731098,1.4967305027855433,False,FAIL,,,,,,,,
A_CONTROL,MATURE_RAW_COUNT_PERTURBATION,home_starter_prior_starts,10,120,8.784267266718407,9.608615215604285,0.8243479488858778,False,FAIL,,,,,,,,
A_CONTROL,MATURE_RAW_COUNT_PERTURBATION,away_starter_prior_starts,10,120,9.117225057078572,9.170977983270886,0.05375292619231331,False,FAIL,,,,,,,,
B_PARK_ONLY,MATURE_RAW_COUNT_PERTURBATION,park_history_depth,100,400,9.172810391988806,9.172810391988806,0.0,True,PARTIAL,,,,,,,,
B_PARK_ONLY,MATURE_RAW_COUNT_PERTURBATION,home_starter_prior_starts,10,120,9.15606102800809,9.19530973838238,0.039248710374289786,False,PARTIAL,,,,,,,,
B_PARK_ONLY,MATURE_RAW_COUNT_PERTURBATION,away_starter_prior_starts,10,120,9.309171831603486,8.616720996307864,0.692450835295622,False,PARTIAL,,,,,,,,
C_CONFIDENCE_ONLY,MATURE_RAW_COUNT_PERTURBATION,park_history_depth,100,400,9.219558871423628,9.219558871423628,0.0,True,PASS,,,,,,,,
C_CONFIDENCE_ONLY,MATURE_RAW_COUNT_PERTURBATION,home_starter_prior_starts,10,120,9.219558871423628,9.219558871423628,0.0,True,PASS,,,,,,,,
C_CONFIDENCE_ONLY,MATURE_RAW_COUNT_PERTURBATION,away_starter_prior_starts,10,120,9.219558871423628,9.219558871423628,0.0,True,PASS,,,,,,,,
D_LOW_DEPTH,MATURE_RAW_COUNT_PERTURBATION,park_history_depth,100,400,9.217205082575433,9.217205082575433,0.0,True,PASS,,,,,,,,
D_LOW_DEPTH,MATURE_RAW_COUNT_PERTURBATION,home_starter_prior_starts,10,120,9.217205082575433,9.217205082575433,0.0,True,PASS,,,,,,,,
D_LOW_DEPTH,MATURE_RAW_COUNT_PERTURBATION,away_starter_prior_starts,10,120,9.217205082575433,9.217205082575433,0.0,True,PASS,,,,,,,,
D_LOW_DEPTH,GOVERNED_LOW_DEPTH_STATE_TRANSITIONS,home_starter_prior_starts,,,,,,,PASS,9.195862118692226,9.217087385694775,9.217087385694775,9.217205082575433,9.217205082575433,True,True,ONLY_N0_N1_2_N3PLUS_STATE_BOUNDARIES
D_LOW_DEPTH,GOVERNED_LOW_DEPTH_STATE_TRANSITIONS,away_starter_prior_starts,,,,,,,PASS,9.25895840730183,9.19314023260933,9.19314023260933,9.217205082575433,9.217205082575433,True,True,ONLY_N0_N1_2_N3PLUS_STATE_BOUNDARIES
