metric,estimate,cluster_unit,date_clusters,bootstrap_reps,seed,ci_95_lower,ci_95_upper,fraction_draws_below_zero,fraction_draws_above_zero,interpretation
RAW_MAE,3.2657267181247542,GAME_DATE,10,10000,20260816,2.857513579576426,3.744739439033747,0.0,1.0,LOWER_IS_BETTER
RAW_RMSE,4.092129493546904,GAME_DATE,10,10000,20260816,3.6088062730880752,4.671803457584997,0.0,1.0,LOWER_IS_BETTER
RAW_BIAS,-0.558992375399351,GAME_DATE,10,10000,20260816,-1.068136732501363,-0.119442671401381,0.9958,0.0042,CLOSER_TO_ZERO_IS_BETTER
RAW_CRPS,2.313877718199234,GAME_DATE,10,10000,20260816,2.0555282802892654,2.634740880731217,0.0,1.0,LOWER_IS_BETTER
RAW_MINUS_BASELINE_A_MAE,-0.05925451174968047,GAME_DATE,10,10000,20260816,-0.13704604895448036,0.02672605657566053,0.9154,0.0846,NEGATIVE_FAVORS_RAW
RAW_MINUS_BASELINE_A_RMSE,-0.033353777452744815,GAME_DATE,10,10000,20260816,-0.15388585055358184,0.07623195174593696,0.6944,0.3056,NEGATIVE_FAVORS_RAW
RAW_MINUS_BASELINE_B_MAE,-0.07937005301541317,GAME_DATE,10,10000,20260816,-0.19573501688255227,0.03672382286770529,0.9101,0.0899,NEGATIVE_FAVORS_RAW
RAW_MINUS_BASELINE_B_RMSE,-0.037732696177573466,GAME_DATE,10,10000,20260816,-0.17925862953582458,0.0960944653213154,0.6769,0.3231,NEGATIVE_FAVORS_RAW
INTERCEPT_MINUS_RAW_CRPS,-0.028139562694001426,GAME_DATE,10,10000,20260816,-0.05908018623481199,0.001171990032270911,0.9708,0.0292,NEGATIVE_FAVORS_INTERCEPT
INTERCEPT_MINUS_RAW_ABSOLUTE_BIAS,-0.4935500000000005,GAME_DATE,10,10000,20260816,-0.4935500000000009,0.2546646571972385,0.913,0.087,NEGATIVE_FAVORS_INTERCEPT
