source,absolute_raw_model_market_separation_band,games,raw_mae,intercept_mae,market_mae,raw_model_closer,market_closer,ties,interpretation
PINNACLE,<0.5,65,3.4918394533301322,3.5578586653931037,3.453846153846154,27,38,0,CHARACTERIZATION_NOT_EDGE
PINNACLE,0.5-0.99,34,2.600657817943452,2.580788689382104,2.411764705882353,13,21,0,CHARACTERIZATION_NOT_EDGE
PINNACLE,1.0-1.49,13,3.531152009288066,3.4103496253863415,3.076923076923077,4,9,0,CHARACTERIZATION_NOT_EDGE
PINNACLE,1.5-1.99,4,3.2669006230944473,3.0201256230944473,2.5,1,3,0,CHARACTERIZATION_NOT_EDGE
PINNACLE,>=2.0,1,3.967023812722454,3.473473812722453,1.5,0,1,0,CHARACTERIZATION_NOT_EDGE
CANONICAL_MULTIBOOK_CONSENSUS,<0.5,67,3.551038806417446,3.6241277693825067,3.5186567164179103,28,39,0,CHARACTERIZATION_NOT_EDGE
CANONICAL_MULTIBOOK_CONSENSUS,0.5-0.99,39,2.7854066897217695,2.7375966103275595,2.58974358974359,14,25,0,CHARACTERIZATION_NOT_EDGE
CANONICAL_MULTIBOOK_CONSENSUS,1.0-1.49,12,3.647993433505107,3.48347676683844,3.0416666666666665,3,9,0,CHARACTERIZATION_NOT_EDGE
CANONICAL_MULTIBOOK_CONSENSUS,1.5-1.99,3,3.2917289693497995,3.1272123026831333,2.8333333333333335,1,2,0,CHARACTERIZATION_NOT_EDGE
CANONICAL_MULTIBOOK_CONSENSUS,>=2.0,1,3.967023812722454,3.473473812722453,1.5,0,1,0,CHARACTERIZATION_NOT_EDGE
