row_type,variant,line,probability_bin,rows,brier,log_loss,ece,mean_predicted_over_probability,observed_over_rate
OVERALL_GOVERNED_HALF_RUN_LADDER,RAW_V1,ALL,ALL,756,0.22434798471609654,0.6408382598645952,0.06835425792700746,0.3774129378401883,0.44576719576719576
GOVERNED_LINE,RAW_V1,6.5,ALL,126,0.21664697937675653,0.624464922855554,0.0931942881880236,0.6052184102246745,0.6984126984126984
GOVERNED_LINE,RAW_V1,7.5,ALL,126,0.24440612382543847,0.6816236189667353,0.053382967834610245,0.5021725877209452,0.5555555555555556
GOVERNED_LINE,RAW_V1,8.5,ALL,126,0.2538272221183659,0.7012001469029214,0.08648322945062596,0.40558026261286606,0.49206349206349204
GOVERNED_LINE,RAW_V1,9.5,ALL,126,0.2344899625616853,0.6621704239378133,0.061392658581884266,0.31955972237049673,0.38095238095238093
GOVERNED_LINE,RAW_V1,10.5,ALL,126,0.20547124736460348,0.6018567741386367,0.04748463342607369,0.2461661602247199,0.29365079365079366
GOVERNED_LINE,RAW_V1,11.5,ALL,126,0.19124637304972947,0.5737136723859104,0.06818777008082681,0.18578048388742713,0.25396825396825395
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.1,0.2)",103,0.18824872808499987,0.5688623214032351,0.07209402618067162,0.17062442042127013,0.24271844660194175
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.2,0.3)",182,0.2022108576186887,0.5946058485617889,0.03213993023226955,0.24807984998751068,0.2802197802197802
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.3,0.4)",153,0.2535972218534306,0.7012988871840025,0.09335030311645437,0.35109414132799005,0.4444444444444444
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.4,0.5)",132,0.2520719657598288,0.697338266772001,0.06840498182252491,0.4543222909047478,0.5227272727272727
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.5,0.6)",122,0.2375780952522134,0.6681819895494687,0.06638036337779285,0.5565704562943383,0.6229508196721312
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.6,0.7)",59,0.20379949541025477,0.5984123931243472,0.09663338295391466,0.6321801763681192,0.7288135593220338
FIXED_PROBABILITY_BIN,RAW_V1,ALL,"[0.7,0.8)",5,0.0665018184330614,0.29814520848539183,0.25776781803458115,0.7422321819654188,1.0
OVERALL_GOVERNED_HALF_RUN_LADDER,V1_INTERCEPT,ALL,ALL,756,0.22041427354092372,0.6317162581747379,0.025432414553353083,0.4203347812138426,0.44576719576719576
GOVERNED_LINE,V1_INTERCEPT,6.5,ALL,126,0.21065076523049361,0.6114384844304154,0.05930540423245703,0.6476749068488472,0.6984126984126984
GOVERNED_LINE,V1_INTERCEPT,7.5,ALL,126,0.24186720785071075,0.6762966149014641,0.0186449802059671,0.5482418693878598,0.5555555555555556
GOVERNED_LINE,V1_INTERCEPT,8.5,ALL,126,0.24800332920695525,0.6891471847996752,0.039735565177531205,0.45232792688596085,0.49206349206349204
GOVERNED_LINE,V1_INTERCEPT,9.5,ALL,126,0.23107091463278426,0.6546456154198824,0.034219541322154004,0.3644424811285307,0.38095238095238093
GOVERNED_LINE,V1_INTERCEPT,10.5,ALL,126,0.2032963969222924,0.596329685594752,0.028140973702886336,0.2873020530390986,0.29365079365079366
GOVERNED_LINE,V1_INTERCEPT,11.5,ALL,126,0.18759702740230613,0.5624399639022382,0.03194880397549524,0.22201944999275872,0.25396825396825395
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.1,0.2)",40,0.1614021778381995,0.5051936762875056,0.012840133446727103,0.1871598665532729,0.2
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.2,0.3)",172,0.1962628002890098,0.5817076312682499,0.017965526709001367,0.2494763337561149,0.26744186046511625
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.3,0.4)",147,0.22833868033152357,0.6488984830083199,0.014073866095306864,0.346470351591768,0.36054421768707484
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.4,0.5)",133,0.24912326248678185,0.6913730319233821,0.031074894701892897,0.44260931582442287,0.47368421052631576
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.5,0.6)",127,0.2469519537696053,0.6870405543510851,0.010095433280224886,0.5410856690819799,0.5511811023622047
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.6,0.7)",124,0.2177169033919457,0.6271920418402875,0.045617980937101565,0.6398658900306403,0.6854838709677419
FIXED_PROBABILITY_BIN,V1_INTERCEPT,ALL,"[0.7,0.8)",13,0.10468676652950631,0.38072136243433674,0.1909738843358918,0.7321030387410313,0.9230769230769231
