period,evidence_class,model_key,model_identity,model_hash,point_summary,games,mean_point_forecast,mean_actual,actual_minus_forecast_bias,mae,rmse,median_absolute_error,exact_total_hit_rate,within_1_run_rate,within_2_runs_rate,exact_hit_rate_interpretation,full_distribution_metrics_attached_once,crps,ladder_brier,ladder_log_loss,ladder_ece,distribution_metrics_contract
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEAN,2433,8.673156463520883,8.888203863542952,0.21504740002206743,3.597206636166537,4.591661831793692,3.047408729803241,0.0,0.1631730374023839,0.34114262227702424,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5315957786140326,0.22718558400314987,0.646296657014328,0.01646743865268339,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEDIAN,2433,8.143033292231813,8.888203863542952,0.7451705713111385,3.5787094122482532,4.654216849715525,3.0,0.07768187422934648,0.2704480065762433,0.42704480065762435,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MODE,2433,7.057131113851212,8.888203863542952,1.8310727496917385,3.694615700780929,4.9476918605775815,3.0,0.10850801479654747,0.26469379367036583,0.4504726674886971,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,2433,8.979726007352255,8.888203863542952,-0.0915221438093045,3.6157122846687173,4.577408098000191,3.0971460661878325,0.0,0.16440608302507193,0.32922318125770655,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5241640023600667,0.22641751218939213,0.6444313999739554,0.013561273605048127,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,2433,8.413070283600494,8.888203863542952,0.47513357994245786,3.5774763666255653,4.6103405995540525,3.0,0.07644882860665844,0.260583641594739,0.426222770242499,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,2433,7.288943690916564,8.888203863542952,1.599260172626387,3.642827784628031,4.860190839240242,3.0,0.10521989313604603,0.2667488697081792,0.4558158651870119,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEAN,1281,8.412418433529181,8.989851678376269,0.5774332448470871,3.5209459692414056,4.500767948230816,2.9810935109808403,0.0,0.18032786885245902,0.3622170179547229,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.049748805580974394,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEDIAN,1281,7.884465261514442,8.989851678376269,1.1053864168618266,3.5565964090554254,4.619478158226593,3.0,0.08821233411397346,0.2810304449648712,0.44028103044496486,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MODE,1281,6.821233411397346,8.989851678376269,2.168618266978923,3.75800156128025,4.977858861463694,3.0,0.10382513661202186,0.26697892271662765,0.43247462919594065,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,1281,8.976791082117801,8.989851678376269,0.01306059625846816,3.5549530763792703,4.47925376644542,3.1057167290986794,0.0,0.1834504293520687,0.33879781420765026,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.488193035061624,0.22495367973025673,0.6413549241148075,0.00455050885720445,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
