period,evidence_class,control_mean_forecast_band,model_key,model_identity,games,mean_forecast,median_forecast,mean_actual,mean_based_mae,median_based_mae,actual_minus_mean_bias,actual_minus_median_bias,c_mean_minus_control_mean_mae,c_median_minus_control_current_mean_mae,c_median_minus_control_median_mae,point_summary_reduction_in_c_delta
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,1,7.4730785603173135,7.0,9.0,1.5269214396826865,2.0,1.5269214396826865,2.0,-0.7920325495626965,-0.5269214396826865,-1.0,-0.2651111098800101
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,1,8.26511110988001,8.0,9.0,0.7348888901199899,1.0,0.7348888901199899,1.0,-0.7920325495626965,-0.5269214396826865,-1.0,-0.2651111098800101
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,186,7.866759037264501,7.0,8.575268817204302,3.4497633577266322,3.478494623655914,0.7085097799398008,1.575268817204301,0.03908278520128272,-0.003526798586847235,-0.032258064516129004,0.04260958378812996
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,186,8.33579947035704,7.946236559139785,8.575268817204302,3.488846142927915,3.446236559139785,0.23946934684726012,0.6290322580645161,0.03908278520128272,-0.003526798586847235,-0.032258064516129004,0.04260958378812996
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,858,8.270340466232598,7.983682983682984,8.750582750582751,3.519977238542111,3.5128205128205128,0.4802422843501525,0.7668997668997669,0.00905613839520436,-0.015315233880106138,-0.008158508158508049,0.0243713722753105
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,858,8.659710156968991,8.038461538461538,8.750582750582751,3.5290333769373152,3.5046620046620047,0.09087259361375963,0.7121212121212122,0.00905613839520436,-0.015315233880106138,-0.008158508158508049,0.0243713722753105
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,853,8.73748446574074,8.0,8.807737397420867,3.5987887674967842,3.5767878077373974,0.0702529316801282,0.8077373974208675,0.02396198000562988,-0.022000959759386873,0.0,0.04596293976501675
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,853,9.045159436954986,8.475967174677608,8.807737397420867,3.622750747502414,3.5767878077373974,-0.2374220395341193,0.33177022274325907,0.02396198000562988,-0.022000959759386873,0.0,0.04596293976501675
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,340,9.18320747183876,8.797058823529412,8.773529411764706,3.814467894083647,3.7470588235294118,-0.4096780600740533,-0.023529411764705882,0.04968360285754159,-0.029173776436588472,0.03823529411764692,0.07885737929413006
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,340,9.31657098856116,8.841176470588236,8.773529411764706,3.8641514969411888,3.7852941176470587,-0.5430415767964542,-0.06764705882352941,0.04968360285754159,-0.029173776436588472,0.03823529411764692,0.07885737929413006
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,88,9.73048217567934,9.0,10.409090909090908,4.081078871816927,4.136363636363637,0.6786087334115687,1.4090909090909092,-0.04519668871129667,-0.0242606899987452,-0.07954545454545503,-0.020935998712551473
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,88,9.716004568044061,9.147727272727273,10.409090909090908,4.03588218310563,4.056818181818182,0.6930863410468474,1.2613636363636365,-0.04519668871129667,-0.0242606899987452,-0.07954545454545503,-0.020935998712551473
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,107,10.313084813695475,9.77570093457944,10.289719626168225,3.391210521160095,3.317757009345794,-0.023365187527249802,0.514018691588785,-0.024093221915209462,-0.026724539851683993,0.04672897196261694,0.002631317936474531
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,107,10.474343091505405,9.766355140186915,10.289719626168225,3.3671172992448857,3.364485981308411,-0.18462346533718152,0.5233644859813084,-0.024093221915209462,-0.026724539851683993,0.04672897196261694,0.002631317936474531
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,12,7.383069782509213,7.0,7.5,3.4090685076959333,3.3333333333333335,0.1169302174907878,0.5,0.09621942495592206,0.09093149230406672,0.16666666666666652,0.005287932651855343
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,12,8.020085663684666,7.666666666666667,7.5,3.5052879326518553,3.5,-0.5200856636846675,-0.16666666666666666,0.09621942495592206,0.09093149230406672,0.16666666666666652,0.005287932651855343
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,295,7.8398045387334605,7.0,8.769491525423728,3.520810428603887,3.6203389830508477,0.9296869866902683,1.769491525423729,-0.033925559183018095,-0.022505343858124416,-0.12203389830508504,-0.011420215324893679
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,295,8.503105439301223,7.989830508474577,8.769491525423728,3.486884869420869,3.4983050847457626,0.2663860861225056,0.7796610169491526,-0.033925559183018095,-0.022505343858124416,-0.12203389830508504,-0.011420215324893679
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,523,8.23163642777618,7.980879541108987,8.665391969407265,3.3957620878659682,3.3804971319311665,0.43375554163108604,0.6845124282982792,0.06662880233337765,3.1411178008866614e-05,0.015296367112810572,0.06659739115536878
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,523,8.855591741843458,8.22944550669216,8.665391969407265,3.462390890199346,3.395793499043977,-0.1901997724361928,0.4359464627151052,0.06662880233337765,3.1411178008866614e-05,0.015296367112810572,0.06659739115536878
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,307,8.707503326130977,8.0,8.947882736156352,3.4230305980745817,3.469055374592834,0.24037941002537402,0.9478827361563518,0.029862842874844198,0.029738131567112358,-0.016286644951140072,0.00012471130773183958
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,307,9.209088537438532,8.732899022801304,8.947882736156352,3.452893440949426,3.452768729641694,-0.26120580128218013,0.21498371335504887,0.029862842874844198,0.029738131567112358,-0.016286644951140072,0.00012471130773183958
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,60,9.167150403294812,8.833333333333334,9.466666666666667,4.337305266284999,4.266666666666667,0.29951626337185566,0.6333333333333333,0.07392082213334383,0.029361400381667124,0.09999999999999964,0.04455942175167671
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,60,9.558792482056079,9.033333333333333,9.466666666666667,4.411226088418343,4.366666666666666,-0.09212581538941181,0.43333333333333335,0.07392082213334383,0.029361400381667124,0.09999999999999964,0.04455942175167671
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,37,9.812892055438706,9.0,12.297297297297296,4.914906598780278,5.135135135135135,2.4844052418585925,3.2972972972972974,0.11976115987302727,0.22022853635485706,0.0,-0.1004673764818298
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,37,10.137251712824442,9.432432432432432,12.297297297297296,5.034667758653305,5.135135135135135,2.1600455844728557,2.864864864864865,0.11976115987302727,0.22022853635485706,0.0,-0.1004673764818298
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,47,10.287519870985681,9.74468085106383,11.425531914893616,3.443405582403717,3.595744680851064,1.1380120439079366,1.6808510638297873,-0.009886330278994215,0.17361569419202771,0.021276595744680993,-0.18350202447102193
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,47,10.368972752323367,9.553191489361701,11.425531914893616,3.433519252124723,3.617021276595745,1.0565591625702502,1.872340425531915,-0.009886330278994215,0.17361569419202771,0.021276595744680993,-0.18350202447102193
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,14,7.42021180476048,7.0,9.642857142857142,3.1533411347896783,3.2142857142857144,2.222645338096662,2.642857142857143,0.00035458864358206554,0.060944579496036155,0.0,-0.06058999085245409
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,14,8.252242417466093,7.857142857142857,9.642857142857142,3.1536957234332603,3.2142857142857144,1.390614725391051,1.7857142857142858,0.00035458864358206554,0.060944579496036155,0.0,-0.06058999085245409
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,144,7.788793064095807,7.0,8.722222222222221,3.2318166171127456,3.3472222222222223,0.9334291581264154,1.7222222222222223,0.030024897652913385,-0.023483283779412112,-0.13888888888888884,0.0535081814323255
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,144,8.492055129931636,7.986111111111111,8.722222222222221,3.261841514765659,3.2083333333333335,0.23016709229058796,0.7361111111111112,0.030024897652913385,-0.023483283779412112,-0.13888888888888884,0.0535081814323255
