row_type,period,evidence_class,game_date,game_pk,model_key,model_identity,distribution_mean,distribution_median,market_total_line,absolute_mean_minus_market_line,absolute_median_minus_market_line,market_status,market_snapshot_timestamp_utc,sportsbook_provider,interpretation,games_with_governed_line,mean_absolute_mean_minus_market_line,mean_absolute_median_minus_market_line
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,822699,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.265037795601522,8.0,9.0,0.734962204398478,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,MyBookie.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,822863,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.827489310909554,7.0,7.5,0.327489310909554,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823024,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.443677350555572,7.0,8.5,1.0563226494444278,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823103,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.8947180797185945,7.0,7.0,0.8947180797185945,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823191,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.608556197600744,7.0,8.5,0.8914438023992561,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T18:17:44Z,DraftKings,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823266,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.601690081896365,7.0,8.0,0.39830991810363514,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823349,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.832949083727505,7.0,8.0,0.1670509162724949,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823428,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.95510950463879,8.0,7.5,1.4551095046387896,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823515,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.46329851065773,8.0,8.0,0.4632985106577294,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823750,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.42363777798358,7.0,8.0,0.57636222201642,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,MyBookie.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,823836,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.022280305933567,8.0,9.0,0.9777196940664332,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,824566,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.014511735444747,8.0,7.5,0.5145117354447475,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,824727,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.687350422018609,7.0,8.5,0.8126495779813911,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-07,825051,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.833589847119418,8.0,9.0,0.16641015288058192,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-07T12:48:57Z,Fanatics,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,822701,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.072224135388701,8.0,8.5,0.4277758646112986,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,822864,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.468102528769837,7.0,7.5,0.03189747123016318,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823021,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.134035547209486,8.0,8.5,0.36596445279051437,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823102,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.885864155224784,7.0,7.0,0.8858641552247839,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823188,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.778831052279777,7.0,8.0,0.22116894772022277,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823267,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.560184496283856,7.0,7.5,0.06018449628385625,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823348,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.830180028076708,7.0,9.0,1.1698199719232916,2.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823426,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.416837843170267,8.0,9.5,1.083162156829733,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823514,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.038424726877535,8.0,7.5,0.5384247268775351,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823752,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.619013617224341,7.0,8.0,0.3809863827756592,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,823834,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.176037468067737,8.0,7.5,0.6760374680677366,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,824079,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.809305867282964,8.0,9.5,0.6906941327170362,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,824565,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.8220269203190265,7.0,7.5,0.32202692031902647,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,824726,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.477831199072225,7.0,9.0,1.5221688009277754,2.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-08,825049,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.817123040561427,8.0,8.0,0.8171230405614267,0.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-08T15:47:16Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-09,822700,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8.470980840310636,8.0,9.0,0.5290191596893639,1.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-09T12:50:29Z,Bovada,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-09,822862,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.229695337915312,7.0,8.5,1.2703046620846878,1.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-09T12:50:29Z,Bovada,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-09,823020,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.807584415671609,7.0,9.0,1.1924155843283906,2.0,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-09T12:50:29Z,Bovada,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
GAME,PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,2026-08-09,823104,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,7.354764535222743,7.0,7.5,0.14523546477725713,0.5,TOTAL_MARKET_CERTIFIED_PAIRED,2026-08-09T15:47:41Z,LowVig.ag,DESCRIPTIVE_ONLY_NO_EDGE_OR_EV,,,
