period,evidence_class,model_key,model_identity,presentation,stored_precision_contract,mean_point_forecast,mean_actual,actual_minus_forecast_bias,mae,rmse,median_absolute_error,exact_total_hit_rate,within_1_run_rate,within_2_runs_rate,mae_minus_unrounded_mean,rmse_minus_unrounded_mean
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.673156463520883,8.888203863542952,0.21504740002206743,3.597206636166537,4.591661831793692,3.047408729803241,0.0,0.1631730374023839,0.34114262227702424,0.0,0.0
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.143033292231813,8.888203863542952,0.7451705713111385,3.5787094122482532,4.654216849715525,3.0,0.07768187422934648,0.2704480065762433,0.42704480065762435,-0.0184972239182839,0.06255501792183349
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.673168927250309,8.888203863542952,0.21503493629264286,3.5972018084669126,4.591657203923165,3.0469999999999997,0.0,0.16358405260994657,0.34114262227702424,-4.827699624510018e-06,-4.627870526796585e-06
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.979726007352255,8.888203863542952,-0.0915221438093045,3.6157122846687173,4.577408098000191,3.0971460661878325,0.0,0.16440608302507193,0.32922318125770655,0.0,0.0
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.413070283600494,8.888203863542952,0.47513357994245786,3.5774763666255653,4.6103405995540525,3.0,0.07644882860665844,0.260583641594739,0.426222770242499,-0.03823591804315196,0.03293250155386129
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.979731196054253,8.888203863542952,-0.09152733251130296,3.615720509658858,4.577414297824176,3.0969999999999995,0.0,0.16522811344019728,0.32922318125770655,8.224990140526245e-06,6.1998239848648495e-06
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.412418433529181,8.989851678376269,0.5774332448470871,3.5209459692414056,4.500767948230816,2.9810935109808403,0.0,0.18032786885245902,0.3622170179547229,0.0,0.0
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,7.884465261514442,8.989851678376269,1.1053864168618266,3.5565964090554254,4.619478158226593,3.0,0.08821233411397346,0.2810304449648712,0.44028103044496486,0.03565043981401983,0.11871020999577642
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.412416081186572,8.989851678376269,0.5774355971896956,3.520945355191257,4.500762352372882,2.981,0.0,0.18032786885245902,0.3622170179547229,-6.14050148506351e-07,-5.5958579343595716e-06
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.976791082117801,8.989851678376269,0.01306059625846816,3.5549530763792703,4.47925376644542,3.1057167290986794,0.0,0.1834504293520687,0.33879781420765026,0.0,0.0
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.410616705698672,8.989851678376269,0.5792349726775956,3.5378610460577673,4.53505730180768,3.0,0.0897736143637783,0.2724434035909446,0.4309133489461358,-0.01709203032150297,0.05580353536226035
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.976789227166277,8.989851678376269,0.013062451209992196,3.5549469164715073,4.479248060833,3.106,0.0,0.18423106947697113,0.33879781420765026,-6.159907762981476e-06,-5.705612419859563e-06
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.266052304145697,8.927107061503417,0.6610547573577193,3.6782613120044236,4.68092949277268,3.205711027258932,0.0,0.17084282460136674,0.3439635535307517,0.0,0.0
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,7.71753986332574,8.927107061503417,1.2095671981776766,3.6879271070615034,4.8081650372108635,3.0,0.0979498861047836,0.29157175398633256,0.40774487471526194,0.009665795057079762,0.1272355444381832
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.266022779043281,8.927107061503417,0.6610842824601367,3.678250569476082,4.6809226968461735,3.2059999999999995,0.0,0.17084282460136674,0.3439635535307517,-1.074252834154521e-05,-6.795926506875105e-06
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.935911733124916,8.927107061503417,-0.00880467162149965,3.765376544507537,4.644464224923119,3.3691256393977564,0.0,0.1366742596810934,0.3097949886104784,0.0,0.0
