feature,stage3_classification,stage4_role,included_in_core1,included_in_conservative_survivor,independent_addback_created
league_total,PARTIALLY_REPLACEABLE,MANDATORY_INDEPENDENT_ADDBACK_AND_SURVIVOR,False,True,True
home_offense,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_prevention,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_offense,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_prevention,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_starter_ra9,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_starter_ra9,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_starter_prior_starts,REGIME_DEPENDENT,MANDATORY_INDEPENDENT_ADDBACK_AND_SURVIVOR,False,True,True
away_starter_prior_starts,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_expected_outs,FULLY_REPLACEABLE,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_expected_outs,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_workload_uncertainty_outs,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_workload_uncertainty_outs,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_bullpen_ra9,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_bullpen_ra9,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_bullpen_likely_available_reliever_count,POTENTIALLY_REMOVABLE,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_bullpen_likely_available_reliever_count,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
home_bullpen_recent_innings_burden,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
away_bullpen_recent_innings_burden,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
strict_prior_total_run_factor,HIGH_CONFIDENCE_FOUNDATION_CANDIDATE,FOUNDATION,True,True,False
park_history_depth,REGIME_DEPENDENT,MANDATORY_INDEPENDENT_ADDBACK_AND_SURVIVOR,False,True,True
game_number,REDUNDANT_OR_NEAR_REDUNDANT,EXCLUDED_BY_MECHANICAL_RULE,False,False,False
