population,variant,games,mae,rmse,actual_minus_forecast_bias,mae_delta_candidate_minus_raw,rmse_delta_candidate_minus_raw,bias_delta_candidate_minus_raw
FROZEN_2025_VALIDATION,RAW,2433,3.5972066361665362,4.591661831793692,0.21504740002206743,0.0,0.0,0.0
FROZEN_2025_VALIDATION,CORE_1,2433,3.6043197217793943,4.5714614830559155,-0.052816750973716096,0.007113085612858061,-0.02020034873777643,-0.26786415099578353
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,2433,3.611427477774653,4.572325659609671,-0.11550560919225396,0.014220841608116874,-0.01933617218402084,-0.3305530092143214
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2433,3.594400739184281,4.5686903007102515,0.029405341394691357,-0.002805896982255085,-0.02297153108344041,-0.18564205862737607
FROZEN_2025_VALIDATION,CORE_1_PLUS_PARK_HISTORY_DEPTH,2433,3.5821513743628426,4.583345002437326,0.2927907317195994,-0.015055261803693654,-0.008316829356365574,0.07774333169753198
FROZEN_2025_VALIDATION,CONSERVATIVE_SURVIVOR_CORE,2433,3.589475212305055,4.585400694431458,0.2229703276166977,-0.007731423861481179,-0.006261137362233882,0.007922927594630258
2026_SEQUENTIAL_EARLY,RAW,1281,3.5209459692414056,4.500767948230816,0.5774332448470871,0.0,0.0,0.0
2026_SEQUENTIAL_EARLY,CORE_1,1281,3.5365731074423388,4.467127349350394,0.05235905775977495,0.0156271382009332,-0.0336405988804227,-0.5250741870873121
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_LEAGUE_TOTAL,1281,3.5410916491063977,4.466417426811279,-0.01258108333526281,0.02014567986499216,-0.03435052141953765,-0.59001432818235
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,1281,3.5324806591904223,4.47191121118424,0.1572594108745494,0.011534689949016741,-0.028856737046575986,-0.4201738339725377
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_PARK_HISTORY_DEPTH,1281,3.5184269633387157,4.496427195375323,0.5929434525390362,-0.0025190059026898304,-0.004340752855493513,0.015510207691949107
2026_SEQUENTIAL_EARLY,CONSERVATIVE_SURVIVOR_CORE,1281,3.5156738410247805,4.490291996234556,0.5717130417825581,-0.005272128216625038,-0.010475951996260058,-0.005720203064529028
2026_LATE_HOLDOUT,RAW,439,3.6782613120044236,4.68092949277268,0.6610547573577193,0.0,0.0,0.0
2026_LATE_HOLDOUT,CORE_1,439,3.7494406205065296,4.625133013800539,-0.014163719270957524,0.07117930850210596,-0.05579647897214102,-0.6752184766286768
2026_LATE_HOLDOUT,CORE_1_PLUS_LEAGUE_TOTAL,439,3.7595191645200345,4.625303098592789,-0.07312512431510228,0.0812578525156109,-0.05562639417989157,-0.7341798816728217
2026_LATE_HOLDOUT,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,439,3.7326344985117546,4.632447323457368,0.10230602750341594,0.05437318650733092,-0.04848216931531191,-0.5587487298543035
2026_LATE_HOLDOUT,CORE_1_PLUS_PARK_HISTORY_DEPTH,439,3.6663610657314383,4.662793635564733,0.6146121854488196,-0.01190024627298536,-0.018135857207947303,-0.04644257190889978
