population,variant,games,mae,rmse,actual_minus_forecast_bias,crps,baseline_contract
FROZEN_2025_VALIDATION,SIMPLE_STRICT_PRIOR_LEAGUE_TOTAL,2433,3.621969840596347,4.59565211145082,-0.08096777080380459,2.535705305624041,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
FROZEN_2025_VALIDATION,TEAM_SHRUNK_OFFENSE_PREVENTION,2433,3.624090439334451,4.576800816160541,-0.0808762842458292,2.526287132541797,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
FROZEN_2025_VALIDATION,RAW,2433,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,fitted model
FROZEN_2025_VALIDATION,CORE_1,2433,3.6043197217793943,4.5714614830559155,-0.052816750973716096,2.520562264620592,fitted model
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,2433,3.611427477774653,4.572325659609671,-0.11550560919225396,2.52123289805255,fitted model
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2433,3.594400739184281,4.5686903007102515,0.029405341394691357,2.5185205034726175,fitted model
FROZEN_2025_VALIDATION,CORE_1_PLUS_PARK_HISTORY_DEPTH,2433,3.5821513743628426,4.583345002437326,0.2927907317195994,2.5261386139969173,fitted model
FROZEN_2025_VALIDATION,CONSERVATIVE_SURVIVOR_CORE,2433,3.589475212305055,4.585400694431458,0.2229703276166977,2.527726431049543,fitted model
2026_SEQUENTIAL_EARLY,SIMPLE_STRICT_PRIOR_LEAGUE_TOTAL,1281,3.5748392371166746,4.514247600502934,0.026388215605406985,2.509244990766316,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
2026_SEQUENTIAL_EARLY,TEAM_SHRUNK_OFFENSE_PREVENTION,1281,3.5693799188205295,4.494879778184548,0.02536651893558063,2.4985743427678324,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
2026_SEQUENTIAL_EARLY,RAW,1281,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,fitted model
2026_SEQUENTIAL_EARLY,CORE_1,1281,3.5365731074423388,4.467127349350394,0.05235905775977495,2.481443931139117,fitted model
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_LEAGUE_TOTAL,1281,3.5410916491063977,4.466417426811279,-0.01258108333526281,2.4809125171411903,fitted model
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,1281,3.5324806591904223,4.47191121118424,0.1572594108745494,2.484384040002113,fitted model
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_PARK_HISTORY_DEPTH,1281,3.5184269633387157,4.496427195375323,0.5929434525390362,2.5014423647751287,fitted model
2026_SEQUENTIAL_EARLY,CONSERVATIVE_SURVIVOR_CORE,1281,3.5156738410247805,4.490291996234556,0.5717130417825581,2.4986888670631173,fitted model
2026_LATE_HOLDOUT,SIMPLE_STRICT_PRIOR_LEAGUE_TOTAL,439,3.7610231564988448,4.678119054953929,-0.05146951302201884,2.594260782000667,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
2026_LATE_HOLDOUT,TEAM_SHRUNK_OFFENSE_PREVENTION,439,3.7564238190439005,4.653123465731485,-0.048377752035648376,2.580763093144612,strict-prior feature-state point forecast; champion dispersion used only for descriptive CRPS
2026_LATE_HOLDOUT,RAW,439,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,fitted model
2026_LATE_HOLDOUT,CORE_1,439,3.7494406205065296,4.625133013800539,-0.014163719270957524,2.568263541072939,fitted model
