feature_order,feature,stage3_classification,authoritative_source
1,league_total,PARTIALLY_REPLACEABLE,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
2,home_offense,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
3,home_prevention,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
4,away_offense,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
5,away_prevention,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
6,home_starter_ra9,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
7,away_starter_ra9,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
8,home_starter_prior_starts,REGIME_DEPENDENT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
9,away_starter_prior_starts,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
10,home_expected_outs,FULLY_REPLACEABLE,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
11,away_expected_outs,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
12,home_workload_uncertainty_outs,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
13,away_workload_uncertainty_outs,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
14,home_bullpen_ra9,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
15,away_bullpen_ra9,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
16,home_bullpen_likely_available_reliever_count,POTENTIALLY_REMOVABLE,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
17,away_bullpen_likely_available_reliever_count,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
18,home_bullpen_recent_innings_burden,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
19,away_bullpen_recent_innings_burden,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
20,strict_prior_total_run_factor,HIGH_CONFIDENCE_FOUNDATION_CANDIDATE,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
21,park_history_depth,REGIME_DEPENDENT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
22,game_number,REDUNDANT_OR_NEAR_REDUNDANT,artifacts/analysis/model_development/mlb_totals_raw_champion_single_feature_replaceability_refit_v1/2026-08-29/stage3_feature_replaceability_classification.csv
