candidate_number,candidate_identity,omitted_direct_feature,retained_feature_count,retained_feature_order_pipe,training_rows,training_rows_identical_to_champion,model_class_hyperparameters_identical,scaler_refit_on_training_only,intercept_refit,dispersion_refit_by_original_contract,upstream_gating_support_shrinkage_fallback_preserved,evaluation_rows_or_outcomes_used_for_fit_selection_tuning,predeclared_interpretation_rule
1,RAW_MINUS_LEAGUE_TOTAL_REFIT_V1,league_total,21,home_offense|home_prevention|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
2,RAW_MINUS_HOME_OFFENSE_REFIT_V1,home_offense,21,league_total|home_prevention|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
3,RAW_MINUS_HOME_PREVENTION_REFIT_V1,home_prevention,21,league_total|home_offense|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
4,RAW_MINUS_AWAY_OFFENSE_REFIT_V1,away_offense,21,league_total|home_offense|home_prevention|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
5,RAW_MINUS_AWAY_PREVENTION_REFIT_V1,away_prevention,21,league_total|home_offense|home_prevention|away_offense|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
6,RAW_MINUS_HOME_STARTER_RA9_REFIT_V1,home_starter_ra9,21,league_total|home_offense|home_prevention|away_offense|away_prevention|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
7,RAW_MINUS_AWAY_STARTER_RA9_REFIT_V1,away_starter_ra9,21,league_total|home_offense|home_prevention|away_offense|away_prevention|home_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
8,RAW_MINUS_HOME_STARTER_PRIOR_STARTS_REFIT_V1,home_starter_prior_starts,21,league_total|home_offense|home_prevention|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|away_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
9,RAW_MINUS_AWAY_STARTER_PRIOR_STARTS_REFIT_V1,away_starter_prior_starts,21,league_total|home_offense|home_prevention|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|home_expected_outs|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
10,RAW_MINUS_HOME_EXPECTED_OUTS_REFIT_V1,home_expected_outs,21,league_total|home_offense|home_prevention|away_offense|away_prevention|home_starter_ra9|away_starter_ra9|home_starter_prior_starts|away_starter_prior_starts|away_expected_outs|home_workload_uncertainty_outs|away_workload_uncertainty_outs|home_bullpen_ra9|away_bullpen_ra9|home_bullpen_likely_available_reliever_count|away_bullpen_likely_available_reliever_count|home_bullpen_recent_innings_burden|away_bullpen_recent_innings_burden|strict_prior_total_run_factor|park_history_depth|game_number,4859,True,True,True,True,True,True,False,"independent RAW-minus-exactly-one-feature refit; no recursive removal, tuning, added proxy, group test, or evaluation-guided selection"
