omitted_feature,absorber_rank,candidate_absorber,retained,absolute_coefficient_change,direct_contribution_correlation,source_concept_overlap,forecast_response_similarity,overlap_bonus,absorption_score,absorption_evidence,causal_claim,map
league_total,1,park_history_depth,park_history_depth,0.0038525578624057713,-0.05870007725748071,DISTINCT_PRIMARY_STATE_FAMILIES,0.17333381511589482,0.0,0.5877400877188804,MODERATE,False,league_total -> park_history_depth
league_total,2,home_bullpen_ra9,home_bullpen_ra9,0.0025057710429357317,-0.005373279666023018,DISTINCT_PRIMARY_STATE_FAMILIES,0.37466955995092194,0.0,0.4150047134217602,WEAK,False,league_total -> home_bullpen_ra9
league_total,3,home_prevention,home_prevention,0.0011413192551988915,0.011861599580345848,DISTINCT_PRIMARY_STATE_FAMILIES,-0.40405578575582407,0.0,0.22591804336984017,NONE,False,league_total -> home_prevention
league_total,4,away_bullpen_recent_innings_burden,away_bullpen_recent_innings_burden,0.0013071732182279973,0.02865694526526627,DISTINCT_PRIMARY_STATE_FAMILIES,0.04453011306673843,0.0,0.1990259539117724,NONE,False,league_total -> away_bullpen_recent_innings_burden
league_total,5,home_bullpen_recent_innings_burden,home_bullpen_recent_innings_burden,0.0011325001596286161,-0.07187892313891027,DISTINCT_PRIMARY_STATE_FAMILIES,-0.11064630374606978,0.0,0.1926510514613626,NONE,False,league_total -> home_bullpen_recent_innings_burden
home_offense,1,away_prevention,away_prevention,0.0044370578495272275,-0.06264168288654877,SAME_GOVERNED_STATE_FAMILY,-0.07173566341537514,1.0,0.6732886860896161,MODERATE,False,home_offense -> away_prevention
home_offense,2,home_bullpen_ra9,home_bullpen_ra9,0.0030752817220310157,-0.48063869347064964,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.504452690701522,1.0,0.6529953030829739,MODERATE,False,home_offense -> home_bullpen_ra9
home_offense,3,home_prevention,home_prevention,0.0022380492269607304,0.4750619601465228,SAME_GOVERNED_STATE_FAMILY,0.49980012297459525,1.0,0.5474020693063018,WEAK,False,home_offense -> home_prevention
home_offense,4,away_offense,away_offense,0.0023650599465886175,-0.028480854356295604,SAME_GOVERNED_STATE_FAMILY,-0.028566394768697663,1.0,0.4031445313170299,WEAK,False,home_offense -> away_offense
home_offense,5,strict_prior_total_run_factor,strict_prior_total_run_factor,7.931507206122151e-05,-0.3939449527877441,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.43442868441594495,1.0,0.2537848733149173,NONE,False,home_offense -> strict_prior_total_run_factor
home_prevention,1,home_bullpen_ra9,home_bullpen_ra9,0.008632052573148082,-0.9136339772774433,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.9194600460859637,1.0,0.9706458023683832,CLEAR,False,home_prevention -> home_bullpen_ra9
home_prevention,2,strict_prior_total_run_factor,strict_prior_total_run_factor,0.0032997635101740183,-0.865241775266654,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.8784945423370552,1.0,0.6150703210665157,MODERATE,False,home_prevention -> strict_prior_total_run_factor
home_prevention,3,home_offense,home_offense,0.000698555278464269,0.4750619601465228,SAME_GOVERNED_STATE_FAMILY,0.4998001229745953,1.0,0.3144915697860504,NONE,False,home_prevention -> home_offense
home_prevention,4,away_offense,away_offense,0.002032444101266599,-0.057790986651756714,SAME_GOVERNED_STATE_FAMILY,-0.05525319437228008,1.0,0.2493454173937305,NONE,False,home_prevention -> away_offense
home_prevention,5,away_prevention,away_prevention,0.0013356164295738274,-0.06758571530811258,SAME_GOVERNED_STATE_FAMILY,-0.07876907334928906,1.0,0.21043266188171822,NONE,False,home_prevention -> away_prevention
away_offense,1,home_prevention,home_prevention,0.005612879620615397,-0.057790986651756714,SAME_GOVERNED_STATE_FAMILY,-0.05525319437228008,1.0,0.6698461764861934,MODERATE,False,away_offense -> home_prevention
away_offense,2,away_prevention,away_prevention,0.0035682513046385433,0.47801309785771556,SAME_GOVERNED_STATE_FAMILY,0.47444824453377266,1.0,0.6164189401804793,MODERATE,False,away_offense -> away_prevention
away_offense,3,away_bullpen_ra9,away_bullpen_ra9,0.001114514373337894,-0.4811915616710924,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.4788854235096946,1.0,0.3772811832231062,WEAK,False,away_offense -> away_bullpen_ra9
away_offense,4,home_offense,home_offense,0.0022289943501150947,-0.028480854356295604,SAME_GOVERNED_STATE_FAMILY,-0.028566394768697663,1.0,0.32839787432967105,NONE,False,away_offense -> home_offense
away_offense,5,strict_prior_total_run_factor,strict_prior_total_run_factor,0.0018869209671799544,0.04215163133876037,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.03675733468865021,1.0,0.29884127009788297,NONE,False,away_offense -> strict_prior_total_run_factor
away_prevention,1,away_bullpen_ra9,away_bullpen_ra9,0.00986458831704301,-0.9139191676077405,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.9107612870432088,1.0,0.9693980265780294,CLEAR,False,away_prevention -> away_bullpen_ra9
away_prevention,2,away_offense,away_offense,0.0014358586348126694,0.47801309785771556,SAME_GOVERNED_STATE_FAMILY,0.4744482445337727,1.0,0.346826136733438,NONE,False,away_prevention -> away_offense
away_prevention,3,home_offense,home_offense,0.0016964260206960118,-0.06264168288654877,SAME_GOVERNED_STATE_FAMILY,-0.07173566341537514,1.0,0.21787289795893516,NONE,False,away_prevention -> home_offense
away_prevention,4,home_prevention,home_prevention,0.0014952916493670178,-0.06758571530811258,SAME_GOVERNED_STATE_FAMILY,-0.07876907334928906,1.0,0.20870247153959565,NONE,False,away_prevention -> home_prevention
away_prevention,5,away_bullpen_recent_innings_burden,away_bullpen_recent_innings_burden,0.0007549512896971432,-0.044601029989525684,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.03984735384826159,1.0,0.15698960892470315,NONE,False,away_prevention -> away_bullpen_recent_innings_burden
home_starter_ra9,1,home_expected_outs,home_expected_outs,0.003972086392900021,0.21327141239887934,SAME_GOVERNED_STATE_FAMILY,0.22828328529755992,1.0,0.7268967752744099,MODERATE,False,home_starter_ra9 -> home_expected_outs
home_starter_ra9,2,home_prevention,home_prevention,0.003115599172909562,-0.2736219424325975,DISTINCT_PRIMARY_STATE_FAMILIES,-0.3001926327520607,0.0,0.5311586899290628,WEAK,False,home_starter_ra9 -> home_prevention
home_starter_ra9,3,home_bullpen_ra9,home_bullpen_ra9,0.0012121171243008773,0.20866654028599577,DISTINCT_PRIMARY_STATE_FAMILIES,0.23609770129667143,0.0,0.24498530424134302,NONE,False,home_starter_ra9 -> home_bullpen_ra9
home_starter_ra9,4,home_starter_prior_starts,home_starter_prior_starts,0.0002508117452183229,-0.12752484177622522,SAME_GOVERNED_STATE_FAMILY,-0.12717305653407832,1.0,0.17930989449241796,NONE,False,home_starter_ra9 -> home_starter_prior_starts
home_starter_ra9,5,home_workload_uncertainty_outs,home_workload_uncertainty_outs,0.00033097078624856786,0.06249550475979849,SAME_GOVERNED_STATE_FAMILY,0.06291629200116396,1.0,0.16776483609093606,NONE,False,home_starter_ra9 -> home_workload_uncertainty_outs
away_starter_ra9,1,away_expected_outs,away_expected_outs,0.0015145076732547445,-0.23494432964369236,SAME_GOVERNED_STATE_FAMILY,-0.25776735823539687,1.0,0.6275775622408094,MODERATE,False,away_starter_ra9 -> away_expected_outs
away_starter_ra9,2,away_prevention,away_prevention,0.0018848942085965287,-0.19779436682859744,DISTINCT_PRIMARY_STATE_FAMILIES,-0.1923885385233847,0.0,0.6184171541442273,MODERATE,False,away_starter_ra9 -> away_prevention
away_starter_ra9,3,away_bullpen_ra9,away_bullpen_ra9,0.0007914751270699915,0.14978607076283412,DISTINCT_PRIMARY_STATE_FAMILIES,0.1443281368374288,0.0,0.28255378328965747,NONE,False,away_starter_ra9 -> away_bullpen_ra9
away_starter_ra9,4,away_workload_uncertainty_outs,away_workload_uncertainty_outs,0.00028775119045731457,0.07281399897240004,SAME_GOVERNED_STATE_FAMILY,0.07328106638514104,1.0,0.20951890533058898,NONE,False,away_starter_ra9 -> away_workload_uncertainty_outs
away_starter_ra9,5,away_starter_prior_starts,away_starter_prior_starts,0.00010691180739986258,-0.12378804609068203,SAME_GOVERNED_STATE_FAMILY,-0.13154347018242174,1.0,0.17568530712338412,NONE,False,away_starter_ra9 -> away_starter_prior_starts
home_starter_prior_starts,1,park_history_depth,park_history_depth,0.007633303156048054,-0.17952113391735577,DISTINCT_PRIMARY_STATE_FAMILIES,-0.2031992881394629,0.0,0.6163841200043907,MODERATE,False,home_starter_prior_starts -> park_history_depth
home_starter_prior_starts,2,home_expected_outs,home_expected_outs,0.0033884599591691884,-0.31424512998312365,SAME_GOVERNED_STATE_FAMILY,-0.30074172830234397,1.0,0.4521079287253137,WEAK,False,home_starter_prior_starts -> home_expected_outs
home_starter_prior_starts,3,home_starter_ra9,home_starter_ra9,0.00011188634523500926,-0.12752484177622522,SAME_GOVERNED_STATE_FAMILY,-0.1271730565340783,1.0,0.15264263860302024,NONE,False,home_starter_prior_starts -> home_starter_ra9
home_starter_prior_starts,4,away_starter_prior_starts,away_starter_prior_starts,0.0003954297961625922,0.06128073099884276,SAME_GOVERNED_STATE_FAMILY,0.07212453156430369,1.0,0.15156660510829717,NONE,False,home_starter_prior_starts -> away_starter_prior_starts
home_starter_prior_starts,5,home_workload_uncertainty_outs,home_workload_uncertainty_outs,0.0004072189332752791,-0.0317278935899053,SAME_GOVERNED_STATE_FAMILY,-0.021896123152020688,1.0,0.13897121536629264,NONE,False,home_starter_prior_starts -> home_workload_uncertainty_outs
