population,omitted_feature,metric,date_clusters,bootstrap_draws,point_delta_candidate_minus_champion,ci95_low,ci95_high,fraction_favoring_candidate,fraction_favoring_champion,unadjusted_two_sided_bootstrap_p,seed
FROZEN_2025_VALIDATION,league_total,mae,185,10000,-0.004074534143397573,-0.007534362651211891,-0.0005848005648478774,0.9887,0.0113,0.0226,20260832
FROZEN_2025_VALIDATION,league_total,crps,185,10000,0.002253137056660404,0.0002544572253695355,0.004271353780989239,0.0124,0.9876,0.0248,20260832
FROZEN_2025_VALIDATION,league_total,brier,185,10000,0.00025537697682958237,2.378597290177163e-05,0.0004945717539436049,0.0136,0.9864,0.0272,20260832
FROZEN_2025_VALIDATION,league_total,log_loss,185,10000,0.00060926961885889,9.296027709604689e-05,0.001141945921663492,0.0099,0.9901,0.0198,20260832
FROZEN_2025_VALIDATION,home_offense,mae,185,10000,0.0018603349237694001,-0.0008053139455816169,0.004539245715824037,0.0832,0.9168,0.1664,20260832
FROZEN_2025_VALIDATION,home_offense,crps,185,10000,0.002226281766612449,0.0006866657787347457,0.00380671949249828,0.0019,0.9981,0.0038,20260832
FROZEN_2025_VALIDATION,home_offense,brier,185,10000,0.00021030406485881504,2.7763426153653356e-05,0.00039629605538382397,0.0116,0.9884,0.0232,20260832
FROZEN_2025_VALIDATION,home_offense,log_loss,185,10000,0.00047114434841698493,5.992290398022164e-05,0.0008919825844294206,0.012,0.988,0.024,20260832
FROZEN_2025_VALIDATION,home_prevention,mae,185,10000,-0.0005534757124893377,-0.0017430410548943606,0.0006129756110048677,0.8302,0.1698,0.3396,20260832
FROZEN_2025_VALIDATION,home_prevention,crps,185,10000,-0.0007925121977919948,-0.0014698048349189943,-0.00013585140269770554,0.9906,0.0094,0.0188,20260832
FROZEN_2025_VALIDATION,home_prevention,brier,185,10000,-7.452163598583608e-05,-0.00015459363168492538,3.5837106832516048e-06,0.9691,0.0309,0.0618,20260832
