feature,stage1_classification,stage2_structural_label,stage3_primary_label,aggregate_frozen_mae_delta,aggregate_refit_mae_delta,aggregate_frozen_crps_delta,aggregate_refit_crps_delta,mae_loss_recovery,crps_loss_recovery,worse_periods,temporal_status,classification_reason,irreducible_claimed
league_total,UNRESOLVED,UNRESOLVED,PARTIALLY_REPLACEABLE,-0.0035836074266821782,-0.0016245426139476216,0.008418909400190522,0.0027690815154572945,,0.6710878590290293,2,MIXED,refit recovers a material but incomplete fraction of frozen loss,False
home_offense,TEMPORALLY_UNSTABLE,TEMPORALLY_UNSTABLE,REDUNDANT_OR_NEAR_REDUNDANT,0.0007695944822749823,0.0008635508711742901,5.973990868080037e-05,0.0011664449183252934,-0.12208558021565495,-18.525388372416003,2,MIXED,both frozen and refit effects remain below material thresholds,False
home_prevention,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,COMPENSATING_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,-0.002574869609011543,-0.00017693757831827028,-0.0007526356098166431,-0.0006301445016267948,,,2,MOSTLY_STABLE,both frozen and refit effects remain below material thresholds,False
away_offense,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,POTENTIALLY_HARMFUL,REDUNDANT_OR_NEAR_REDUNDANT,-0.0005342671716181968,-0.0007018512689414003,-0.0012988226352192989,-0.00040796502678830393,,,1,STABLE,both frozen and refit effects remain below material thresholds,False
away_prevention,TEMPORALLY_UNSTABLE,TEMPORALLY_UNSTABLE,REDUNDANT_OR_NEAR_REDUNDANT,-0.0018775350883606379,0.00024357410063924334,-0.0006263711553535778,-0.0008053826001410691,,,0,REGIME_DEPENDENT,both frozen and refit effects remain below material thresholds,False
home_starter_ra9,TEMPORALLY_UNSTABLE,TEMPORALLY_UNSTABLE,REDUNDANT_OR_NEAR_REDUNDANT,0.0026858886124196957,0.0006466873180466237,0.0006532727902928137,0.0008214444243197505,0.7592277970663763,-0.2574294177346005,3,REGIME_DEPENDENT,both frozen and refit effects remain below material thresholds,False
away_starter_ra9,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,0.0014606426849730347,0.0003791992716379866,0.0003390213331320169,0.0002309645796447768,0.7403887511030892,0.31873142757409356,3,STABLE,both frozen and refit effects remain below material thresholds,False
home_starter_prior_starts,UNRESOLVED,CONDITIONAL_DEPENDENCE,REGIME_DEPENDENT,-0.007831231129259209,-0.002911550664731699,0.008872506532278113,-0.0039499836294907276,,1.4451936569582358,1,REGIME_DEPENDENT,refit direction or recovery changes materially by evaluation period,False
away_starter_prior_starts,UNRESOLVED,CONDITIONAL_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,-0.0001571741843022778,0.00033051874288814176,0.0007543719872544763,9.578477546146047e-05,,0.8730271310708826,3,STABLE,both frozen and refit effects remain below material thresholds,False
home_expected_outs,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,FULLY_REPLACEABLE,0.003372638633839742,0.00030063157699444787,0.002196015713179289,-0.000601109848815895,0.9108616102602788,1.2737274807317458,1,REGIME_DEPENDENT,meaningful frozen dependence disappears inside neutral refit thresholds,False
away_expected_outs,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,POTENTIALLY_HARMFUL,REDUNDANT_OR_NEAR_REDUNDANT,-0.002627834569932208,-0.0032634132994524556,-0.001396170556499765,-0.0016019823804609423,,,0,MOSTLY_STABLE,both frozen and refit effects remain below material thresholds,False
home_workload_uncertainty_outs,UNRESOLVED,UNRESOLVED,REDUNDANT_OR_NEAR_REDUNDANT,0.00024407528919523358,-0.000992917239330815,-0.0004856325868907163,-0.0006961239603260339,5.068077692767127,,1,REGIME_DEPENDENT,both frozen and refit effects remain below material thresholds,False
away_workload_uncertainty_outs,NEUTRAL_IN_FROZEN_CHAMPION,WEAK_OR_NEUTRAL,REDUNDANT_OR_NEAR_REDUNDANT,0.0001692274420030948,9.636481914299111e-05,-5.9975541817802736e-05,-4.9970691500700326e-05,0.43056032755474255,,2,STABLE,both frozen and refit effects remain below material thresholds,False
home_bullpen_ra9,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,0.0030833819922242434,-2.0211191616770208e-05,0.0016202716226585423,-0.0011382446513263922,1.0065548776206579,1.7025023677565616,0,MOSTLY_STABLE,both frozen and refit effects remain below material thresholds,False
away_bullpen_ra9,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,0.0014644643948562575,0.000470141369889987,0.0009636591632573577,-0.0006273047061347015,0.6789670192451943,1.650961180106759,0,STABLE,both frozen and refit effects remain below material thresholds,False
home_bullpen_likely_available_reliever_count,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,POTENTIALLY_HARMFUL,POTENTIALLY_REMOVABLE,-0.006440654827799097,-0.005479244800215444,-0.0049037770225428545,-0.0025739425792701276,,,0,MOSTLY_STABLE,refit improves aggregate point and distribution scores without broad temporal harm,False
away_bullpen_likely_available_reliever_count,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,0.0010845218225159492,0.00022566305637372608,0.0008019852877381162,-0.00023180503278963371,0.7919239136652712,1.2890390089865693,1,REGIME_DEPENDENT,both frozen and refit effects remain below material thresholds,False
home_bullpen_recent_innings_burden,NEUTRAL_IN_FROZEN_CHAMPION,WEAK_OR_NEUTRAL,REDUNDANT_OR_NEAR_REDUNDANT,0.0002260060399650321,0.0001884485703889105,7.925813545162086e-05,0.0001115000087632545,0.16617905247989184,-0.40679575828924297,2,STABLE,both frozen and refit effects remain below material thresholds,False
away_bullpen_recent_innings_burden,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,POTENTIALLY_HARMFUL,REDUNDANT_OR_NEAR_REDUNDANT,-0.0012042149772559796,-0.0005584687423483281,-0.0006941165975340446,-0.0005637071659712056,,,0,REGIME_DEPENDENT,both frozen and refit effects remain below material thresholds,False
strict_prior_total_run_factor,STRONGLY_REQUIRED_IN_FROZEN_CHAMPION,POSSIBLE_FOUNDATION,HIGH_CONFIDENCE_FOUNDATION_CANDIDATE,0.03349483496274486,0.01671135765915288,0.01585600558045952,0.011714157918133683,0.5010765785906889,0.2612163348018829,4,MOSTLY_STABLE,"meaningful frozen and refit loss, temporal coherence, and Stage-2 overlap survival",False
park_history_depth,TEMPORALLY_UNSTABLE,REDUNDANT_DEPENDENCE,REGIME_DEPENDENT,0.07797731920835549,0.026152464812247533,-0.0016073905818720924,-0.0068666119578999485,0.6646144663890263,,1,REGIME_DEPENDENT,refit direction or recovery changes materially by evaluation period,False
game_number,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,UNIQUE_DEPENDENCE,REDUNDANT_OR_NEAR_REDUNDANT,0.0007988774334886095,0.00031725377963409684,0.00013278342491895856,-0.00012508869144989276,0.602875527164806,1.9420504970875536,3,MOSTLY_STABLE,both frozen and refit effects remain below material thresholds,False
