feature,population,stage1_frozen_mae_delta,stage3_refit_mae_delta,stage1_frozen_rmse_delta,stage3_refit_rmse_delta,stage1_frozen_crps_delta,stage3_refit_crps_delta,stage1_frozen_brier_delta,stage3_refit_brier_delta,stage1_frozen_log_loss_delta,stage3_refit_log_loss_delta,stage1_frozen_absolute_bias_delta,stage3_refit_actual_minus_forecast_bias_delta,upstream_role_preserved
league_total,FROZEN_2025_VALIDATION,-0.006854966870309731,-0.0040745341433972015,0.009587724026429711,0.004159241968142879,0.005302411811632268,0.0022531370566603037,0.0005804709675478747,0.0002553769768295633,0.0014006975947897793,0.0006092696188588764,0.1477945797397032,0.07719348578956495,True
home_offense,FROZEN_2025_VALIDATION,0.0012389423353882378,0.00186033492377069,0.003317357703117807,0.004669179408367974,0.0013918994475519142,0.0022262817666121038,9.017421441967488e-05,0.00021030406485883502,0.00021160558596167167,0.00047114434841699637,-0.01858801082343728,-0.0020853653166282016,True
home_prevention,FROZEN_2025_VALIDATION,-0.0034120336780030236,-0.0005534757124889822,-0.0009751607545886998,-0.0015717439863829341,-0.0006435231812189635,-0.0007925121977923055,-9.585371067799553e-05,-7.452163598581363e-05,-0.0001561795650011355,-0.00016840129785644642,0.00965144080229513,-0.00143453759477144,True
away_offense,FROZEN_2025_VALIDATION,-0.00020092696756091044,-0.0010812055742714932,-0.001617741891500657,-0.0015204570625746427,-0.0008514641015509028,-0.0007476878277405952,-0.00010707089425276983,-9.283941145429853e-05,-0.0002527909807401585,-0.00020523631776159235,-0.013793013546336497,-0.0016759997907090096,True
away_prevention,FROZEN_2025_VALIDATION,-0.0008977667135097178,0.0007662660913267949,-0.0004764594391275523,-0.0005562526464233386,-0.00013361632776787147,-0.00019363790844550977,9.676158109955812e-06,-3.898481406833243e-06,9.929020224230811e-06,-2.2628133986235532e-05,0.015006763740119722,-0.004983370091526967,True
home_starter_ra9,FROZEN_2025_VALIDATION,0.004143655184650985,0.0011801257097929785,0.0028145093834668344,0.0022707719460006714,0.0019132562041286327,0.0013475698617693155,0.00023082579406233372,0.00015270175668091746,0.0005095817407666514,0.00035481827033723157,-0.010222798177415532,0.0053216299142477275,True
away_starter_ra9,FROZEN_2025_VALIDATION,0.0001522056224589896,-0.0007811206084316069,7.097898843166917e-05,-0.0002518529869526276,0.00011206377605166296,-7.4451227924488e-05,1.6752688116183911e-06,-1.919523352517105e-05,7.338293352088243e-06,-3.449263295152161e-05,-0.002531356657080125,0.0040995534298536584,True
home_starter_prior_starts,FROZEN_2025_VALIDATION,-0.014788531822835793,-0.007780476049742635,0.0028832171775938775,-0.009115206547989807,0.0008559802872198929,-0.005529014058205384,-1.400846198060246e-05,-0.0006814369103236573,4.46584721475185e-05,-0.001551253942220887,0.1643495840315273,0.0075044248764094545,True
away_starter_prior_starts,FROZEN_2025_VALIDATION,-0.0004862533969243188,6.253059547800532e-05,0.0006452543845929526,8.27305234833986e-05,0.00034047676592452447,4.0076288582824304e-05,3.6506201465613675e-05,6.4642032144845984e-06,8.63559597713559e-05,1.2425513925440335e-05,0.01065308379750926,0.0006545058695740236,True
home_expected_outs,FROZEN_2025_VALIDATION,0.005496147694631137,0.00019076563428166438,0.004745485977077024,-0.0012565002358622124,0.0032800940088648645,-0.00036008552382149617,0.0003932764113105669,-3.222095437951933e-05,0.0008902723835184645,-8.343595849857888e-05,-0.0012558716977309758,0.002381626482152427,True
away_expected_outs,FROZEN_2025_VALIDATION,-0.002439644442924216,-0.0024048579600939313,-0.0020650470952201516,-0.002248904110896177,-0.00119533821072082,-0.0012832745372404197,-0.0001441824539493708,-0.0001627264910067927,-0.00030140897193209337,-0.00033583790592384144,-0.0014455464133419915,-0.0044850880202873256,True
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,0.0006527672301355203,-0.0011696889995840287,0.0005254049613778733,-0.00047533202794802776,0.0001424603497861554,-0.000596598182466046,-2.0041326645042767e-05,-0.00011495836296837592,-3.474540030934392e-05,-0.00024722041009839213,-0.008881223265857219,-0.0033310299739676974,True
