feature,population,stage3_refit_mae_delta,stage3_refit_crps_delta,harmfulness_after_refit,automatic_deletion_recommendation
away_offense,FROZEN_2025_VALIDATION,-0.0010812055742714932,-0.0007476878277405952,WEAKLY_SUPPORTED,False
away_offense,2026_SEQUENTIAL_EARLY,-9.998549274081725e-05,-3.0831658179408805e-05,WEAKLY_SUPPORTED,False
away_offense,2026_LATE_HOLDOUT,-0.001487812859681359,-0.0004347386329475178,WEAKLY_SUPPORTED,False
away_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0024841493970324535,0.0018689025541971382,WEAKLY_SUPPORTED,False
away_offense,ALL_GOVERNED_EVALUATION,-0.0007018512689414003,-0.00040796502678830393,WEAKLY_SUPPORTED,False
away_expected_outs,FROZEN_2025_VALIDATION,-0.0024048579600939313,-0.0012832745372404197,WEAKLY_SUPPORTED,False
away_expected_outs,2026_SEQUENTIAL_EARLY,-0.003570292783509288,-0.0017980055376862758,WEAKLY_SUPPORTED,False
away_expected_outs,2026_LATE_HOLDOUT,-0.006781345372645298,-0.0028902752608139792,WEAKLY_SUPPORTED,False
away_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0042338001036137385,-0.0013375589424660106,WEAKLY_SUPPORTED,False
away_expected_outs,ALL_GOVERNED_EVALUATION,-0.0032634132994524556,-0.0016019823804609423,WEAKLY_SUPPORTED,False
home_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,-0.006148075962337796,-0.0034098427620894434,SUPPORTED,False
home_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,-0.003618442392681054,-0.0005555791338571758,SUPPORTED,False
home_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,-0.005749348125546394,-0.0023570532946717293,SUPPORTED,False
home_bullpen_likely_available_reliever_count,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.009568003177045092,-0.006721332481259168,SUPPORTED,False
home_bullpen_likely_available_reliever_count,ALL_GOVERNED_EVALUATION,-0.005479244800215444,-0.0025739425792701276,SUPPORTED,False
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,-0.001092390331102422,-0.0005557482627156496,WEAKLY_SUPPORTED,False
away_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,0.000851508705208559,-0.00023548727033606554,WEAKLY_SUPPORTED,False
away_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,-0.0008114389280637901,-0.0005719427277499634,WEAKLY_SUPPORTED,False
away_bullpen_recent_innings_burden,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.003097545494601839,-0.00335985002691519,WEAKLY_SUPPORTED,False
away_bullpen_recent_innings_burden,ALL_GOVERNED_EVALUATION,-0.0005584687423483281,-0.0005637071659712056,WEAKLY_SUPPORTED,False
