population,metric,omitted_feature,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,fraction_favoring_candidate,fraction_favoring_champion,interpretation
FROZEN_2025_VALIDATION,mae,league_total,22,0.0226,0.47459999999999997,False,0.9887,0.0113,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_offense,22,0.1664,1.0,False,0.0832,0.9168,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_prevention,22,0.3396,1.0,False,0.8302,0.1698,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_offense,22,0.411,1.0,False,0.7945,0.2055,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_prevention,22,0.2806,1.0,False,0.1403,0.8597,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_starter_ra9,22,0.4026,1.0,False,0.2013,0.7987,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_starter_ra9,22,0.4128,1.0,False,0.7936,0.2064,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_starter_prior_starts,22,0.0304,0.604,False,0.9848,0.0152,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_starter_prior_starts,22,0.7858,1.0,False,0.3929,0.6071,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_expected_outs,22,0.924,1.0,False,0.462,0.538,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_expected_outs,22,0.0302,0.604,False,0.9849,0.0151,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_workload_uncertainty_outs,22,0.454,1.0,False,0.773,0.227,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_workload_uncertainty_outs,22,0.4998,1.0,False,0.2499,0.7501,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_ra9,22,0.674,1.0,False,0.663,0.337,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_ra9,22,0.2932,1.0,False,0.1466,0.8534,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_likely_available_reliever_count,22,0.0032,0.0704,False,0.9984,0.0016,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_likely_available_reliever_count,22,0.3592,1.0,False,0.1796,0.8204,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_recent_innings_burden,22,0.0698,1.0,False,0.0349,0.9651,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_recent_innings_burden,22,0.3354,1.0,False,0.8323,0.1677,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,strict_prior_total_run_factor,22,0.0658,1.0,False,0.0329,0.9671,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,park_history_depth,22,0.1058,1.0,False,0.0529,0.9471,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,mae,game_number,22,0.5016,1.0,False,0.2508,0.7492,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,league_total,22,0.0248,0.44639999999999996,False,0.0124,0.9876,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_offense,22,0.0038,0.0798,False,0.0019,0.9981,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,home_prevention,22,0.0188,0.3572,False,0.9906,0.0094,FWER sensitivity only; not sole replaceability interpretation
FROZEN_2025_VALIDATION,crps,away_offense,22,0.2892,1.0,False,0.8554,0.1446,FWER sensitivity only; not sole replaceability interpretation
