ordinal,exact_field_name,coefficient,absolute_coefficient,absolute_coefficient_rank,plus_one_training_sd_log_mu_effect,plus_one_training_sd_mu_multiplier,per_raw_unit_log_mu_effect,direction_for_plus_one_sd,ranking_qualification
20,strict_prior_total_run_factor,0.04347158492532503,0.04347158492532503,1,0.04347158492532503,1.044430316324946,0.7459468390359384,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
21,park_history_depth,-0.02681303790069205,0.02681303790069205,2,-0.02681303790069205,0.9735432401983342,-0.0005735321288036154,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
14,home_bullpen_ra9,0.015070549615556185,0.015070549615556185,3,0.015070549615556185,1.0151846829784679,0.020150212927260935,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
2,home_offense,0.01438300487029133,0.01438300487029133,4,0.01438300487029133,1.0144869379771537,0.022721590498065717,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
6,home_starter_ra9,0.013753975761015624,0.013753975761015624,5,0.013753975761015624,1.0138489968249984,0.0059405346031327225,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
5,away_prevention,-0.013586090275206979,0.013586090275206979,6,-0.013586090275206979,0.9865057841074193,-0.020202618074473565,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
3,home_prevention,-0.013582351836678185,0.013582351836678185,7,-0.013582351836678185,0.9865094721055452,-0.02114392923121269,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
4,away_offense,0.013564475744245507,0.013564475744245507,8,0.013564475744245507,1.0136568906257366,0.02209826504403399,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
8,home_starter_prior_starts,0.012677233712015375,0.012677233712015375,9,0.012677233712015375,1.0127579304826975,0.000815434577123479,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
1,league_total,-0.01265250483616578,0.01265250483616578,10,-0.01265250483616578,0.9874272015870388,-0.1088632003353781,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
10,home_expected_outs,-0.011065970207803344,0.011065970207803344,11,-0.011065970207803344,0.9889950324154295,-0.003665082232371761,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
15,away_bullpen_ra9,0.010854280711089645,0.010854280711089645,12,0.010854280711089645,1.0109134021291661,0.012904853494223375,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
16,home_bullpen_likely_available_reliever_count,-0.01084444912895344,0.01084444912895344,13,-0.01084444912895344,0.9892141399295578,-0.0035008932934493375,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
12,home_workload_uncertainty_outs,0.010362819278096425,0.010362819278096425,14,0.010362819278096425,1.010416699245077,0.006616003409030909,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
11,away_expected_outs,0.007419496809107899,0.007419496809107899,15,0.007419496809107899,1.0074470894745753,0.0024637294908470297,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
19,away_bullpen_recent_innings_burden,0.007154814495771844,0.007154814495771844,16,0.007154814495771844,1.0071804713344792,0.0022168195033357447,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
7,away_starter_ra9,0.006799765020473005,0.006799765020473005,17,0.006799765020473005,1.0068229359117387,0.0031278356266808143,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
22,game_number,0.003839049993724805,0.003839049993724805,18,0.003839049993724805,1.0038464285853912,0.0336733538478022,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
17,away_bullpen_likely_available_reliever_count,0.003558827664027518,0.003558827664027518,19,0.003558827664027518,1.00356516781013,0.0011417241572159928,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
13,away_workload_uncertainty_outs,0.0014323801126656583,0.0014323801126656583,20,0.0014323801126656583,1.0014334064590402,0.0009150017132549584,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
18,home_bullpen_recent_innings_burden,-0.000834537374008508,0.000834537374008508,21,-0.000834537374008508,0.9991658107554567,-0.00025073726044219457,LOWERS_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
9,away_starter_prior_starts,0.0008268356527004493,0.0008268356527004493,22,0.0008268356527004493,1.0008271775755302,5.344039231147621e-05,RAISES_EXPECTED_RUNS,Comparable as one-training-SD log-location moves because every term uses the embedded StandardScaler; magnitude is not causal importance.
