feature_a,feature_b,standardized_value_correlation,direct_contribution_correlation,absolute_direct_contribution_correlation,coefficient_a,coefficient_b,coefficient_sign_relationship,absolute_coefficient_ratio_max_over_min,home_away_conceptual_pair,concept_name,shared_upstream_construction,source_lineage_a,source_lineage_b,overlapping_source_lineage,stage1_temporal_effect_a,stage1_temporal_effect_b,stage1_classification_a,stage1_classification_b,stage1_temporal_effect_similarity,stage1_metric_delta_cosine_similarity,opposite_temporal_behavior,mean_direct_log_contribution_a,mean_direct_log_contribution_b,opposite_signed_mean_contribution,common_missing_fallback_behavior,all_governed_rows_complete_for_both,strict_prior_overlap_relationship_inspected,candidate_discovery_used_joint_performance,candidate_id,candidate_decision,candidate_decision_reason
league_total,home_offense,0.02719973677019149,-0.027199736770191475,0.027199736770191475,-0.01265250483616578,0.01438300487029133,OPPOSITE,1.136771339472569,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_TEAM_RUN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MIXED,UNRESOLVED,TEMPORALLY_UNSTABLE,False,-0.6627695070999042,True,0.01727454800792342,-0.001960521200117325,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_prevention,0.011861599580345866,0.011861599580345848,0.011861599580345848,-0.01265250483616578,-0.013582351836678185,SAME,1.0734911397033844,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_TEAM_RUN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_HARMFUL,UNRESOLVED,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,False,-0.0863184721612458,False,0.01727454800792342,0.0015607165257989963,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_offense,0.018910967157079506,-0.018910967157079496,0.018910967157079496,-0.01265250483616578,0.013564475744245507,OPPOSITE,1.0720782896263323,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_TEAM_RUN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_HARMFUL,UNRESOLVED,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,False,-0.7298882234342269,True,0.01727454800792342,-0.001676755220103229,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_prevention,0.019517533355648264,0.019517533355648268,0.019517533355648268,-0.01265250483616578,-0.013586090275206979,SAME,1.0737866099345523,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_TEAM_RUN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MIXED,UNRESOLVED,TEMPORALLY_UNSTABLE,False,-0.1509996903928484,False,0.01727454800792342,0.0016799594295618379,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_starter_ra9,-0.01762025837920715,0.01762025837920716,0.01762025837920716,-0.01265250483616578,0.013753975761015624,OPPOSITE,1.0870555624449487,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MIXED,UNRESOLVED,TEMPORALLY_UNSTABLE,False,-0.32268660598135346,False,0.01727454800792342,-0.0014747437665599866,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_starter_ra9,-0.00421869559629603,0.004218695596296012,0.004218695596296012,-0.01265250483616578,0.006799765020473005,OPPOSITE,1.860726774832823,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,CONSISTENTLY_BENEFICIAL,UNRESOLVED,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,True,0.03557721341226469,False,0.01727454800792342,-0.0005138618171057073,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_starter_prior_starts,-0.025922464904138708,0.02592246490413863,0.02592246490413863,-0.01265250483616578,0.012677233712015375,OPPOSITE,1.0019544648407412,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_BENEFICIAL,UNRESOLVED,UNRESOLVED,False,0.8704059819587491,False,0.01727454800792342,0.021865573966028735,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_starter_prior_starts,-0.015391371574056104,0.015391371574056097,0.015391371574056097,-0.01265250483616578,0.0008268356527004493,OPPOSITE,15.302321319651174,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,CONSISTENTLY_BENEFICIAL,UNRESOLVED,UNRESOLVED,True,0.8019765192079685,False,0.01727454800792342,0.0014181825296888597,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_expected_outs,-0.02284746481737546,-0.02284746481737548,0.02284746481737548,-0.01265250483616578,-0.011065970207803344,SAME,1.14337058554917,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_BENEFICIAL,UNRESOLVED,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,False,0.070483730274242,False,0.01727454800792342,0.00030507190173930196,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_expected_outs,-0.029281909519393707,0.029281909519393728,0.029281909519393728,-0.01265250483616578,0.007419496809107899,OPPOSITE,1.7053049771022253,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,CONSISTENTLY_HARMFUL,UNRESOLVED,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,False,-0.3223757069983206,False,0.01727454800792342,-0.000544740777734069,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_workload_uncertainty_outs,0.02178891959695293,-0.02178891959695294,0.02178891959695294,-0.01265250483616578,0.010362819278096425,OPPOSITE,1.2209519915983666,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_HARMFUL,UNRESOLVED,UNRESOLVED,False,-0.2607204243766633,False,0.01727454800792342,-0.001033143766525125,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_workload_uncertainty_outs,-0.0007180214495273601,0.0007180214495273489,0.0007180214495273489,-0.01265250483616578,0.0014323801126656583,OPPOSITE,8.833203368496562,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_STARTER_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,NEGLIGIBLE,UNRESOLVED,NEUTRAL_IN_FROZEN_CHAMPION,False,-0.09041943269379543,False,0.01727454800792342,-0.00014792796393676446,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_bullpen_ra9,0.0053732796660230075,-0.005373279666023018,0.005373279666023018,-0.01265250483616578,0.015070549615556185,OPPOSITE,1.1911119427102446,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_BULLPEN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_BENEFICIAL,UNRESOLVED,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,False,0.3290243666538752,False,0.01727454800792342,-0.0001242483320490503,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_bullpen_ra9,0.004628153292496748,-0.00462815329249675,0.00462815329249675,-0.01265250483616578,0.010854280711089645,OPPOSITE,1.1656695798588401,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_BULLPEN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,CONSISTENTLY_BENEFICIAL,UNRESOLVED,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,True,0.39812486288403715,False,0.01727454800792342,-0.00020964768141983222,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,home_bullpen_likely_available_reliever_count,-0.18165332036703108,-0.1816533203670313,0.1816533203670313,-0.01265250483616578,-0.01084444912895344,SAME,1.1667263763896532,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_BULLPEN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,CONSISTENTLY_HARMFUL,UNRESOLVED,POTENTIALLY_HARMFUL_IN_FROZEN_CHAMPION,False,-0.42339191397497933,True,0.01727454800792342,-0.0010856669138250923,True,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
league_total,away_bullpen_likely_available_reliever_count,-0.17601984623755806,0.17601984623755787,0.17601984623755787,-0.01265250483616578,0.003558827664027518,OPPOSITE,3.555245162348481,False,NONE,False,STRICT_PRIOR_LEAGUE_RUN_STATE,STRICT_PRIOR_BULLPEN_STATE,DISTINCT_PRIMARY_STATE_FAMILIES,CONSISTENTLY_BENEFICIAL,MOSTLY_BENEFICIAL,UNRESOLVED,MODERATELY_REQUIRED_IN_FROZEN_CHAMPION,False,0.41180905602789813,False,0.01727454800792342,0.0002730199592268238,False,NO_COMMON_FALLBACK_CONTRACT,True,False,False,,NOT_SELECTED,not a required concept and did not rank into the bounded high-correlation/structural manifest
