population,candidate_id,metric,date_clusters,bootstrap_draws,point_delta_joint_minus_champion,ci95_low,ci95_high,fraction_draws_favoring_champion_retention,unadjusted_two_sided_bootstrap_p,seed
FROZEN_2025_VALIDATION,S2_01,mae,185,10000,0.0011383270267608266,-0.002967923490840103,0.005255858710224455,0.7065,0.587,20260831
FROZEN_2025_VALIDATION,S2_01,crps,185,10000,0.0005669067138916932,-0.001911750434083977,0.0030012000841573264,0.678,0.644,20260831
FROZEN_2025_VALIDATION,S2_01,brier,185,10000,-1.39677201777153e-05,-0.0003011398074896852,0.00027189826756338737,0.4654,0.9308,20260831
FROZEN_2025_VALIDATION,S2_01,log_loss,185,10000,-3.629078888853104e-05,-0.0006843325236886892,0.000607695907717122,0.4602,0.9204,20260831
FROZEN_2025_VALIDATION,S2_02,mae,185,10000,-0.004333869104992241,-0.008164834362822197,-0.0004729959877583823,0.0133,0.0266,20260831
FROZEN_2025_VALIDATION,S2_02,crps,185,10000,-0.0008176199532681473,-0.0033000828873823783,0.0017192638662647801,0.2618,0.5236,20260831
FROZEN_2025_VALIDATION,S2_02,brier,185,10000,-8.967224700844674e-05,-0.00036920615230266946,0.0001936929308615336,0.2739,0.5478,20260831
FROZEN_2025_VALIDATION,S2_02,log_loss,185,10000,-0.00015367845569341036,-0.0007794468393007938,0.00048760071642913643,0.3226,0.6452,20260831
FROZEN_2025_VALIDATION,S2_03,mae,185,10000,0.004465304630242794,0.0008981844239233455,0.00811412270170406,0.9935,0.013,20260831
FROZEN_2025_VALIDATION,S2_03,crps,185,10000,0.0020289876425570964,0.00010010460078858428,0.003959565495266241,0.9802,0.0396,20260831
FROZEN_2025_VALIDATION,S2_03,brier,185,10000,0.0002331258385266056,1.503302102675817e-06,0.0004628845442747353,0.9757,0.0486,20260831
FROZEN_2025_VALIDATION,S2_03,log_loss,185,10000,0.000517767194152659,2.832380852892837e-06,0.0010297597112426684,0.9754,0.0492,20260831
FROZEN_2025_VALIDATION,S2_04,mae,185,10000,-0.01501758948433843,-0.02508269615282976,-0.004904183437953136,0.0014,0.0028,20260831
FROZEN_2025_VALIDATION,S2_04,crps,185,10000,0.0014216854924105828,-0.004319994999436345,0.007211118895645988,0.6843,0.6314,20260831
FROZEN_2025_VALIDATION,S2_04,brier,185,10000,4.844687785177994e-05,-0.0006517726439146172,0.0007597053597373071,0.5495,0.901,20260831
FROZEN_2025_VALIDATION,S2_04,log_loss,185,10000,0.0001913324789586666,-0.0013747728866324463,0.0017896794290449564,0.5909,0.8182,20260831
FROZEN_2025_VALIDATION,S2_05,mae,185,10000,0.003027457433332876,-0.0009439298994919699,0.007150789111322331,0.9315,0.137,20260831
FROZEN_2025_VALIDATION,S2_05,crps,185,10000,0.0020853447449842603,-0.00012067460579744785,0.004328526345212591,0.9686,0.0628,20260831
FROZEN_2025_VALIDATION,S2_05,brier,185,10000,0.0002491608985386771,-1.952000366817458e-05,0.0005208141055654021,0.9653,0.0694,20260831
FROZEN_2025_VALIDATION,S2_05,log_loss,185,10000,0.0005906645890513897,-1.28169837184509e-05,0.0012079517164568525,0.972,0.056,20260831
FROZEN_2025_VALIDATION,S2_06,mae,185,10000,0.0034914171191493385,0.0002109553569841511,0.006730472383022078,0.9818,0.0364,20260831
FROZEN_2025_VALIDATION,S2_06,crps,185,10000,0.0014096129975327161,-0.000650439482840066,0.003459667066917101,0.9107,0.1786,20260831
FROZEN_2025_VALIDATION,S2_06,brier,185,10000,0.00019108447920010603,-4.243558242269131e-05,0.0004218902023510322,0.9444,0.1112,20260831
FROZEN_2025_VALIDATION,S2_06,log_loss,185,10000,0.00038929283718420863,-0.00013442726541078916,0.0009086091062906196,0.9262,0.1476,20260831
FROZEN_2025_VALIDATION,S2_07,mae,185,10000,-0.006860156541006257,-0.01082774716909111,-0.002879352578429139,0.0006,0.0012,20260831
FROZEN_2025_VALIDATION,S2_07,crps,185,10000,-0.004744103895872858,-0.00708483477308245,-0.002439852014828745,0.0001,0.0002,20260831
FROZEN_2025_VALIDATION,S2_07,brier,185,10000,-0.0005427419485863266,-0.0008237663273727447,-0.0002641851036815292,0.0001,0.0002,20260831
FROZEN_2025_VALIDATION,S2_07,log_loss,185,10000,-0.001196790704760164,-0.001830576058241376,-0.0005773008708805244,0.0002,0.0004,20260831
FROZEN_2025_VALIDATION,S2_08,mae,185,10000,-0.0015217255067196975,-0.0038130138255409157,0.0007666751839495809,0.0972,0.1944,20260831
FROZEN_2025_VALIDATION,S2_08,crps,185,10000,-0.0007672425792420205,-0.0020512551549418064,0.000555145671376954,0.1278,0.2556,20260831
FROZEN_2025_VALIDATION,S2_08,brier,185,10000,-8.644046615976597e-05,-0.00024602494574897486,7.324875465225446e-05,0.153,0.306,20260831
FROZEN_2025_VALIDATION,S2_08,log_loss,185,10000,-0.00019717998149937092,-0.0005560956297682007,0.00016111414475441466,0.1465,0.293,20260831
FROZEN_2025_VALIDATION,S2_09,mae,185,10000,-0.0011859285580299694,-0.0026829662040318467,0.00024437639039370486,0.0535,0.107,20260831
FROZEN_2025_VALIDATION,S2_09,crps,185,10000,-0.0004662584610960603,-0.0013251085101439893,0.00037999569252629965,0.1423,0.2846,20260831
FROZEN_2025_VALIDATION,S2_09,brier,185,10000,-3.3199309849474405e-05,-0.00013262774826090155,6.528112012367483e-05,0.2544,0.5088,20260831
FROZEN_2025_VALIDATION,S2_09,log_loss,185,10000,-6.972053527893984e-05,-0.0002936797838241756,0.0001521162313994312,0.2687,0.5374,20260831
FROZEN_2025_VALIDATION,S2_10,mae,185,10000,-0.0006605398332245281,-0.0020815722298117853,0.0008077098226095216,0.1888,0.3776,20260831
FROZEN_2025_VALIDATION,S2_10,crps,185,10000,-0.00011774693817210433,-0.0009867043315065535,0.000769835467219233,0.4026,0.8052,20260831
FROZEN_2025_VALIDATION,S2_10,brier,185,10000,2.892054703176147e-06,-9.835146151366669e-05,0.00010692153263306287,0.5317,0.9366,20260831
FROZEN_2025_VALIDATION,S2_10,log_loss,185,10000,3.7401828521767815e-06,-0.00022328339586018422,0.00023558547100416358,0.5204,0.9592,20260831
