candidate_id,candidate_type,features_pipe,population,games,mae,rmse,actual_minus_forecast_bias,crps,brier,log_loss,ece,mean_forecast,champion_mae,champion_rmse,champion_actual_minus_forecast_bias,champion_crps,champion_brier,champion_log_loss,champion_ece,mae_delta,rmse_delta,actual_minus_forecast_bias_delta,crps_delta,brier_delta,log_loss_delta,ece_delta,constituent_single_mae_deltas,constituent_single_rmse_deltas,constituent_single_actual_minus_forecast_bias_deltas,constituent_single_crps_deltas,constituent_single_brier_deltas,constituent_single_log_loss_deltas,constituent_single_ece_deltas
S2_01,PAIR,home_offense|away_offense,FROZEN_2025_VALIDATION,2433,3.5983449631932976,4.5934246938418415,0.18264713755432244,2.532162685327924,0.22717161628297214,0.6462603662254394,0.015710657218688823,8.705556725988629,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.00113832702676131,0.0017628620481495716,-0.032400262467744995,0.0005669067138915906,-1.3967720177726628e-05,-3.6290788888559966e-05,-0.0007567814339945501,"[0.0012389423353882378, -0.00020092696756091044]","[0.003317357703117807, -0.001617741891500657]","[-0.01858801082343728, -0.013793013546336497]","[0.0013918994475519142, -0.0008514641015509028]","[9.017421441967488e-05, -0.00010707089425276983]","[0.00021160558596167167, -0.0002527909807401585]","[-0.0006701784770285907, -0.0016599372317890899]"
S2_01,PAIR,home_offense|away_offense,2026_SEQUENTIAL_EARLY,1281,3.5179551015883117,4.492200660122666,0.5448646149868596,2.5004401098825477,0.2263569464584348,0.6447855390060953,0.04700807080209209,8.44498706338941,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,-0.002990867653093865,-0.008567288108149995,-0.03256862986022757,-0.004707492539202995,-0.0005425406556688883,-0.00127054259114312,-0.0027407347788823144,"[-0.0005194675833584128, -0.002202321534821472]","[-0.004525308842300291, -0.004048930085943425]","[-0.018756425344757965, -0.01381001357936451]","[-0.0022764654471632007, -0.0024393526280857003]","[-0.00026506059580028163, -0.00027790771634508826]","[-0.0006106503140657082, -0.0006601537104407029]","[-0.0015308246877614867, -0.0012100850499343202]"
S2_01,PAIR,home_offense|away_offense,2026_LATE_HOLDOUT,439,3.6817515927529803,4.678994004325266,0.6321989632558246,2.601513783614377,0.2305565434608296,0.6544513548973123,0.04377719432623978,8.294908098247593,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,0.003490280748556618,-0.001935488447414535,-0.02885579410189476,-0.0007628637160714824,2.0514349219069583e-05,9.549879560200036e-05,-0.00012842816644747374,"[0.0017288396177010945, 0.00166851375179089]","[-0.000276784062676505, -0.0017044372098142802]","[-0.015090169058990632, -0.01374504484164174]","[0.00014544450932829633, -0.0009382642861210932]","[6.225183147051672e-05, -4.480535959650034e-05]","[0.00018138431924685783, -9.062907388934782e-05]","[-0.0009943044929981576, -0.0014015140908982954]"
S2_01,PAIR,home_offense|away_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.7223163301493436,4.60848967875489,0.4228252895585898,2.5956476192032563,0.22850220143437175,0.6496030553394284,0.03933288952898822,8.263072146338846,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.003938865302059558,-0.0041494518567573024,-0.032562494779701745,-0.0016738203882677993,-0.00011218953100336493,-0.00035482473921855107,-0.0024952255322918393,"[0.0013353416938324258, 0.001765348837466263]","[-0.003297757758296882, -0.0009165189541793239]","[-0.01761330380135262, -0.014925278637713701]","[-0.0017741666100374864, 7.496257756534064e-05]","[-0.00014851345795074966, 3.2768561208040836e-05]","[-0.00043536336454308433, 7.335983320633233e-05]","[-0.0023456149537786353, -0.002213530878846501]"
S2_01,PAIR,home_offense|away_offense,ALL_GOVERNED_EVALUATION,4309,3.5874319046892027,4.572963609140726,0.34482435542081236,2.5320958862299374,0.22732245459104022,0.6467774351186292,0.026820476947978157,8.570237143766935,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,0.0002517856644770333,-0.0018575810627394773,-0.03209507919037846,-0.0012176901972034138,-0.00017114732203149519,-0.0004013203148454103,-0.0023677456721164156,"[0.0007695944822749823, -0.0005342671716181968]","[0.0004085940587907899, -0.0023119774987021557]","[-0.01824643091435746, -0.013834172083167118]","[5.973990868080037e-05, -0.0012988226352192989]","[-2.691768506893344e-05, -0.00014645182818975866]","[-5.933990030004832e-05, -0.000345564954437827]","[-0.001397955600409402, -0.0011930787020081948]"
S2_02,PAIR,home_prevention|away_prevention,FROZEN_2025_VALIDATION,2433,3.5928727670615443,4.590141880315541,0.23973886930227972,2.5307781586607643,0.22709591175614144,0.6461429785586346,0.019146218127218607,8.64846499424067,3.5972066361665362,4.591661831793692,0.21504740002206743,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,-0.004333869104991894,-0.0015199514781505385,0.02469146928021229,-0.0008176199532683448,-8.967224700842658e-05,-0.00015367845569336236,0.002678779474535233,"[-0.0034120336780030236, -0.0008977667135097178]","[-0.0009751607545886998, -0.0004764594391275523]","[0.00965144080229513, 0.015006763740119722]","[-0.0006435231812189635, -0.00013361632776787147]","[-9.585371067799553e-05, 9.676158109955812e-06]","[-0.0001561795650011355, 9.929020224230811e-06]","[0.0013225534388290779, 0.0007812715815264555]"
S2_02,PAIR,home_prevention|away_prevention,2026_SEQUENTIAL_EARLY,1281,3.513739690749452,4.494936532113168,0.6015584154848621,2.5024335450503328,0.2266514884446286,0.6455400007413901,0.052044981571323,8.388293262891406,3.5209459692414056,4.500767948230816,0.5774332448470871,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,-0.007206278491953544,-0.00583141611764848,0.024125170637774973,-0.002714057371417944,-0.00024799866947508575,-0.000516080855848311,0.0022961759903485923,"[-0.002189306410767422, -0.004452538102416526]","[-0.0022715010936824598, -0.0034870094718728595]","[0.009225071264359008, 0.014861821422331722]","[-0.0009980650554743953, -0.0016840730430622841]","[-9.511242631296546e-05, -0.0001498631007765816]","[-0.0001575633839085988, -0.0003500481604866712]","[0.0010441963757345657, 0.0012549154154682385]"
S2_02,PAIR,home_prevention|away_prevention,2026_LATE_HOLDOUT,439,3.6798247584295543,4.679111594227176,0.6836639966271812,2.602011591793806,0.23066290023393107,0.6547601066841505,0.04590861063677444,8.243443064876235,3.6782613120044236,4.68092949277268,0.6610547573577193,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,0.0015634464251306213,-0.001817898545504626,0.0226092392694619,-0.00026505553664257775,0.0001268711223205432,0.00040425058244020207,0.0020029881440871908,"[0.0005064786993407289, 0.0009658325251562516]","[-0.0020409717396443483, 0.0002759679724322339]","[0.00792851791571092, 0.014655092622559485]","[-0.0004895311267434366, 0.00025226446037462935]","[6.193255677805487e-05, 6.729254912229976e-05]","[0.0002603725942601498, 0.0001525337281081951]","[0.0013309952974954117, 0.0010612627044054926]"
S2_02,PAIR,home_prevention|away_prevention,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,3.7130152613977736,4.608532794081331,0.4729831821264689,2.5939859247344046,0.22831684038326808,0.6494040465451301,0.04347622599217558,8.212914253770967,3.718377464847284,4.612639130611647,0.4553877843382915,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,-0.005362203449510439,-0.004106336530316668,0.01759539778817737,-0.0033355148571194704,-0.0002975505821070368,-0.0005538335335169009,0.0016481109308955216,"[-0.0013556272017076765, -0.0040149451995170615]","[-0.0010453212127545797, -0.0030126750662846646]","[0.008482687358473295, 0.009128493131478288]","[-0.001179419500573431, -0.0020986622621745887]","[-6.908186360007895e-05, -0.00022659885396700274]","[-8.595124447741131e-05, -0.000480120555140795]","[0.0011470227453990386, 0.001359413072707115]"
S2_02,PAIR,home_prevention|away_prevention,ALL_GOVERNED_EVALUATION,4309,3.5825559145600865,4.5719153216965145,0.4009735136179199,2.5318973135964637,0.22737139714614688,0.6469596950286054,0.03145616093991367,8.514087985569827,3.5871801190247257,4.5748211902034654,0.3769194346111908,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,-0.004624204464639181,-0.0029058685069509593,0.024054079006729068,-0.0014162628306770841,-0.00012220476692484383,-0.00021906040486918688,0.002267938319819099,"[-0.002574869609011543, -0.0018775350883606379]","[-0.0014678576888496053, -0.0013708315088614142]","[0.009306843897550876, 0.014715033653175336]","[-0.0007526356098166431, -0.0006263711553535778]","[-7.858887780981538e-05, -4.043641948653365e-05]","[-0.00011161021157879425, -0.00010029957933177513]","[0.0010884890164955183, 0.001234925502915915]"
