population,metric,candidate_id,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,fraction_draws_favoring_champion_retention,interpretation
FROZEN_2025_VALIDATION,mae,S2_01,15,0.587,0.7552,False,0.7065,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_02,15,0.0266,0.18619999999999998,False,0.0133,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_03,15,0.013,0.104,False,0.9935,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_04,15,0.0028,0.0308,True,0.0014,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_05,15,0.137,0.548,False,0.9315,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_06,15,0.0364,0.2184,False,0.9818,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_07,15,0.0012,0.0144,True,0.0006,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_08,15,0.1944,0.5831999999999999,False,0.0972,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_09,15,0.107,0.535,False,0.0535,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_10,15,0.3776,0.7552,False,0.1888,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_11,15,0.0054,0.054000000000000006,False,0.9973,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_12,15,0.0002,0.0028,True,0.9999,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_13,15,0.0004,0.005200000000000001,True,0.9998,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_14,15,0.0,0.0,True,1.0,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,mae,S2_15,15,0.0114,0.1026,False,0.9943,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_01,15,0.644,1.0,False,0.678,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_02,15,0.5236,1.0,False,0.2618,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_03,15,0.0396,0.43560000000000004,False,0.9802,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_04,15,0.6314,1.0,False,0.6843,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_05,15,0.0628,0.6279999999999999,False,0.9686,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_06,15,0.1786,1.0,False,0.9107,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_07,15,0.0002,0.003,True,0.0001,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_08,15,0.2556,1.0,False,0.1278,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_09,15,0.2846,1.0,False,0.1423,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_10,15,0.8052,1.0,False,0.4026,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_11,15,0.0946,0.8514,False,0.9527,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_12,15,0.0048,0.0672,False,0.9976,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_13,15,0.0128,0.16640000000000002,False,0.9936,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_14,15,0.019,0.22799999999999998,False,0.9905,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,crps,S2_15,15,0.145,1.0,False,0.0725,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_01,15,0.9308,1.0,False,0.4654,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_02,15,0.5478,1.0,False,0.2739,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_03,15,0.0486,0.5346,False,0.9757,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_04,15,0.901,1.0,False,0.5495,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_05,15,0.0694,0.64,False,0.9653,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_06,15,0.1112,0.8896,False,0.9444,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_07,15,0.0002,0.003,True,0.0001,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_08,15,0.306,1.0,False,0.153,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_09,15,0.5088,1.0,False,0.2544,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_10,15,0.9366,1.0,False,0.5317,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_11,15,0.064,0.64,False,0.968,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_12,15,0.0024,0.0336,True,0.9988,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_13,15,0.0124,0.1534,False,0.9938,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_14,15,0.0118,0.1534,False,0.9941,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,brier,S2_15,15,0.1942,1.0,False,0.0971,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_01,15,0.9204,1.0,False,0.4602,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_02,15,0.6452,1.0,False,0.3226,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_03,15,0.0492,0.5412,False,0.9754,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_04,15,0.8182,1.0,False,0.5909,FWER sensitivity only; not sole structural interpretation
FROZEN_2025_VALIDATION,log_loss,S2_05,15,0.056,0.56,False,0.972,FWER sensitivity only; not sole structural interpretation
