ablation_number,feature,intervention,location_intervention,upstream_field_preserved,other_features_preserved,other_coefficients_preserved,intercept_preserved,scaler_preserved,dispersion_preserved,gating_shrinkage_fallback_context_market_outcome_preserved,refit_count,coefficient,scaler_mean,scaler_scale
1,league_total,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.01265250483616578,9.12713348290902,0.11622389197806818
2,home_offense,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.01438300487029133,4.570371380309777,0.6330104783604718
3,home_prevention,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.013582351836678185,4.558559917513907,0.6423759599340648
4,away_offense,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.013564475744245507,4.559919885143778,0.6138253712323717
5,away_prevention,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.013586090275206979,4.567582879203796,0.672491566445702
6,home_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.013753975761015624,4.621325646023378,2.3152757588117585
7,away_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.006799765020473005,4.567044285917361,2.1739521611910138
8,home_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.012677233712015375,18.73677711463264,15.546598179262267
9,away_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.0008268356527004493,18.666803869108872,15.472110456847977
10,home_expected_outs,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.011065970207803344,15.678414157977553,3.0192965685908484
11,away_expected_outs,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.007419496809107899,15.801231001162217,3.011490034385665
12,home_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.010362819278096425,2.5668069657264914,1.5663261696556983
13,away_workload_uncertainty_outs,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.0014323801126656583,2.5474192247470175,1.5654398149378506
14,home_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.015070549615556185,4.543327985645738,0.7479101918157626
15,away_bullpen_ra9,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.010854280711089645,4.553736276372421,0.84110065379265
16,home_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.01084444912895344,9.422309117102284,3.0976234406358305
17,away_bullpen_likely_available_reliever_count,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.003558827664027518,9.578925704877546,3.1170643465278403
18,home_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.000834537374008508,9.605542978665019,3.32833409975341
19,away_bullpen_recent_innings_burden,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.007154814495771844,9.224806201550388,3.2275133293466984
20,strict_prior_total_run_factor,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.04347158492532503,1.0080243915561882,0.058277054946043745
21,park_history_depth,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,-0.02681303790069205,80.043836180284,46.75071640123089
22,game_number,FROZEN_DIRECT_TERM_ABLATION,set standardized direct contribution to zero (training-mean equivalent),True,True,True,True,True,True,True,0,0.003839049993724805,1.0131714344515332,0.11400854251336694
