feature,coefficient,absolute_coefficient,coefficient_rank_by_absolute_magnitude,absolute_standardized_contribution_min,absolute_standardized_contribution_p10,absolute_standardized_contribution_median,absolute_standardized_contribution_mean,absolute_standardized_contribution_p90,absolute_standardized_contribution_max,absolute_standardized_contribution_std,mae_delta,rmse_delta,absolute_bias_delta,crps_delta,brier_delta,log_loss_delta,mean_absolute_forecast_change,median_absolute_forecast_change,maximum_absolute_forecast_change,mean_signed_forecast_change,dependence_pattern
league_total,-0.01265250483616578,0.01265250483616578,10,0.012854362220420532,0.015332861381876586,0.01723703380737754,0.01727454800792342,0.019318322080508776,0.02082750271949137,0.0016192677650087967,-0.0035836074266821782,0.014594546544032916,0.1461861215342828,0.008418909400190522,0.0009148780805608436,0.0021982846581843907,0.14618612153428287,0.1443640326437361,0.22388609903254064,-0.14618612153428287,LARGE_FORECAST_MOVEMENT_NO_SCORE_BENEFIT
home_offense,0.01438300487029133,0.01438300487029133,4,3.855673222303378e-07,0.0008221007926798769,0.005954220197054389,0.006389939488859972,0.012288980484539231,0.024229166495918098,0.004959221788273201,0.0007695944822749823,0.0004085940587907899,-0.01824643091435746,5.973990868080037e-05,-2.691768506893344e-05,-5.933990030004832e-05,0.05523371745224538,0.05042388282807586,0.21097167524262517,0.018246430914357348,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_prevention,-0.013582351836678185,0.013582351836678185,7,1.0419562564121034e-06,0.0018412969900880904,0.006897039180800199,0.007503388921198003,0.012508650527184851,0.030566360886445158,0.005422705360807878,-0.002574869609011543,-0.0014678576888496053,0.009306843897550876,-0.0007526356098166431,-7.858887780981538e-05,-0.00011161021157879425,0.06540802108130628,0.05746027922104879,0.3397319456473795,-0.009306843897550906,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_offense,0.013564475744245507,0.013564475744245507,8,1.1509857440702745e-07,0.0007498644961741815,0.005791921313616774,0.006230078052553424,0.011833493016401722,0.023261480850426685,0.0047921516579939455,-0.0005342671716181968,-0.0023119774987021557,-0.013834172083167118,-0.0012988226352192989,-0.00014645182818975866,-0.000345564954437827,0.05320097475817681,0.048852680238084645,0.23710100840088444,0.013834172083167048,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_prevention,-0.013586090275206979,0.013586090275206979,6,2.534501864906375e-06,0.001751487088018479,0.006691495862016055,0.00721473370122219,0.012072382102835661,0.029167630641477493,0.005115852711744388,-0.0018775350883606379,-0.0013708315088614142,0.014715033653175336,-0.0006263711553535778,-4.043641948653365e-05,-0.00010029957933177513,0.06148205123617853,0.057109315676001415,0.2819253082136175,-0.014715033653175327,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_starter_ra9,0.013753975761015624,0.013753975761015624,5,1.758253283053451e-06,0.0007000411469692862,0.004070836078221085,0.005427873763343028,0.01149305037769319,0.07947647794384245,0.005939466725291237,0.0026858886124196957,0.0009271915616979598,-0.011602515232511323,0.0006532727902928137,7.804202856095954e-05,0.0001578218237202611,0.04635261815028643,0.03479234061456182,0.7387794714056817,0.01160251523251125,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_starter_ra9,0.006799765020473005,0.006799765020473005,17,3.7500618206059625e-07,0.0002870744412361229,0.0020817824648838978,0.002951809889351396,0.006014543401303621,0.09429561578579834,0.0044258192082797946,0.0014606426849730347,0.0003387741544740308,-0.004347737139960894,0.0003390213331320169,4.661106134007387e-05,9.40681201905269e-05,0.025166604398662855,0.01779821907289758,0.8449538002973807,0.004347737139960812,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_starter_prior_starts,0.012677233712015375,0.012677233712015375,9,0.00021464104221875424,0.0038625318433986406,0.021415940047429208,0.026053506074133693,0.05566419228661532,0.08094266417744318,0.019604226720142986,-0.007831231129259209,0.01577206206024151,0.18442853266933557,0.008872506532278113,0.0008580138083272293,0.0020570810287300345,0.21991079202296915,0.18101342044992386,0.687841268203556,-0.1844285326693357,LARGE_FORECAST_MOVEMENT_NO_SCORE_BENEFIT
away_starter_prior_starts,0.0008268356527004493,0.0008268356527004493,22,1.7806131951487868e-05,0.00024939582960589317,0.0014072563320498693,0.001703267689921218,0.00365175280913187,0.005415285755410585,0.0012883461170998338,-0.0001571741843022778,0.0012500070878758152,0.012092708525235918,0.0007543719872544763,8.6288171263188e-05,0.00020397772785019086,0.01451261458359747,0.011906160863345505,0.05018174799785058,-0.012092708525235979,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_expected_outs,-0.011065970207803344,0.011065970207803344,11,4.305552167847291e-05,0.0011786385557787829,0.006065414865607793,0.00801206904003283,0.015925078528622766,0.04646743046505411,0.007553630492165516,0.003372638633839742,0.0035659585283820405,0.0030639466608009536,0.002196015713179289,0.0002548543316378271,0.0005742146836819062,0.06824522766488533,0.05134491179857115,0.45671973364488494,-0.003063946660801084,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
away_expected_outs,0.007419496809107899,0.007419496809107899,15,0.00012015362067573067,0.000489713044302786,0.004437745937391273,0.005394586570183393,0.010597069664508848,0.0315387703367086,0.005150135274567795,-0.002627834569932208,-0.0022134120784240707,-0.004416336199429716,-0.001396170556499765,-0.00017750844788214093,-0.00037983268109975654,0.04599921684974552,0.03568863316947102,0.32348900878219844,0.004416336199429632,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
home_workload_uncertainty_outs,0.010362819278096425,0.010362819278096425,14,5.01901043828714e-05,0.0007761711469310011,0.007625561885812607,0.007939170296121064,0.015638843660106455,0.05555975766951009,0.005927594433063036,0.00024407528919523358,-0.0005427907144790467,-0.008230166201198486,-0.0004856325868907163,-5.868633142672164e-05,-0.00013149839520010254,0.06800425057149131,0.06289820061825857,0.5167464204209633,0.008230166201198503,DIRECTIONALLY_ALIGNED_OR_NO_FLAG
