excluded_dimension,excluded_level,excluded_games,remaining_games,remaining_mean_run_residual,underforecast_sign_remains
DATE,2026-08-08 00:00:00,15,111,0.6066582155506928,True
DATE,2026-08-09 00:00:00,15,111,0.48783096400247766,True
DATE,2026-08-11 00:00:00,15,111,0.7093598418673153,True
DATE,2026-08-12 00:00:00,15,111,0.464466421565533,True
DATE,2026-08-15 00:00:00,15,111,0.600181133491213,True
DATE,2026-08-07 00:00:00,14,112,0.6366690652153976,True
DATE,2026-08-14 00:00:00,14,112,0.588313070138576,True
DATE,2026-08-10 00:00:00,10,116,0.48725055686568897,True
DATE,2026-08-13 00:00:00,8,118,0.5871504309454773,True
DATE,2026-08-06 00:00:00,5,121,0.43381338104347195,True
FORECAST_MAGNITUDE_BAND,7.5-7.99,60,66,0.667041546602019,True
FORECAST_MAGNITUDE_BAND,8.0-8.49,41,85,0.6503993142755647,True
FORECAST_MAGNITUDE_BAND,8.5-8.99,11,115,0.6147269630962853,True
FORECAST_MAGNITUDE_BAND,<7.5,9,117,0.47090078935129576,True
FORECAST_MAGNITUDE_BAND,9.5-9.99,4,122,0.4474209499894725,True
FORECAST_MAGNITUDE_BAND,>=10.0,1,125,0.5798573096283586,True
VENUE_WITH_N_GE_3,Oracle Park,8,118,0.6898622190220135,True
VENUE_WITH_N_GE_3,Chase Field,7,119,0.7029046216809649,True
VENUE_WITH_N_GE_3,loanDepot park,6,120,0.5330689496678696,True
VENUE_WITH_N_GE_3,Rogers Centre,6,120,0.6844541280491566,True
VENUE_WITH_N_GE_3,Truist Park,6,120,0.5226983018738092,True
VENUE_WITH_N_GE_3,Nationals Park,6,120,0.46472184657591603,True
VENUE_WITH_N_GE_3,Busch Stadium,6,120,0.5493920942672985,True
VENUE_WITH_N_GE_3,Angel Stadium,6,120,0.6759609384469942,True
VENUE_WITH_N_GE_3,Petco Park,6,120,0.5680885970416066,True
VENUE_WITH_N_GE_3,Yankee Stadium,6,120,0.67971192002955,True
VENUE_WITH_N_GE_3,UNIQLO Field at Dodger Stadium,6,120,0.606283297005404,True
VENUE_WITH_N_GE_3,Rate Field,6,120,0.5037492860267199,True
VENUE_WITH_N_GE_3,Comerica Park,5,121,0.5462323829441341,True
VENUE_WITH_N_GE_3,Sutter Health Park,5,121,0.4680535562143987,True
VENUE_WITH_N_GE_3,PNC Park,5,121,0.5189491087811536,True
VENUE_WITH_N_GE_3,Target Field,4,122,0.5003177228879444,True
VENUE_WITH_N_GE_3,Citizens Bank Park,4,122,0.49778017270412966,True
VENUE_WITH_N_GE_3,Fenway Park,4,122,0.39220096872225013,True
VENUE_WITH_N_GE_3,Kauffman Stadium,3,123,0.552197137982423,True
VENUE_WITH_N_GE_3,American Family Field,3,123,0.5295143074512554,True
VENUE_WITH_N_GE_3,T-Mobile Park,3,123,0.6550275290283282,True
VENUE_WITH_N_GE_3,Globe Life Field,3,123,0.5606368006334386,True
SCORE_TIMING,PRIMARY_SCORE,82,44,0.30992212751307124,True
SCORE_TIMING,SCORE_MISSING,26,100,0.7447274607759568,True
SCORE_TIMING,INITIAL_INTEGRATION_CAPTURE,13,113,0.6256493726241044,True
SCORE_TIMING,INITIALIZATION_CAPTURE,5,121,0.43381338104347195,True
