partition_type,partition,games,observed_mean_run_residual,frozen_intercept,observed_residual_minus_frozen_intercept
EVALUATION_PERIOD,DEVELOPMENT_2023_24_IN_SAMPLE_REFERENCE,4859,4.106176539325535e-06,0.49355,-0.49354589382346065
EVALUATION_PERIOD,FROZEN_2025_VALIDATION,2433,0.21504740002206743,0.49355,-0.2785025999779326
EVALUATION_PERIOD,2026_SEQUENTIAL_EARLY,1281,0.5774332448470871,0.49355,0.08388324484708715
EVALUATION_PERIOD,2026_LATE_HOLDOUT,439,0.6610547573577193,0.49355,0.16750475735771936
EVALUATION_PERIOD,PROSPECTIVE_AUG06_15,126,0.558992375399351,0.49355,0.065442375399351
EVALUATION_PERIOD,PRIOR_CALIBRATION_HOLDOUT_REFERENCE,202,0.6401982764894364,0.49355,0.1466482764894364
DATE,2026-08-06 00:00:00,5,3.5883240388116233,0.49355,3.0947740388116234
DATE,2026-08-07 00:00:00,14,-0.0624211431290212,0.49355,-0.5559711431290212
DATE,2026-08-08 00:00:00,15,0.20626515827942243,0.49355,-0.28728484172057756
DATE,2026-08-09 00:00:00,15,1.0855868197362137,0.49355,0.5920368197362138
DATE,2026-08-10 00:00:00,10,1.3911974703898307,0.49355,0.8976474703898307
DATE,2026-08-11 00:00:00,15,-0.5537268764635831,0.49355,-1.0472768764635831
DATE,2026-08-12 00:00:00,15,1.258484433769605,0.49355,0.7649344337696051
DATE,2026-08-13 00:00:00,8,0.14366105609399193,0.49355,-0.34988894390600805
DATE,2026-08-14 00:00:00,14,0.32442681748555174,0.49355,-0.16912318251444824
DATE,2026-08-15 00:00:00,15,0.2541955655195722,0.49355,-0.2393544344804278
FORECAST_MAGNITUDE,7.5-7.99,60,0.4401382870764164,0.49355,-0.0534117129235836
FORECAST_MAGNITUDE,8.0-8.49,41,0.36949018504622494,0.49355,-0.12405981495377505
FORECAST_MAGNITUDE,8.5-8.99,11,-0.023687405068599465,0.49355,-0.5172374050685995
FORECAST_MAGNITUDE,9.5-9.99,4,3.9619208504006442,0.49355,3.4683708504006443
FORECAST_MAGNITUDE,<7.5,9,1.7041829940240687,0.49355,1.2106329940240688
FORECAST_MAGNITUDE,>=10.0,1,-2.0491244032265925,0.49355,-2.5426744032265924
OFFENSE,CENTRAL_Z_-0.5_TO_0.5,97,0.7041069893377868,0.49355,0.21055698933778683
OFFENSE,HIGH_Z_>=0.5,8,-2.0010999556960845,0.49355,-2.4946499556960844
OFFENSE,LOW_Z_<-0.5,21,0.8639743323867426,0.49355,0.3704243323867426
STARTER_QUALITY,CENTRAL_Z_-0.5_TO_0.5,100,1.068265568172518,0.49355,0.574715568172518
STARTER_QUALITY,HIGH_Z_>=0.5,5,-0.8768166780052221,0.49355,-1.3703666780052222
STARTER_QUALITY,LOW_Z_<-0.5,21,-1.5242587679479742,0.49355,-2.017808767947974
BULLPEN_QUALITY,CENTRAL_Z_-0.5_TO_0.5,96,0.7664663904141396,0.49355,0.27291639041413956
BULLPEN_QUALITY,HIGH_Z_>=0.5,13,0.34959808019806127,0.49355,-0.14395191980193872
BULLPEN_QUALITY,LOW_Z_<-0.5,17,-0.45250054247140953,0.49355,-0.9460505424714095
PARK_FACTOR,RUN_SUPPRESSING_<0.98,43,0.373716568898875,0.49355,-0.11983343110112499
PARK_FACTOR,NEUTRAL_0.98_TO_1.02,41,0.07599280283525155,0.49355,-0.41755719716474843
PARK_FACTOR,RUN_BOOSTING_>1.02,42,1.2201790933671735,0.49355,0.7266290933671735
SCORE_TIMING,INITIALIZATION_CAPTURE,5,3.5883240388116233,0.49355,3.0947740388116234
SCORE_TIMING,INITIAL_INTEGRATION_CAPTURE,13,-0.020410754323504008,0.49355,-0.513960754323504
SCORE_TIMING,PRIMARY_SCORE,82,0.6926398254846718,0.49355,0.19908982548467186
SCORE_TIMING,SCORE_MISSING,26,-0.15537333758759336,0.49355,-0.6489233375875934
