partition_type,partition,games,raw_crps,intercept_crps,intercept_minus_raw_crps
PROSPECTIVE_OVERALL,ALL,126,2.3138777181992336,2.2857381555052334,-0.02813956269400104
DATE,2026-08-06 00:00:00,5,4.021429934306758,3.8702765764940055,-0.15115335781275246
DATE,2026-08-07 00:00:00,14,1.945340393026084,1.9631924167292527,0.0178520237031684
DATE,2026-08-08 00:00:00,15,1.62091448083322,1.6125229933529457,-0.008391487480274325
DATE,2026-08-09 00:00:00,15,2.271757546927904,2.204913427630237,-0.06684411929766657
DATE,2026-08-10 00:00:00,10,2.4346501330355483,2.3347664704848605,-0.09988366255068748
DATE,2026-08-11 00:00:00,15,2.221522275249863,2.2723543923922636,0.050832117142400275
DATE,2026-08-12 00:00:00,15,2.1197671315804647,2.0441826393132665,-0.07558449226719811
DATE,2026-08-13 00:00:00,8,2.8903325485080127,2.887833060348327,-0.0024994881596859114
DATE,2026-08-14 00:00:00,14,2.9719585301826728,2.950683269506898,-0.02127526067577496
DATE,2026-08-15 00:00:00,15,2.1080449772903833,2.0931622750611543,-0.014882702229228916
FORECAST_MAGNITUDE,7.5-7.99,60,2.0810036955722517,2.057468647133596,-0.023535048438656093
FORECAST_MAGNITUDE,8.0-8.49,41,2.758652130806811,2.747682401064599,-0.010969729742211977
FORECAST_MAGNITUDE,8.5-8.99,11,1.8186682231148423,1.831312600802491,0.012644377687648771
FORECAST_MAGNITUDE,<7.5,9,2.3020642277562584,2.19797620903753,-0.10408801871872832
OFFENSE,CENTRAL_Z_-0.5_TO_0.5,97,2.294958274982631,2.2591234880854323,-0.035834786897198684
OFFENSE,HIGH_Z_>=0.5,8,2.2424205546893567,2.3922264894763705,0.14980593478701384
OFFENSE,LOW_Z_<-0.5,21,2.428489303917783,2.3681055873124506,-0.0603837166053319
STARTER_QUALITY,CENTRAL_Z_-0.5_TO_0.5,100,2.459927929355275,2.3962924099871303,-0.06363551936814386
STARTER_QUALITY,HIGH_Z_>=0.5,5,1.1477778391157667,1.2371667417006214,0.08938890258485462
STARTER_QUALITY,LOW_Z_<-0.5,21,1.8960433505712937,2.0089491850687207,0.1129058344974277
BULLPEN_QUALITY,CENTRAL_Z_-0.5_TO_0.5,96,2.469427188393349,2.428480523358799,-0.04094666503454931
BULLPEN_QUALITY,HIGH_Z_>=0.5,13,1.9017591116731198,1.8756914476350584,-0.026067664038061242
BULLPEN_QUALITY,LOW_Z_<-0.5,17,1.7506302326818508,1.7932287371740505,0.0425985044921999
PARK_FACTOR,RUN_SUPPRESSING_<0.98,43,2.2109150096617234,2.1999353020623333,-0.010979707599390492
PARK_FACTOR,NEUTRAL_0.98_TO_1.02,41,2.525982440182398,2.528527035322607,0.002544595140209522
PARK_FACTOR,RUN_BOOSTING_>1.02,42,2.2122373102421684,2.136575741827432,-0.07566156841473644
SCORE_TIMING,INITIALIZATION_CAPTURE,5,4.021429934306758,3.8702765764940055,-0.15115335781275246
SCORE_TIMING,INITIAL_INTEGRATION_CAPTURE,13,2.0274237662756267,2.040735304697708,0.013311538422081113
SCORE_TIMING,PRIMARY_SCORE,82,2.4478373402244107,2.4055108672897556,-0.042326472934654774
SCORE_TIMING,SCORE_MISSING,26,1.7062412292917257,1.7257759473984287,0.01953471810670265
