period,feature,feature_role,games,mean_feature_value,training_center,training_scale,frozen_coefficient,mean_log_location_contribution_vs_training_center,implied_multiplicative_location_factor
DEVELOPMENT_2023_24_TRAINING_CENTER,league_total,strict-prior league run environment,4859,9.12713348290902,9.12713348290902,0.11622389197806818,-0.01265250483616578,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_offense,home-team strict-prior runs scored state,4859,4.570371380309777,4.570371380309777,0.6330104783604718,0.01438300487029133,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_prevention,home-team strict-prior runs allowed state,4859,4.558559917513907,4.558559917513907,0.6423759599340648,-0.013582351836678185,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_offense,away-team strict-prior runs scored state,4859,4.559919885143778,4.559919885143778,0.6138253712323717,0.013564475744245507,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_prevention,away-team strict-prior runs allowed state,4859,4.567582879203796,4.567582879203796,0.672491566445702,-0.013586090275206979,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_starter_ra9,home probable starter strict-prior RA9 or governed fallback,4859,4.621325646023378,4.621325646023378,2.3152757588117585,0.013753975761015624,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_starter_ra9,away probable starter strict-prior RA9 or governed fallback,4859,4.567044285917361,4.567044285917361,2.1739521611910138,0.006799765020473005,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_starter_prior_starts,home probable starter history depth,4859,18.73677711463264,18.73677711463264,15.546598179262267,0.012677233712015375,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_starter_prior_starts,away probable starter history depth,4859,18.666803869108872,18.666803869108872,15.472110456847977,0.0008268356527004493,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_expected_outs,home probable starter expected workload,4859,15.678414157977553,15.678414157977553,3.0192965685908484,-0.011065970207803344,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_expected_outs,away probable starter expected workload,4859,15.801231001162217,15.801231001162217,3.011490034385665,0.007419496809107899,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_workload_uncertainty_outs,home starter workload uncertainty,4859,2.5668069657264914,2.5668069657264914,1.5663261696556983,0.010362819278096425,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_workload_uncertainty_outs,away starter workload uncertainty,4859,2.5474192247470175,2.5474192247470175,1.5654398149378506,0.0014323801126656583,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_bullpen_ra9,home bullpen strict-prior RA9,4859,4.543327985645738,4.543327985645738,0.7479101918157626,0.015070549615556185,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_bullpen_ra9,away bullpen strict-prior RA9,4859,4.553736276372421,4.553736276372421,0.84110065379265,0.010854280711089645,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_bullpen_likely_available_reliever_count,home likely-available reliever count,4859,9.422309117102284,9.422309117102284,3.0976234406358305,-0.01084444912895344,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_bullpen_likely_available_reliever_count,away likely-available reliever count,4859,9.578925704877546,9.578925704877546,3.1170643465278403,0.003558827664027518,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,home_bullpen_recent_innings_burden,home recent bullpen innings burden,4859,9.605542978665019,9.605542978665019,3.32833409975341,-0.000834537374008508,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,away_bullpen_recent_innings_burden,away recent bullpen innings burden,4859,9.224806201550388,9.224806201550388,3.2275133293466984,0.007154814495771844,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,strict_prior_total_run_factor,regressed strict-prior venue run factor,4859,1.0080243915561882,1.0080243915561882,0.058277054946043745,0.04347158492532503,0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,park_history_depth,number of prior venue games supporting the park state,4859,80.043836180284,80.043836180284,46.75071640123089,-0.02681303790069205,-0.0,1.0
DEVELOPMENT_2023_24_TRAINING_CENTER,game_number,doubleheader/game-number state,4859,1.0131714344515332,1.0131714344515332,0.11400854251336694,0.003839049993724805,0.0,1.0
FROZEN_2025_VALIDATION,league_total,strict-prior league run environment,2433,8.969171634346754,9.12713348290902,0.11622389197806818,-0.01265250483616578,0.017196232365380624,1.017344938742737
FROZEN_2025_VALIDATION,home_offense,home-team strict-prior runs scored state,2433,4.484274114791514,4.570371380309777,0.6330104783604718,0.01438300487029133,-0.0019562668101092066,0.9980456454326514
FROZEN_2025_VALIDATION,home_prevention,home-team strict-prior runs allowed state,2433,4.484679918016247,4.558559917513907,0.6423759599340648,-0.013582351836678185,0.0015621134809805613,1.0015633342158037
FROZEN_2025_VALIDATION,away_offense,away-team strict-prior runs scored state,2433,4.484915197003847,4.559919885143778,0.6138253712323717,0.013564475744245507,-0.0016574734780613009,0.9983438993725113
FROZEN_2025_VALIDATION,away_prevention,away-team strict-prior runs allowed state,2433,4.484291065765953,4.567582879203796,0.672491566445702,-0.013586090275206979,0.0016827126956150355,1.0016841292510636
FROZEN_2025_VALIDATION,home_starter_ra9,home probable starter strict-prior RA9 or governed fallback,2433,4.400676658539914,4.621325646023378,2.3152757588117585,0.013753975761015624,-0.0013107729452917147,0.9986900857423429
FROZEN_2025_VALIDATION,away_starter_ra9,away probable starter strict-prior RA9 or governed fallback,2433,4.478411804316561,4.567044285917361,2.1739521611910138,0.006799765020473005,-0.00027722783363211316,0.999722810590453
FROZEN_2025_VALIDATION,home_starter_prior_starts,home probable starter history depth,2433,42.2544184134813,18.73677711463264,15.546598179262267,0.012677233712015375,0.019177097887468318,1.0193621595179023
FROZEN_2025_VALIDATION,away_starter_prior_starts,away probable starter history depth,2433,41.61734484175914,18.666803869108872,15.472110456847977,0.0008268356527004493,0.0012264859133390392,1.0012272383547751
FROZEN_2025_VALIDATION,home_expected_outs,home probable starter expected workload,2433,15.734628031237156,15.678414157977553,3.0192965685908484,-0.011065970207803344,-0.0002060284680965687,0.9997939927543108
FROZEN_2025_VALIDATION,away_expected_outs,away probable starter expected workload,2433,15.72864775996712,15.801231001162217,3.011490034385665,0.007419496809107899,-0.0001788254718736204,0.999821190516448
FROZEN_2025_VALIDATION,home_workload_uncertainty_outs,home starter workload uncertainty,2433,2.4003309881266777,2.5668069657264914,1.5663261696556983,0.010362819278096425,-0.0011014056353221206,0.9988992006892411
FROZEN_2025_VALIDATION,away_workload_uncertainty_outs,away starter workload uncertainty,2433,2.4059772697144495,2.5474192247470175,1.5654398149378506,0.0014323801126656583,-0.00012941963118093058,0.9998705887431782
FROZEN_2025_VALIDATION,home_bullpen_ra9,home bullpen strict-prior RA9,2433,4.5353692345645555,4.543327985645738,0.7479101918157626,0.015070549615556185,-0.00016037052892089537,0.999839642329745
FROZEN_2025_VALIDATION,away_bullpen_ra9,away bullpen strict-prior RA9,2433,4.5356907538581845,4.553736276372421,0.84110065379265,0.010854280711089645,-0.0002328748242729275,0.9997671522889643
FROZEN_2025_VALIDATION,home_bullpen_likely_available_reliever_count,home likely-available reliever count,2433,9.661323468968352,9.422309117102284,3.0976234406358305,-0.01084444912895344,-0.0008367637414860571,0.9991635862476672
FROZEN_2025_VALIDATION,away_bullpen_likely_available_reliever_count,away likely-available reliever count,2433,9.778462803123716,9.578925704877546,3.1170643465278403,0.003558827664027518,0.00022781632532843288,1.0002278422774382
