term,control_coefficient,repaired_coefficient,repaired_minus_control,absolute_change,relative_change_vs_control_absolute,sign_flip,status
league_total,-0.01265250483616578,-0.009121384581001273,0.0035311202551645063,0.0035311202551645063,0.2790846793491192,False,RETAINED_REFIT
home_offense,0.01438300487029133,0.015087237812546086,0.0007042329422547559,0.0007042329422547559,0.04896285224163256,False,RETAINED_REFIT
home_prevention,-0.013582351836678185,-0.012296395860512854,0.001285955976165331,0.001285955976165331,0.09467844682779439,False,RETAINED_REFIT
away_offense,0.013564475744245507,0.01422722503703608,0.0006627492927905737,0.0006627492927905737,0.04885918964260256,False,RETAINED_REFIT
away_prevention,-0.013586090275206979,-0.012712933632803715,0.0008731566424032642,0.0008731566424032642,0.06426842636226793,False,RETAINED_REFIT
home_starter_ra9,0.013753975761015624,0.014250473464018296,0.000496497703002672,0.000496497703002672,0.03609848611264453,False,RETAINED_REFIT
away_starter_ra9,0.006799765020473005,0.00701805004626481,0.0002182850257918048,0.0002182850257918048,0.03210184839249349,False,RETAINED_REFIT
home_starter_prior_starts,0.012677233712015375,0.0006045472197127954,-0.01207268649230258,0.01207268649230258,0.9523123708652771,False,RETAINED_REFIT
away_starter_prior_starts,0.0008268356527004493,-0.010872043168452675,-0.011698878821153124,0.011698878821153124,14.148977227753216,True,RETAINED_REFIT
home_expected_outs,-0.011065970207803344,-0.007414313935690596,0.003651656272112748,0.003651656272112748,0.32998970750325396,False,RETAINED_REFIT
away_expected_outs,0.007419496809107899,0.010418727359514813,0.002999230550406914,0.002999230550406914,0.4042363825435129,False,RETAINED_REFIT
home_workload_uncertainty_outs,0.010362819278096425,0.010388781746984557,2.5962468888132348e-05,2.5962468888132348e-05,0.0025053480323649403,False,RETAINED_REFIT
away_workload_uncertainty_outs,0.0014323801126656583,0.0013164015179776812,-0.00011597859468797712,0.00011597859468797712,0.08096914615223262,False,RETAINED_REFIT
home_bullpen_ra9,0.015070549615556185,0.01284178156967175,-0.002228768045884434,0.002228768045884434,0.14788896906479415,False,RETAINED_REFIT
away_bullpen_ra9,0.010854280711089645,0.009848791942991162,-0.001005488768098483,0.001005488768098483,0.09263522796781837,False,RETAINED_REFIT
home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.012382836433609365,-0.0015383873046559242,0.0015383873046559242,0.14185942378102046,False,RETAINED_REFIT
away_bullpen_likely_available_reliever_count,0.003558827664027518,0.0021600145225947357,-0.0013988131414327822,0.0013988131414327822,0.39305447565554447,False,RETAINED_REFIT
home_bullpen_recent_innings_burden,-0.000834537374008508,-0.0022483806124508248,-0.0014138432384423168,0.0014138432384423168,1.694164075182453,False,RETAINED_REFIT
away_bullpen_recent_innings_burden,0.007154814495771844,0.006149485167285061,-0.001005329328486783,0.001005329328486783,0.1405108866317757,False,RETAINED_REFIT
strict_prior_total_run_factor,0.04347158492532503,0.0443690137870892,0.0008974288617641657,0.0008974288617641657,0.020644033644178335,False,RETAINED_REFIT
park_history_depth,-0.02681303790069205,nan,nan,nan,nan,False,REMOVED_DIRECT_LOCATION
game_number,0.003839049993724805,0.003112184877286818,-0.000726865116437987,0.000726865116437987,0.1893346316474385,False,RETAINED_REFIT
INTERCEPT,2.1965397963878517,2.19667927644979,0.00013948006193853502,0.00013948006193853502,,,REFIT
DISPERSION_ALPHA,0.12944479977012996,0.12977069284586348,0.00032589307573352433,0.00032589307573352433,,,SAME_CONSTRUCTION_REFIT_MEAN
