period,variant,row_type,line_events,ladder_brier,ladder_log_loss,ladder_ece,reliability_bin,mean_probability,observed_rate,absolute_calibration_gap
FROZEN_2025_VALIDATION,CONTROL_RAW,SUMMARY,14598,0.22718558400314987,0.646296657014328,0.01646743865268339,,,,
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,574,,,,"[0.1, 0.2)",0.18454113205606,0.23170731707317074,0.04716618501711076
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,3145,,,,"[0.2, 0.3)",0.25076897545070215,0.2794912559618442,0.028722280511142062
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,2986,,,,"[0.3, 0.4)",0.3479502690307613,0.36336235766912256,0.015412088638361243
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,2679,,,,"[0.4, 0.5)",0.4479663186327023,0.4665920119447555,0.018625693312053215
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,2487,,,,"[0.5, 0.6)",0.5484618963104968,0.5484519501407318,9.946169765018276e-06
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,2377,,,,"[0.6, 0.7)",0.6470083619724357,0.6537652503155238,0.006756888343088074
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,347,,,,"[0.7, 0.8)",0.733605953459556,0.7031700288184438,0.030435924641112222
FROZEN_2025_VALIDATION,CONTROL_RAW,RELIABILITY_BIN,3,,,,"[0.8, 0.9)",0.8069508070597932,0.6666666666666666,0.14028414039312653
FROZEN_2025_VALIDATION,REPAIRED,SUMMARY,14598,0.22662294593769958,0.6449158736349274,0.010254202207018295,,,,
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,196,,,,"[0.1, 0.2)",0.19013139298732026,0.21428571428571427,0.02415432129839401
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,3057,,,,"[0.2, 0.3)",0.25404341655010515,0.26921818776578343,0.015174771215678284
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,3020,,,,"[0.3, 0.4)",0.349512499576393,0.3519867549668874,0.0024742553904943954
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,2731,,,,"[0.4, 0.5)",0.45008164061217654,0.45221530574880997,0.0021336651366334336
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,2532,,,,"[0.5, 0.6)",0.5511365180712621,0.5304107424960506,0.02072577557521149
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,2520,,,,"[0.6, 0.7)",0.6515786635612627,0.6444444444444445,0.007134219116818219
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,523,,,,"[0.7, 0.8)",0.7250303072193172,0.6978967495219885,0.027133557697328614
FROZEN_2025_VALIDATION,REPAIRED,RELIABILITY_BIN,19,,,,"[0.8, 0.9)",0.8094061124589157,0.8421052631578947,0.032699150698978996
FROZEN_2025_VALIDATION,V1_INTERCEPT_DIAGNOSTIC,SUMMARY,14598,0.22760136613099038,0.6470128518128263,0.026747946284697795,,,,
FROZEN_2025_VALIDATION,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,36,,,,"[0.1, 0.2)",0.19220660631911918,0.3055555555555556,0.1133489492364364
FROZEN_2025_VALIDATION,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,2423,,,,"[0.2, 0.3)",0.26026051281098533,0.2542302930251754,0.0060302197858099205
