row_type,feature,period,semantics,mechanically_grows,control_coefficient,repaired_coefficient,games,mean,p99,max,training_max,share_above_training_max,within_context_month_actual_total_correlation,safety_decision,notes
PERIOD,home_starter_prior_starts,DEVELOPMENT_2023_24,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,4859,18.73677711463264,59.0,65.0,65.0,0.0,0.00824815964292724,,
PERIOD,home_starter_prior_starts,FROZEN_2025_VALIDATION,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,2433,42.2544184134813,91.67999999999984,99.0,65.0,0.2379778051787916,0.005517791766642056,,
PERIOD,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,1281,48.70725995316159,108.20000000000005,113.0,65.0,0.3286494925839188,0.03762671874205224,,
PERIOD,home_starter_prior_starts,2026_LATE_HOLDOUT,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,439,52.21412300683371,115.62,118.0,65.0,0.357630979498861,-0.016288160574021777,,
PERIOD,home_starter_prior_starts,PROSPECTIVE_AUG06_15,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,126,51.698412698412696,119.5,120.0,65.0,0.3333333333333333,nan,,
DECISION,home_starter_prior_starts,ALL,prior starts by home probable starter in governed history; cumulative across seasons,YES,0.012677233712015375,0.0006045472197127954,,,,,,,0.00824815964292724,WATCH,Safety-only finding; no related feature was modified or optimized in this task.
PERIOD,away_starter_prior_starts,DEVELOPMENT_2023_24,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,4859,18.666803869108872,59.0,66.0,66.0,0.0,0.019243149678752385,,
PERIOD,away_starter_prior_starts,FROZEN_2025_VALIDATION,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,2433,41.61734484175914,91.0,97.0,66.0,0.2120838471023428,0.029074765086300722,,
PERIOD,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,1281,48.59328649492584,107.0,112.0,66.0,0.3286494925839188,0.04677125693345463,,
PERIOD,away_starter_prior_starts,2026_LATE_HOLDOUT,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,439,53.14123006833713,115.62,119.0,66.0,0.3553530751708428,-0.14180218474857553,,
PERIOD,away_starter_prior_starts,PROSPECTIVE_AUG06_15,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,126,55.333333333333336,116.5,118.0,66.0,0.38095238095238093,nan,,
DECISION,away_starter_prior_starts,ALL,prior starts by away probable starter in governed history; cumulative across seasons,YES,0.0008268356527004493,-0.010872043168452675,,,,,,,0.019243149678752385,STRUCTURAL_REVIEW_JUSTIFIED,Safety-only finding; no related feature was modified or optimized in this task.
PERIOD,home_bullpen_likely_available_reliever_count,DEVELOPMENT_2023_24,relievers observed in prior 30 days minus relievers used in prior 1.5 days,NO_ROLLING_WINDOW,-0.01084444912895344,-0.012382836433609365,4859,9.422309117102284,17.0,21.0,21.0,0.0,-0.043406075060483454,,
