feature,comparison,level,pitchers,correlation
home_starter_prior_starts,final_total,BETWEEN_PITCHER_MEANS,373,-0.13589550493066754
home_starter_prior_starts,raw_residual,BETWEEN_PITCHER_MEANS,373,-0.1643666153232214
home_starter_prior_starts,repaired_residual,BETWEEN_PITCHER_MEANS,373,-0.09706053116639048
home_starter_prior_starts,starter_ra9,BETWEEN_PITCHER_MEANS,373,-0.20151597888825976
home_starter_prior_starts,final_total,WITHIN_PITCHER_FIXED_EFFECT,609,0.01778084153789537
home_starter_prior_starts,run_residual,WITHIN_PITCHER_FIXED_EFFECT,609,0.051863137737454296
home_starter_prior_starts,repaired_residual,WITHIN_PITCHER_FIXED_EFFECT,609,0.034294396138313005
home_starter_prior_starts,starter_ra9,WITHIN_PITCHER_FIXED_EFFECT,609,-0.032981427335606966
away_starter_prior_starts,final_total,BETWEEN_PITCHER_MEANS,373,-0.05490626762307841
away_starter_prior_starts,raw_residual,BETWEEN_PITCHER_MEANS,373,-0.0752339371846163
away_starter_prior_starts,repaired_residual,BETWEEN_PITCHER_MEANS,373,-0.003911101756349659
away_starter_prior_starts,starter_ra9,BETWEEN_PITCHER_MEANS,373,-0.1946504162809576
away_starter_prior_starts,final_total,WITHIN_PITCHER_FIXED_EFFECT,639,0.02483527158346708
away_starter_prior_starts,run_residual,WITHIN_PITCHER_FIXED_EFFECT,639,0.07359423959625977
away_starter_prior_starts,repaired_residual,WITHIN_PITCHER_FIXED_EFFECT,639,0.05733073097135858
away_starter_prior_starts,starter_ra9,WITHIN_PITCHER_FIXED_EFFECT,639,-0.04012240212486235
