period,feature,games,mean,std,min,p05,p10,p25,median,p75,p90,p95,p99,max,zero_rate,below_three_rate,governed_sparse_fallback_rate,training_p95,training_p99,training_max,share_above_training_p95,share_above_training_p99,share_above_training_max,standardized_mean_shift,drift_class
DEVELOPMENT_2023_24,home_starter_prior_starts,4859,18.73677711463264,15.54819819966266,0.0,0.0,2.0,6.0,15.0,29.0,42.0,49.0,59.0,65.0,0.052274130479522535,0.13500720312821568,0.13500720312821568,49.0,59.0,65.0,0.04939287919324964,0.00782053920559786,0.0,0.0,NONE
FROZEN_2025_VALIDATION,home_starter_prior_starts,2433,42.2544184134813,26.14342018553723,0.0,2.0,6.0,18.0,44.0,65.0,76.0,82.40000000000009,91.67999999999984,99.0,0.02424989724619811,0.05877517468146321,0.05877517468146321,49.0,59.0,65.0,0.436498150431566,0.3152486642005754,0.2379778051787916,1.512563770852812,SEVERE
2026_SEQUENTIAL_EARLY,home_starter_prior_starts,1281,48.70725995316159,32.282120904060854,0.0,3.0,6.0,20.0,47.0,78.0,95.0,101.0,108.20000000000005,113.0,0.01795472287275566,0.04605776736924278,0.04605776736924278,49.0,59.0,65.0,0.4722872755659641,0.3700234192037471,0.3286494925839188,1.9275855924694347,EXTREME
2026_LATE_HOLDOUT,home_starter_prior_starts,439,52.21412300683371,34.93692530628562,0.0,3.0,8.0,20.5,50.0,84.5,103.0,110.0,115.62,118.0,0.02050113895216401,0.04328018223234624,0.04328018223234624,49.0,59.0,65.0,0.5011389521640092,0.4191343963553531,0.357630979498861,2.1531334668043662,EXTREME
PROSPECTIVE_AUG06_15,home_starter_prior_starts,126,51.698412698412696,34.52981780230411,0.0,3.25,10.0,21.25,46.5,76.0,103.5,111.0,119.5,120.0,0.007936507936507936,0.031746031746031744,0.05555555555555555,49.0,59.0,65.0,0.46825396825396826,0.42063492063492064,0.3333333333333333,2.119964973465234,EXTREME
DEVELOPMENT_2023_24,away_starter_prior_starts,4859,18.666803869108872,15.473702811141994,0.0,0.0,2.0,6.0,15.0,29.0,42.0,49.0,59.0,66.0,0.05392055978596419,0.14241613500720313,0.14241613500720313,49.0,59.0,66.0,0.04795225355011319,0.008849557522123894,0.0,0.0,NONE
FROZEN_2025_VALIDATION,away_starter_prior_starts,2433,41.61734484175914,26.055077890906087,0.0,2.0,5.0,18.0,43.0,64.0,75.0,82.40000000000009,91.0,97.0,0.02301685162351007,0.05877517468146321,0.05877517468146321,49.0,59.0,66.0,0.4221126181668722,0.30743937525688453,0.2120838471023428,1.483196443201979,SEVERE
2026_SEQUENTIAL_EARLY,away_starter_prior_starts,1281,48.59328649492584,32.67585957008075,0.0,2.0,5.0,20.0,47.0,79.0,95.0,101.0,107.0,112.0,0.02498048399687744,0.06713505074160812,0.06713505074160812,49.0,59.0,66.0,0.4722872755659641,0.37158469945355194,0.3286494925839188,1.9340220625323183,EXTREME
2026_LATE_HOLDOUT,away_starter_prior_starts,439,53.14123006833713,35.219962549011846,0.0,3.0,8.0,20.0,51.0,87.0,104.0,111.0,115.62,119.0,0.018223234624145785,0.04555808656036447,0.04555808656036447,49.0,59.0,66.0,0.510250569476082,0.428246013667426,0.3553530751708428,2.2279364299542195,EXTREME
PROSPECTIVE_AUG06_15,away_starter_prior_starts,126,55.333333333333336,35.32659055159442,0.0,5.25,12.5,25.25,51.5,86.75,107.0,112.75,116.5,118.0,0.007936507936507936,0.023809523809523808,0.05555555555555555,49.0,59.0,66.0,0.5158730158730159,0.46825396825396826,0.38095238095238093,2.369602797193595,EXTREME
