model,period,games,mean_joint_log_location_contribution,median_joint_log_location_contribution,p10_joint_log_location_contribution,p90_joint_log_location_contribution,mean_joint_location_factor,min_joint_location_factor,max_joint_location_factor
CONTROL,DEVELOPMENT_2023_24,4859,0.0,-0.0031757836188067664,-0.01444537521405238,0.01979973641114469,1.0000852038581785,0.9838555640113557,1.0397265418531707
CONTROL,FROZEN_2025_VALIDATION,2433,0.020403583800807357,0.021566409971412456,-0.009631099790035387,0.048473360153495765,1.0208470335865831,0.9838555640113557,1.0685562421395383
CONTROL,2026_SEQUENTIAL_EARLY,1281,0.026038250971648576,0.02402466801774036,-0.008883825658671119,0.06427582164325088,1.0267409567950434,0.9838555640113557,1.0837317001727858
CONTROL,2026_LATE_HOLDOUT,439,0.029140912251623206,0.02740899018080243,-0.007098025194471415,0.0696545492382768,1.0299880502770213,0.9843814807980223,1.0871841487317473
CONTROL,PROSPECTIVE_AUG06_15,126,0.02883753109282636,0.023317988602733698,-0.006679878070196194,0.07221640584523976,1.029668167101981,0.9853424654590093,1.0906928433994516
PARK_REPAIR,DEVELOPMENT_2023_24,4859,1.462322979543322e-18,0.0025506991143505425,-0.01618906676739924,0.011724509776143421,1.0000564849495521,0.9666949045093458,1.014948768730692
PARK_REPAIR,FROZEN_2025_VALIDATION,2433,-0.015212525012717264,-0.01631338585526626,-0.03898436581428524,0.010357475724551136,0.9850674710977494,0.9474477222103831,1.0156594313654868
PARK_REPAIR,2026_SEQUENTIAL_EARLY,1281,-0.0198634989375051,-0.018346409027499573,-0.05257814499277443,0.010385965252483186,0.980589280433107,0.9365664019784711,1.0165286948222108
PARK_REPAIR,2026_LATE_HOLDOUT,439,-0.022922909122714382,-0.021348849791179327,-0.05854007691591926,0.008563474435614516,0.9776375778595184,0.9327011260225676,1.0171218009654626
PARK_REPAIR,PROSPECTIVE_AUG06_15,126,-0.0244833244811498,-0.02249735894675086,-0.060617417667862716,0.005140731463720256,0.976110817875641,0.9331339043504576,1.014948768730692
