row_type,feature,pitcher_id,appearances,pitchers,count_vs_date_pearson,count_vs_date_spearman,within_pitcher_declines,same_count_successors,season_resets,mechanical_career_growth,first_date,last_date,first_count,last_count,estimated_count_increase_per_month
GLOBAL,home_starter_prior_starts,ALL,9012,609,0.5683583308343828,0.5594489097868953,0,0,0,YES,,,,,
PITCHER,home_starter_prior_starts,425794,11,,0.9977511213620727,,0,,,YES,2023-05-06,2023-09-18,0,20,4.5092592592592595
PITCHER,home_starter_prior_starts,425844,15,,0.9891342624694607,,0,,,YES,2023-03-30,2023-10-01,0,26,4.277702702702703
PITCHER,home_starter_prior_starts,434378,37,,0.9809827755755367,,0,,,YES,2023-05-16,2025-09-27,2,72,2.463150289017341
PITCHER,home_starter_prior_starts,448179,18,,0.6197410355748973,,0,,,YES,2023-04-07,2025-07-28,1,28,0.9748665480427047
PITCHER,home_starter_prior_starts,450203,45,,0.987954399545541,,0,,,YES,2023-04-08,2025-09-28,1,86,2.861933075221239
PITCHER,home_starter_prior_starts,453286,32,,0.9717772699850914,,0,,,YES,2023-04-10,2026-08-02,2,60,1.4589876033057851
PITCHER,home_starter_prior_starts,458681,29,,0.9665843927339393,,0,,,YES,2023-04-06,2024-09-17,1,54,3.0437499999999997
PITCHER,home_starter_prior_starts,471911,24,,0.9600290104667216,,0,,,YES,2023-04-09,2025-08-07,1,48,1.6810370152761458
PITCHER,home_starter_prior_starts,477132,23,,0.9572584583561004,,0,,,YES,2023-04-01,2025-09-19,0,51,1.7209672949002217
PITCHER,home_starter_prior_starts,489119,13,,0.8961438072974852,,0,,,YES,2023-04-04,2024-04-16,0,24,1.9325396825396826
PITCHER,home_starter_prior_starts,500779,37,,0.9822676254247283,,0,,,YES,2023-07-20,2026-05-18,0,75,2.209886253630203
PITCHER,home_starter_prior_starts,502043,32,,0.9657473383166167,,0,,,YES,2023-04-10,2025-05-17,2,66,2.536458333333333
PITCHER,home_starter_prior_starts,502171,14,,0.8203612590087337,,0,,,YES,2023-04-07,2024-09-01,1,30,1.7206384015594542
PITCHER,home_starter_prior_starts,502624,10,,0.9735450863921036,,0,,,YES,2023-05-16,2023-09-26,0,16,3.661654135338346
PITCHER,home_starter_prior_starts,506433,32,,0.9622392034344942,,0,,,YES,2023-04-04,2025-09-26,0,54,1.814155629139073
PITCHER,home_starter_prior_starts,518876,47,,0.9828252980162064,,0,,,YES,2023-04-06,2026-07-22,1,92,2.3024210307564426
PITCHER,home_starter_prior_starts,519242,42,,0.9880639488658001,,0,,,YES,2023-04-01,2026-07-23,0,87,2.190291563275434
PITCHER,home_starter_prior_starts,527048,38,,0.9822634272105635,,0,,,YES,2023-04-02,2026-08-01,0,72,1.8007395234182417
PITCHER,home_starter_prior_starts,542881,41,,0.9849239913748518,,0,,,YES,2023-04-08,2025-08-22,1,80,2.7734284890426757
PITCHER,home_starter_prior_starts,542888,12,,0.9478252359501984,,0,,,YES,2023-06-07,2025-06-19,0,14,0.5735195154777927
PITCHER,home_starter_prior_starts,543037,33,,0.9102784283832517,,0,,,YES,2023-03-30,2026-07-22,0,60,1.5092975206611572
PITCHER,home_starter_prior_starts,543101,12,,0.7426735965882701,,0,,,YES,2023-04-09,2025-08-06,1,20,0.6803676470588236
PITCHER,home_starter_prior_starts,543135,47,,0.9905001834606767,,0,,,YES,2023-04-01,2026-07-25,0,95,2.387747729149463
PITCHER,home_starter_prior_starts,543243,64,,0.9899024307487916,,0,,,YES,2023-04-07,2026-08-05,1,112,2.7784231085526314
PITCHER,home_starter_prior_starts,543294,40,,0.985316634161141,,0,,,YES,2023-05-25,2025-09-26,0,78,2.776754385964912
PITCHER,home_starter_prior_starts,543475,15,,0.9989141250066391,,0,,,YES,2023-04-01,2023-09-29,0,30,5.044889502762431
PITCHER,home_starter_prior_starts,544150,12,,0.9951354723606795,,0,,,YES,2024-04-17,2024-09-22,0,22,4.238132911392405
PITCHER,home_starter_prior_starts,547179,45,,0.9915978880696832,,0,,,YES,2023-04-15,2026-08-03,0,97,2.4481239635157546
PITCHER,home_starter_prior_starts,548389,11,,0.9437278629748985,,0,,,YES,2023-04-23,2024-08-06,1,24,1.486332271762208
PITCHER,home_starter_prior_starts,554430,50,,0.9855506104907739,,0,,,YES,2023-04-07,2026-07-21,1,103,2.5850333055786847
PITCHER,home_starter_prior_starts,570632,13,,0.9844487813871262,,0,,,YES,2023-04-07,2025-09-10,1,24,0.7892474633596392
PITCHER,home_starter_prior_starts,571510,34,,0.9518108765003312,,0,,,YES,2023-04-09,2026-08-03,1,67,1.6574876237623763
PITCHER,home_starter_prior_starts,571578,52,,0.9896501642410419,,0,,,YES,2023-03-30,2026-06-26,0,108,2.776393581081081
PITCHER,home_starter_prior_starts,571760,41,,0.9857540685888421,,0,,,YES,2023-04-04,2025-08-06,0,80,2.8479532163742687
PITCHER,home_starter_prior_starts,571927,16,,0.9517185914228412,,0,,,YES,2023-04-04,2026-06-02,0,35,0.9223484848484848
PITCHER,home_starter_prior_starts,571945,53,,0.9862224341108019,,0,,,YES,2023-03-30,2026-07-26,0,106,2.657640032948929
PITCHER,home_starter_prior_starts,572020,17,,0.9515445072464137,,0,,,YES,2023-05-12,2024-08-11,0,39,2.597510940919037
PITCHER,home_starter_prior_starts,573186,35,,0.9656825205613299,,0,,,YES,2023-03-30,2025-07-31,0,62,2.209748243559719
PITCHER,home_starter_prior_starts,579328,51,,0.9880590231331612,,0,,,YES,2023-04-15,2026-04-18,2,101,2.7418676069153776
PITCHER,home_starter_prior_starts,592332,61,,0.9920531642500562,,0,,,YES,2023-04-12,2026-08-01,2,116,2.8747928748964373
PITCHER,home_starter_prior_starts,592351,26,,0.9633359305713693,,0,,,YES,2023-04-03,2024-08-30,0,47,2.7777912621359224
PITCHER,home_starter_prior_starts,592662,32,,0.9205249640457274,,0,,,YES,2023-03-31,2026-07-25,0,59,1.4816934818481848
PITCHER,home_starter_prior_starts,592767,10,,0.9951168869405341,,0,,,YES,2023-04-10,2023-08-02,1,19,4.805921052631579
PITCHER,home_starter_prior_starts,592791,48,,0.9869936599378499,,0,,,YES,2023-04-02,2026-07-20,0,93,2.3491182572614107
PITCHER,home_starter_prior_starts,592836,37,,0.9747286308786776,,0,,,YES,2023-04-09,2026-04-17,1,70,1.9023437500000002
PITCHER,home_starter_prior_starts,592866,29,,0.967201729450167,,0,,,YES,2023-04-03,2025-07-02,0,59,2.1873477466504263
PITCHER,home_starter_prior_starts,593334,10,,0.9987303739768242,,0,,,YES,2023-04-04,2023-07-25,0,18,4.891741071428571
PITCHER,home_starter_prior_starts,593423,18,,0.8758938373535712,,0,,,YES,2024-03-28,2025-08-03,0,36,2.2226166328600403
PITCHER,home_starter_prior_starts,593958,42,,0.9779104951367285,,0,,,YES,2023-04-18,2026-08-04,3,87,2.123546511627907
PITCHER,home_starter_prior_starts,594798,31,,0.8833744133777355,,0,,,YES,2023-03-30,2026-07-26,0,58,1.4541803953871497
PITCHER,home_starter_prior_starts,594902,25,,0.9627941737450525,,0,,,YES,2023-05-19,2025-05-12,0,49,2.059996546961326
PITCHER,home_starter_prior_starts,596133,11,,0.9946028042212016,,0,,,YES,2023-04-25,2023-09-22,1,23,4.464166666666666
PITCHER,home_starter_prior_starts,596295,35,,0.9678536021877715,,0,,,YES,2023-04-08,2025-08-19,1,68,2.3603153935185186
PITCHER,home_starter_prior_starts,601713,40,,0.9795778555229737,,0,,,YES,2023-04-04,2026-04-12,0,77,2.122905344202899
PITCHER,home_starter_prior_starts,605135,55,,0.9864953846358105,,0,,,YES,2023-04-13,2026-05-28,2,103,2.694292287467134
