row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,final_total,0.01778084153789537,0.010730134260949832,0.029843909226571923,ABSENT,,,,,
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,raw_forecast,-0.36736448004870476,-0.10974254496696936,0.07808917394880764,ABSENT,,,,,
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,run_residual,0.051863137737454296,0.016772314717807685,0.023550254717245547,ABSENT,,,,,
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,repaired_forecast,-0.19652608684793885,-0.09284720227968905,-0.029570447255751205,ABSENT,,,,,
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,repaired_residual,0.034294396138313005,0.016234996913133546,0.0321565565938506,ABSENT,,,,,
AGGREGATE_FIXED_EFFECT,home_starter_prior_starts,ALL,9012,starter_ra9,-0.032981427335606966,-0.0074637498755342375,-0.00011908038228167187,ABSENT,,,,,
PITCHER,home_starter_prior_starts,425794,11,final_total,,,,ABSENT,-0.6204822029843099,2.0,-0.6528446579197701,-0.6546177249625433,0.8061378647733782
PITCHER,home_starter_prior_starts,425844,15,final_total,,,,ABSENT,0.06786250359341964,1.8571428571428572,0.01841466632531705,0.017535557749391136,0.5936618753642314
PITCHER,home_starter_prior_starts,434378,37,final_total,,,,ABSENT,0.07892367076888049,1.9444444444444444,0.16003118347297393,0.14023200258393057,0.32961202328167755
PITCHER,home_starter_prior_starts,448179,18,final_total,,,,ABSENT,0.18962733280205715,1.588235294117647,0.18711568763414077,0.18351510954125225,-0.1896197525338414
PITCHER,home_starter_prior_starts,450203,45,final_total,,,,ABSENT,0.08060512155066524,1.9318181818181819,0.12781384451798322,0.12138719370837425,0.6844071032943642
PITCHER,home_starter_prior_starts,453286,32,final_total,,,,ABSENT,0.2739965566940375,1.8709677419354838,0.3176521172773937,0.27254828517916785,-0.09765989480114833
PITCHER,home_starter_prior_starts,458681,29,final_total,,,,ABSENT,-0.4887100920348226,1.8928571428571428,-0.487357315916106,-0.4953708479204627,-0.3035764371812432
PITCHER,home_starter_prior_starts,471911,24,final_total,,,,ABSENT,-0.1792977482207524,2.0434782608695654,-0.13036468537366613,-0.147521585981001,-0.4008799693681816
PITCHER,home_starter_prior_starts,477132,23,final_total,,,,ABSENT,0.2275729888309463,2.3181818181818183,0.31177139835592904,0.26737198670343143,-0.04586016073267981
PITCHER,home_starter_prior_starts,489119,13,final_total,,,,ABSENT,0.010188869095897857,2.0,0.03710871609065308,0.03024357326398252,0.22479977950043062
PITCHER,home_starter_prior_starts,500779,37,final_total,,,,ABSENT,0.29679529225270457,2.0833333333333335,0.26877510904079227,0.24497859452371892,0.051912557335055995
PITCHER,home_starter_prior_starts,502043,32,final_total,,,,ABSENT,0.2611580385148213,2.064516129032258,0.23531029637798684,0.23194150806421968,0.538682928930429
PITCHER,home_starter_prior_starts,502171,14,final_total,,,,ABSENT,0.09158830884364409,2.230769230769231,0.20444279395891898,0.19604444517138472,0.31928337934145645
PITCHER,home_starter_prior_starts,502624,10,final_total,,,,ABSENT,-0.10419760022681379,1.7777777777777777,-0.15303493905580987,-0.15732667204638182,0.775248348986626
PITCHER,home_starter_prior_starts,506433,32,final_total,,,,ABSENT,0.004495983620378525,1.7419354838709677,0.07092442199937221,0.03964070713245754,0.23659411393086385
PITCHER,home_starter_prior_starts,518876,47,final_total,,,,ABSENT,0.32565903394859896,1.9782608695652173,0.3639651020303145,0.3351714194647441,0.4808481899401729
