slate_date,game_pk,batter_mlb_id,player_name,game,plate_appearances_authoritative,singles_authoritative,doubles_authoritative,triples_authoritative,home_runs_authoritative,total_bases_authoritative,exact_reason,denominator_disposition
2026-07-27,822705,677588,José Tena,TOR @ WSH,2.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,822868,670042,Luke Raley,SEA @ TEX,4.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823025,665877,José Fermín,CHC @ STL,4.0,0.0,0.0,0.0,1.0,4.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823025,671056,Iván Herrera,CHC @ STL,4.0,1.0,0.0,0.0,0.0,1.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823025,676369,Nelson Velázquez,CHC @ STL,2.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823195,641343,Jake Bauers,MIL @ SF,2.0,1.0,0.0,0.0,0.0,1.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823353,682988,Tyler Locklear,ARI @ PIT,3.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,823353,682997,Tyler Callihan,ARI @ PIT,4.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824001,666176,Jo Adell,HOU @ LAA,4.0,0.0,1.0,0.0,0.0,2.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824001,687093,Vaughn Grissom,HOU @ LAA,5.0,2.0,0.0,0.0,1.0,6.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824245,669236,Jeremiah Jackson,BAL @ DET,4.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824245,701678,Hao-Yu Lee,BAL @ DET,4.0,1.0,0.0,0.0,0.0,1.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824245,702616,Jackson Holliday,BAL @ DET,5.0,3.0,1.0,0.0,0.0,5.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824570,676609,José Caballero,NYY @ CWS,4.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
2026-07-27,824977,703607,Henry Bolte,BOS @ ATH,4.0,0.0,0.0,0.0,0.0,0.0,GAME_COMPLETED_OUTCOME_MISSING,TECHNICALLY_UNRESOLVED_REQUIRING_REPAIR
