feature_order,parameter,coefficient,fit_imputation_median,fit_scaler_mean,fit_scaler_scale,positive_sign
1,diff_std_goal_diff_pg,0.043065330970423,0.0117450638792098,-0.0604100047681592,1.46573427778449,True
2,diff_r10_goal_diff_pg,0.0271911485634074,0,-0.0524200122274303,1.61961038332877,True
3,diff_std_shot_diff_pg,0.379113700048005,-0.10215053763441,-0.113124201966617,7.03118046652021,True
4,diff_days_rest,0.0446612540542048,0,0.0884450784593438,1.09239127372712,True
5,home_back_to_back,-0.0485803402201374,0,0.10413694721826,0.305438117205959,False
6,away_back_to_back,0.0708715916067571,0,0.159771754636234,0.366394242663136,True
7,diff_games_prior_5d,-0.0785921119270978,0,-0.0285306704707561,0.710055538795995,False
8,home_consecutive_road_games_prior,-0.0248031428131489,0,0.944365192582026,1.4034958607906,False
9,away_consecutive_road_games_prior,-0.0190234255575428,1,1.03138373751783,1.23968471773801,False
0,__INTERCEPT__,0.156558838668308,,,,True
