scope,record_type,bucket,rows,mean_probability,observed_home_win_rate,absolute_calibration_gap,expected_calibration_error,monotonicity_violations,classification
validation,bucket,0,0,,,,,,
validation,bucket,1,0,,,,,,
validation,bucket,2,1,0.298704461696438,1,0.701295538303562,,,
validation,bucket,3,30,0.369894563589576,0.266666666666667,0.103227896922909,,,
validation,bucket,4,191,0.456391735147411,0.418848167539267,0.0375435676081438,,,
validation,bucket,5,279,0.551003069580977,0.537634408602151,0.0133686609788267,,,
validation,bucket,6,168,0.638393452026703,0.672619047619048,0.0342255955923444,,,
validation,bucket,7,30,0.725808119802043,0.766666666666667,0.0408585468646234,,,
validation,bucket,8,0,,,,,,
validation,bucket,9,0,,,,,,
validation,summary,ALL,699,0.545522979585378,0.536480686695279,0.00904229289009917,0.0310078207978419,1,USABLE_WITH_BOUNDED_MISCALIBRATION
holdout,bucket,0,0,,,,,,
holdout,bucket,1,0,,,,,,
holdout,bucket,2,1,0.256216429878798,0,0.256216429878798,,,
holdout,bucket,3,45,0.370305848496761,0.422222222222222,0.0519163737254613,,,
holdout,bucket,4,332,0.458425994792486,0.466867469879518,0.00844147508703236,,,
holdout,bucket,5,697,0.548276490954379,0.565279770444763,0.0170032794903844,,,
holdout,bucket,6,291,0.635810800296983,0.676975945017182,0.0411651447201996,,,
holdout,bucket,7,31,0.731191956760436,0.774193548387097,0.0430015916266603,,,
holdout,bucket,8,1,0.830904603929283,1,0.169095396070717,,,
holdout,bucket,9,0,,,,,,
holdout,summary,ALL,1398,0.543479915757128,0.565092989985694,0.0216130742285656,0.0219796213385497,0,USABLE_WITH_BOUNDED_MISCALIBRATION
combined_out_of_time,bucket,0,0,,,,,,
combined_out_of_time,bucket,1,0,,,,,,
combined_out_of_time,bucket,2,2,0.277460445787618,0.5,0.222539554212382,,,
combined_out_of_time,bucket,3,75,0.370141334533887,0.36,0.0101413345338869,,,
combined_out_of_time,bucket,4,523,0.457683081614265,0.449330783938815,0.0083522976754507,,,
combined_out_of_time,bucket,5,976,0.549055912508499,0.557377049180328,0.00832113667182899,,,
combined_out_of_time,bucket,6,459,0.636756084590214,0.675381263616558,0.038625179026344,,,
combined_out_of_time,bucket,7,61,0.728544168092374,0.770491803278688,0.0419476351863141,,,
combined_out_of_time,bucket,8,1,0.830904603929283,1,0.169095396070717,,,
combined_out_of_time,bucket,9,0,,,,,,
combined_out_of_time,summary,ALL,2097,0.544160937033211,0.555555555555556,0.0113946185223441,0.0162862272722746,1,USABLE_WITH_BOUNDED_MISCALIBRATION
