scope,record_type,bucket,rows,minimum,q05,q25,median,mean,q75,q95,maximum,standard_deviation,home_wins,predicted_home_wins,accuracy,brier_score,log_loss,roc_auc,mean_home_probability,observed_home_win_rate,calibration_gap
all,distribution_summary,ALL,2798,0.152615952637116,0.401044166385687,0.483503051491549,0.543638741654311,0.542512178311987,0.601715420823056,0.685746930545671,0.903393927531395,0.0875038820766397,,,,,,,,,
all,fixed_probability_bucket,below_0.40,136,,,,,,,,,,48,0,0.647058823529412,0.224742486069607,0.640222495219425,0.546164772727273,0.353717434100542,0.352941176470588,0.000776257629954202
all,fixed_probability_bucket,0.40_to_0.45,261,,,,,,,,,,113,0,0.567049808429119,0.245102465912047,0.683302782303432,0.521585745037072,0.428147663183446,0.432950191570881,-0.00480252838743495
all,fixed_probability_bucket,0.45_to_0.50,443,,,,,,,,,,202,0,0.544018058690745,0.247791859497349,0.688724464091269,0.532209030031634,0.474380585812871,0.455981941309255,0.0183986445036157
all,fixed_probability_bucket,0.50_to_0.55,640,,,,,,,,,,336,640,0.525,0.24856224771012,0.690264970064924,0.542993225250627,0.526064481417003,0.525,0.00106448141700322
all,fixed_probability_bucket,0.55_to_0.60,601,,,,,,,,,,356,601,0.59234608985025,0.240876353135093,0.674771900930806,0.548515248796148,0.574040049026903,0.59234608985025,-0.0183060408233471
all,fixed_probability_bucket,0.60_to_0.65,430,,,,,,,,,,277,430,0.644186046511628,0.228999513442549,0.650517179306207,0.540194898657417,0.622021210679914,0.644186046511628,-0.0221648358317139
all,fixed_probability_bucket,0.65_to_0.70,191,,,,,,,,,,139,191,0.727748691099476,0.197964205952549,0.585261007078613,0.662977310459325,0.672239052317893,0.727748691099476,-0.055509638781583
all,fixed_probability_bucket,above_0.70,96,,,,,,,,,,71,96,0.739583333333333,0.192759331660184,0.572786600569116,0.460281690140845,0.733335907459935,0.739583333333333,-0.00624742587339833
combined_out_of_time,distribution_summary,ALL,2097,0.256216429878798,0.409460159335405,0.489514008017553,0.544450533257396,0.544160937033211,0.599596402955998,0.679463778260717,0.830904603929283,0.0815894814041838,,,,,,,,,
combined_out_of_time,fixed_probability_bucket,below_0.40,77,,,,,,,,,,28,0,0.636363636363636,0.227853943509738,0.647670218439391,0.604956268221574,0.367734038722295,0.363636363636364,0.00409767508593184
combined_out_of_time,fixed_probability_bucket,0.40_to_0.45,194,,,,,,,,,,81,0,0.582474226804124,0.243039377412908,0.679149653060559,0.517535234349394,0.428818705510595,0.417525773195876,0.0112929323147183
combined_out_of_time,fixed_probability_bucket,0.45_to_0.50,329,,,,,,,,,,154,0,0.531914893617021,0.247871659477996,0.688881450799493,0.555176252319109,0.474703412812174,0.468085106382979,0.00661830642919548
combined_out_of_time,fixed_probability_bucket,0.50_to_0.55,503,,,,,,,,,,259,503,0.514910536779324,0.24947526589425,0.692095736731487,0.525571238685993,0.525927476924732,0.514910536779324,0.0110169401454079
combined_out_of_time,fixed_probability_bucket,0.55_to_0.60,473,,,,,,,,,,285,473,0.602536997885835,0.239451548689763,0.671900248287139,0.546229936543486,0.573651267896733,0.602536997885835,-0.0288857299891025
combined_out_of_time,fixed_probability_bucket,0.60_to_0.65,325,,,,,,,,,,209,325,0.643076923076923,0.229812630009418,0.652220065202022,0.513735357201782,0.622216443411158,0.643076923076923,-0.020860479665765
combined_out_of_time,fixed_probability_bucket,0.65_to_0.70,134,,,,,,,,,,101,134,0.753731343283582,0.188561034310073,0.565559031828833,0.697569756975698,0.672020139688669,0.753731343283582,-0.0817112035949129
combined_out_of_time,fixed_probability_bucket,above_0.70,62,,,,,,,,,,48,62,0.774193548387097,0.180328380609888,0.548069769705759,0.376488095238095,0.730195142863937,0.774193548387097,-0.0439984055231594
