scope,margin_band,rows,home_wins,predicted_home_wins,accuracy,brier_score,log_loss,roc_auc,mean_home_probability,observed_home_win_rate,calibration_gap,favorite_side_success,absolute_calibration_gap
all,lt_0.025,514,254,303,0.511673151750973,0.249506634313311,0.692159886162785,0.528331314354936,0.502819215777591,0.494163424124514,0.00865579165307773,0.511673151750973,0.00865579165307773
all,0.025_to_0.05,569,284,337,0.551845342706503,0.247109353699052,0.687353843490882,0.575778354336546,0.506823885258878,0.499121265377856,0.00770261988102255,0.551845342706503,0.00770261988102255
all,0.05_to_0.10,862,469,601,0.584686774941995,0.242155953407466,0.677354917216485,0.59274239489575,0.529866136375926,0.544083526682135,-0.0142173903062089,0.584686774941995,0.0142173903062089
all,0.10_to_0.15,520,311,430,0.640384615384615,0.23019225013166,0.652981587411813,0.604855459314759,0.579833165344662,0.598076923076923,-0.0182437577322607,0.640384615384615,0.0182437577322607
all,gte_0.15,333,224,287,0.726726726726727,0.197149723704547,0.582626387399454,0.668864678899083,0.639217272551603,0.672672672672673,-0.0334554001210696,0.726726726726727,0.0334554001210696
combined_out_of_time,lt_0.025,400,204,242,0.5,0.249877764439098,0.692902560293636,0.510754301720688,0.503431738696753,0.51,-0.00656826130324695,0.5,0.00656826130324695
combined_out_of_time,0.025_to_0.05,432,209,261,0.541666666666667,0.247881316984789,0.688900761045179,0.56710365395756,0.507745944976028,0.483796296296296,0.023949648679732,0.541666666666667,0.023949648679732
combined_out_of_time,0.05_to_0.10,667,366,473,0.596701649175412,0.240495085080003,0.67400877081494,0.600993046856562,0.53152605484889,0.548725637181409,-0.0171995823325188,0.596701649175412,0.0171995823325188
combined_out_of_time,0.10_to_0.15,385,233,325,0.636363636363636,0.231352895745408,0.655364025704849,0.5777614637452,0.584441770033387,0.605194805194805,-0.0207530351614177,0.636363636363636,0.0207530351614177
combined_out_of_time,gte_0.15,213,153,196,0.76056338028169,0.185964937730946,0.560057343196919,0.668191721132898,0.661260944616126,0.71830985915493,-0.0570489145388039,0.76056338028169,0.0570489145388039
