team,appearance,games,mean_home_probability,actual_home_win_rate,correctness,brier_contribution_mean,brier_contribution_sum,calibration_gap,material_calibration_class,franchise_transition_flag
ANA,home,59,0.479491123173756,0.457627118644068,0.576271186440678,0.249569610939583,14.7246070454354,0.021864004529688,WITHIN_0_10,False
ARI,home,19,0.466870226739206,0.473684210526316,0.473684210526316,0.260169680536056,4.94322393018506,-0.00681398378711001,WITHIN_0_10,True
BOS,home,69,0.513538018321706,0.463768115942029,0.579710144927536,0.237299657909796,16.3736763957759,0.0497699023796769,WITHIN_0_10,False
BUF,home,59,0.530559008512641,0.559322033898305,0.457627118644068,0.257433077072159,15.1885515472574,-0.0287630253856641,WITHIN_0_10,False
CAR,home,76,0.64012764333705,0.723684210526316,0.723684210526316,0.202156033495983,15.3638585456947,-0.0835565671892662,WITHIN_0_10,False
CBJ,home,57,0.533934508218843,0.596491228070175,0.596491228070175,0.246135037204807,14.029697120674,-0.062556719851332,WITHIN_0_10,False
CGY,home,62,0.550032237943062,0.532258064516129,0.612903225806452,0.242252140972607,15.0196327403017,0.0177741734269327,WITHIN_0_10,False
CHI,home,61,0.458904088081486,0.360655737704918,0.573770491803279,0.234471416675362,14.3027564171971,0.098248350376568,WITHIN_0_10,False
COL,home,67,0.592593420678559,0.641791044776119,0.611940298507463,0.228467845547489,15.3073456516817,-0.0491976240975602,WITHIN_0_10,False
DAL,home,78,0.553054196552425,0.653846153846154,0.58974358974359,0.235578365480055,18.3751125074443,-0.100791957293728,UNDERPREDICTED,False
DET,home,60,0.488951331214979,0.566666666666667,0.6,0.238471194386641,14.3082716631984,-0.0777153354516875,WITHIN_0_10,False
EDM,home,84,0.60625043030378,0.654761904761905,0.654761904761905,0.218823070342145,18.3811379087402,-0.0485114744581244,WITHIN_0_10,False
FLA,home,84,0.601565940992534,0.654761904761905,0.630952380952381,0.227665942865679,19.1239392007171,-0.0531959637693711,WITHIN_0_10,False
LAK,home,67,0.596944804911257,0.716417910447761,0.641791044776119,0.218336668357396,14.6285567799455,-0.119473105536504,UNDERPREDICTED,False
MIN,home,62,0.534761499496813,0.516129032258065,0.596774193548387,0.226300815159656,14.0306505398987,0.0186324672387482,WITHIN_0_10,False
MTL,home,61,0.472907979611189,0.508196721311475,0.557377049180328,0.254529873632217,15.5263222915652,-0.0352887417002869,WITHIN_0_10,False
NJD,home,63,0.573196354638697,0.444444444444444,0.444444444444444,0.254280333652243,16.0196610200913,0.128751910194253,OVERPREDICTED,False
NSH,home,61,0.564066394195197,0.491803278688525,0.475409836065574,0.2530383116229,15.4353370089969,0.0722631155066726,WITHIN_0_10,False
NYI,home,62,0.5336828146884,0.483870967741935,0.483870967741935,0.261411477213584,16.2075115872422,0.0498118469464649,WITHIN_0_10,False
NYR,home,69,0.537048375239727,0.565217391304348,0.594202898550725,0.23341584333271,16.105693189957,-0.0281690160646209,WITHIN_0_10,False
OTT,home,62,0.575218156227679,0.596774193548387,0.612903225806452,0.248016765302081,15.377039448729,-0.0215560373207084,WITHIN_0_10,False
PHI,home,61,0.556223424228532,0.475409836065574,0.540983606557377,0.251344782133399,15.3320317101373,0.080813588162958,WITHIN_0_10,False
PIT,home,61,0.530534890388372,0.540983606557377,0.573770491803279,0.234430064581541,14.300233939474,-0.0104487161690048,WITHIN_0_10,False
SEA,home,62,0.534229008952698,0.419354838709677,0.580645161290323,0.251632935786518,15.6012420187641,0.11487417024302,OVERPREDICTED,False
SJS,home,62,0.43110140316735,0.274193548387097,0.693548387096774,0.223390716377441,13.8502244154014,0.156907854780253,OVERPREDICTED,False
STL,home,63,0.514036742525518,0.619047619047619,0.650793650793651,0.236020534724783,14.8692936876613,-0.105010876522101,UNDERPREDICTED,False
TBL,home,64,0.553483902473515,0.625,0.625,0.228595503028489,14.6301121938233,-0.0715160975264852,WITHIN_0_10,False
TOR,home,71,0.557053569608167,0.619718309859155,0.605633802816901,0.229991981420515,16.3294306808566,-0.062664740250988,WITHIN_0_10,False
UTA,home,41,0.529173954672552,0.439024390243902,0.634146341463415,0.237984875215427,9.75737988383251,0.0901495644286494,WITHIN_0_10,True
VAN,home,69,0.532277131746326,0.463768115942029,0.536231884057971,0.242132088894605,16.7071141337277,0.0685090158042972,WITHIN_0_10,False
VGK,home,67,0.570621536248727,0.626865671641791,0.597014925373134,0.227259304858678,15.2263734255314,-0.0562441353930641,WITHIN_0_10,False
WPG,home,68,0.560836536571487,0.705882352941177,0.705882352941177,0.216361354305827,14.7125720927963,-0.14504581636969,UNDERPREDICTED,False
WSH,home,66,0.542045144699192,0.590909090909091,0.515151515151515,0.24301306571771,16.0388623373688,-0.0488639462098991,WITHIN_0_10,False
ANA,away,61,0.616938951546319,0.672131147540984,0.672131147540984,0.221906139241721,13.536274493745,-0.0551921959946643,WITHIN_0_10,False
ARI,away,20,0.620680767022296,0.7,0.7,0.205573897907589,4.11147795815178,-0.0793192329777035,WITHIN_0_10,True
BOS,away,64,0.573643431489235,0.578125,0.5625,0.250801770527409,16.0513133137542,-0.00448156851076464,WITHIN_0_10,False
BUF,away,60,0.550298278504707,0.633333333333333,0.633333333333333,0.235859597486227,14.1515758491736,-0.0830350548286259,WITHIN_0_10,False
