field,canonical_season,count,missing_rate,mean,q25,median,q75,min,max,spearman_home_win,diagnostic_only
home_std_gf_pg,2023,1383,0.012142857142857143,3.142215601803079,2.912771739130435,3.2,3.4545454545454546,0.0,6.5,0.09373948201530782,YES_NO_MODEL_OR_THRESHOLD
home_std_gf_pg,2024,1381,0.012160228898426323,3.0877341383928085,2.7636363636363637,3.033333333333333,3.3389830508474576,0.0,8.0,0.09757739418695692,YES_NO_MODEL_OR_THRESHOLD
home_std_ga_pg,2023,1383,0.012142857142857143,3.11545508318877,2.7905701754385963,3.1123595505617976,3.4099025974025974,1.0,8.0,-0.08754620142054005,YES_NO_MODEL_OR_THRESHOLD
home_std_ga_pg,2024,1381,0.012160228898426323,3.0557399821228106,2.7590361445783134,3.0,3.2857142857142856,0.0,8.0,-0.0923698240981937,YES_NO_MODEL_OR_THRESHOLD
home_std_goal_diff_pg,2023,1383,0.012142857142857143,0.02676051861430978,-0.3846153846153846,0.07894736842105265,0.5943987465726599,-7.0,3.0,0.10268844758660226,YES_NO_MODEL_OR_THRESHOLD
home_std_goal_diff_pg,2024,1381,0.012160228898426323,0.03199415626999849,-0.435483870967742,-0.030303030303030276,0.520833333333333,-6.0,6.0,0.11381088693877713,YES_NO_MODEL_OR_THRESHOLD
home_std_sf_pg,2023,1383,0.012142857142857143,30.605706491642977,29.0,30.78181818181818,32.59197099892589,19.0,42.0,0.10006570257403591,YES_NO_MODEL_OR_THRESHOLD
home_std_sf_pg,2024,1381,0.012160228898426323,28.658943349753407,27.28985507246377,28.43243243243243,29.9,20.0,41.0,0.08640316407824407,YES_NO_MODEL_OR_THRESHOLD
home_std_sa_pg,2023,1383,0.012142857142857143,30.458639659950993,29.0,30.11111111111111,31.970715408805034,21.0,42.0,-0.13845491470657684,YES_NO_MODEL_OR_THRESHOLD
home_std_sa_pg,2024,1381,0.012160228898426323,28.542426895509458,27.057142857142857,28.551724137931036,29.477272727272727,20.0,40.0,-0.12214973882313367,YES_NO_MODEL_OR_THRESHOLD
home_std_shot_diff_pg,2023,1383,0.012142857142857143,0.1470668316919825,-2.946698113207548,0.5061728395061706,2.866025641025642,-22.0,18.0,0.1276762669260171,YES_NO_MODEL_OR_THRESHOLD
home_std_shot_diff_pg,2024,1381,0.012160228898426323,0.11651645424395536,-1.8947368421052637,-0.08571428571428541,2.4499999999999993,-16.0,18.0,0.12943308447616206,YES_NO_MODEL_OR_THRESHOLD
home_r5_gf_pg,2023,1383,0.012142857142857143,3.0800192817546392,2.6,3.0,3.6,0.0,6.5,0.05630465335441957,YES_NO_MODEL_OR_THRESHOLD
home_r5_gf_pg,2024,1381,0.012160228898426323,3.0584359160028964,2.4,3.0,3.6,0.0,8.0,0.010691324592063674,YES_NO_MODEL_OR_THRESHOLD
home_r5_ga_pg,2023,1383,0.012142857142857143,3.091214750542299,2.4,3.0,3.6,1.0,8.0,-0.04343810372625095,YES_NO_MODEL_OR_THRESHOLD
home_r5_ga_pg,2024,1381,0.012160228898426323,3.062720251025827,2.4,3.0,3.6,0.0,8.0,-0.06808080970667198,YES_NO_MODEL_OR_THRESHOLD
home_r5_goal_diff_pg,2023,1383,0.012142857142857143,-0.011195468787659677,-0.9999999999999997,0.0,0.8000000000000003,-7.0,4.0,0.05670205866103345,YES_NO_MODEL_OR_THRESHOLD
home_r5_goal_diff_pg,2024,1381,0.012160228898426323,-0.0042843350229302395,-0.8000000000000003,0.0,0.8,-6.0,6.0,0.06307210682961072,YES_NO_MODEL_OR_THRESHOLD
home_r5_sf_pg,2023,1383,0.012142857142857143,30.145083152566883,27.4,30.2,32.8,18.2,42.0,0.08552174371387446,YES_NO_MODEL_OR_THRESHOLD
home_r5_sf_pg,2024,1381,0.012160228898426323,28.211996138064208,25.8,28.0,30.4,19.2,41.0,0.04784080547720773,YES_NO_MODEL_OR_THRESHOLD
home_r5_sa_pg,2023,1383,0.012142857142857143,30.21044830079537,27.6,30.0,32.6,18.2,42.0,-0.09920433630971896,YES_NO_MODEL_OR_THRESHOLD
home_r5_sa_pg,2024,1381,0.012160228898426323,28.19442433019551,25.8,28.0,30.4,16.2,40.4,-0.12229010000774104,YES_NO_MODEL_OR_THRESHOLD
home_r10_gf_pg,2023,1383,0.012142857142857143,3.110748717418999,2.7,3.1,3.6,0.0,6.5,0.0546232473796153,YES_NO_MODEL_OR_THRESHOLD
home_r10_gf_pg,2024,1381,0.012160228898426323,3.0570325161201337,2.6,3.0,3.4,0.0,8.0,0.042665441557749324,YES_NO_MODEL_OR_THRESHOLD
home_r10_ga_pg,2023,1383,0.012142857142857143,3.082253612459686,2.6,3.1,3.5,1.0,8.0,-0.03993264009963939,YES_NO_MODEL_OR_THRESHOLD
home_r10_ga_pg,2024,1381,0.012160228898426323,3.0501635001091914,2.6,3.0,3.5,0.0,8.0,-0.05728979623639614,YES_NO_MODEL_OR_THRESHOLD
home_r10_goal_diff_pg,2023,1383,0.012142857142857143,0.028495104959313202,-0.6000000000000001,0.10000000000000009,0.7000000000000002,-7.0,3.0,0.05933624941395312,YES_NO_MODEL_OR_THRESHOLD
home_r10_goal_diff_pg,2024,1381,0.012160228898426323,0.006869016010942141,-0.6999999999999997,-0.09999999999999964,0.6999999999999997,-6.0,6.0,0.06985712466513407,YES_NO_MODEL_OR_THRESHOLD
home_r10_sf_pg,2023,1383,0.012142857142857143,30.25556645892872,28.1,30.4,32.5,19.0,42.0,0.08821996236395045,YES_NO_MODEL_OR_THRESHOLD
home_r10_sf_pg,2024,1381,0.012160228898426323,28.28593037021712,26.2,28.1,30.2,20.0,41.0,0.07192826871155103,YES_NO_MODEL_OR_THRESHOLD
home_r10_sa_pg,2023,1383,0.012142857142857143,30.22142053736414,28.1,30.2,32.2,21.0,42.0,-0.10278537564227387,YES_NO_MODEL_OR_THRESHOLD
home_r10_sa_pg,2024,1381,0.012160228898426323,28.26087548705217,26.3,28.2,29.9,19.0,40.0,-0.11798106929625865,YES_NO_MODEL_OR_THRESHOLD
