canonical_season,game_id,home_team,away_team,existing_game_date,parent_identity_status,canonical_outcome,final_home_goals,final_away_goals,source_paths_referencing_game,utah_participation_indicator,notes
2024,2024020005,UTA,CHI,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,5,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020016,NYI,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,4,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020030,NYR,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,5,6,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020044,NJD,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,0,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020060,ANA,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,5,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020086,UTA,BOS,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,2,1,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020104,UTA,OTT,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,0,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020115,UTA,COL,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020124,LAK,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020145,UTA,SJS,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,4,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020158,UTA,CGY,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,5,1,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020183,VGK,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,4,3,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020201,WPG,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,0,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020215,STL,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020232,NSH,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,4,0,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020254,UTA,CAR,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,4,1,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020270,UTA,VGK,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020292,UTA,WSH,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,6,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020306,BOS,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,1,0,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020326,PIT,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,6,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020333,TOR,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020346,MTL,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,3,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020375,UTA,EDM,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,3,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020386,VGK,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,0,6,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020395,UTA,DAL,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020426,BUF,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020441,PHI,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020454,UTA,MIN,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,4,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020469,COL,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020487,SJS,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,3,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020510,UTA,VAN,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020526,MIN,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020542,UTA,ANA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,4,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020556,UTA,DAL,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,2,3,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020564,UTA,COL,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,1,4,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020588,SEA,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,5,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020601,EDM,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,4,1,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020611,CGY,UTA,,IN_FIXED_OUTCOME_POPULATION,AWAY_WIN,3,5,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
2024,2024020628,DAL,UTA,,IN_FIXED_OUTCOME_POPULATION,HOME_WIN,3,2,parent outcome ledger|parent feature spine|nhl.games|season shot stage|official NHL club schedule|official NHL gamecenter landing,True,frozen affected set; valid score and winner retained
