LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260415,SD,SEA,,player_prop,batter_bases,665487,1.5,over,162
MLB,20260415,SD,SEA,,player_prop,batter_bases,701538,1.5,over,116
MLB,20260415,PIT,WSH,,player_prop,batter_bases,695734,1.5,over,162
MLB,20260415,PIT,WSH,,player_prop,batter_bases,694377,1.5,over,220
MLB,20260415,PHI,CHC,,player_prop,batter_bases,608324,1.5,over,126
MLB,20260415,PHI,CHC,,player_prop,batter_bases,673548,1.5,over,135
MLB,20260415,NYY,LAA,,player_prop,batter_bases,519317,1.5,over,203
MLB,20260415,NYY,LAA,,player_prop,batter_bases,665862,1.5,over,341
MLB,20260415,MIL,TOR,,player_prop,batter_bases,676391,1.5,over,147
MLB,20260415,LAD,NYM,,player_prop,batter_bases,518692,1.5,over,130
MLB,20260415,HOU,COL,,player_prop,batter_bases,670623,1.5,over,227
MLB,20260415,DET,KC,,player_prop,batter_bases,690993,1.5,over,176
MLB,20260415,DET,KC,,player_prop,batter_bases,672580,1.5,over,142
MLB,20260415,DET,KC,,player_prop,batter_bases,682985,1.5,over,121
MLB,20260415,ATH,TEX,,player_prop,batter_bases,805779,1.5,over,190
MLB,20260415,ATH,TEX,,player_prop,batter_bases,669394,1.5,over,138
MLB,20260415,ATH,TEX,,player_prop,batter_bases,691016,1.5,over,151
MLB,20260415,ATH,TEX,,player_prop,batter_bases,694671,1.5,over,177
