LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260415,SD,SEA,,player_prop,batter_bases,680977,1.5,over,154
MLB,20260415,SD,SEA,,player_prop,batter_hits,663728,0.5,over,151
MLB,20260415,SD,SEA,,player_prop,batter_bases,663728,1.5,over,206
MLB,20260415,SD,SEA,,player_prop,batter_hits,702284,0.5,over,124
MLB,20260415,SD,SEA,,player_prop,batter_bases,702284,0.5,over,117
MLB,20260415,SD,SEA,,player_prop,batter_hits,686527,0.5,over,169
MLB,20260415,SD,SEA,,player_prop,batter_bases,686527,0.5,over,124
MLB,20260415,SD,SEA,,player_prop,batter_bases,665487,1.5,over,162
MLB,20260415,SD,SEA,,player_prop,batter_hits,666023,0.5,over,172
MLB,20260415,SD,SEA,,player_prop,batter_bases,666023,0.5,over,150
MLB,20260415,SD,SEA,,player_prop,batter_hits,657757,0.5,over,117
MLB,20260415,SD,SEA,,player_prop,batter_bases,657757,0.5,under,164
MLB,20260415,SD,SEA,,player_prop,batter_hits,641487,0.5,over,128
MLB,20260415,SD,SEA,,player_prop,batter_bases,641487,0.5,over,131
MLB,20260415,SD,SEA,,player_prop,batter_hits,630105,0.5,over,138
MLB,20260415,SD,SEA,,player_prop,batter_bases,647304,1.5,over,198
MLB,20260415,SD,SEA,,player_prop,batter_bases,592518,1.5,over,208
MLB,20260415,SD,SEA,,player_prop,batter_hits,668227,0.5,under,129
MLB,20260415,SD,SEA,,player_prop,batter_bases,668227,0.5,under,131
MLB,20260415,SD,SEA,,player_prop,batter_hits,664034,0.5,over,120
MLB,20260415,SD,SEA,,player_prop,batter_bases,664034,0.5,under,120
MLB,20260415,PIT,WSH,,player_prop,batter_bases,691781,0.5,under,177
MLB,20260415,PIT,WSH,,player_prop,batter_bases,664040,1.5,under,153
MLB,20260415,PIT,WSH,,player_prop,batter_h+r+rbi,668804,1.5,over,103
MLB,20260415,PIT,WSH,,player_prop,batter_bases,668804,1.5,under,131
MLB,20260415,PIT,WSH,,player_prop,batter_h+r+rbi,682928,1.5,under,160
MLB,20260415,PIT,WSH,,player_prop,batter_bases,678554,1.5,over,172
MLB,20260415,PIT,WSH,,player_prop,batter_bases,695734,1.5,over,162
MLB,20260415,PIT,WSH,,player_prop,batter_hits,680779,0.5,over,113
MLB,20260415,PIT,WSH,,player_prop,batter_bases,695578,1.5,under,151
MLB,20260415,PIT,WSH,,player_prop,batter_hits,686894,0.5,over,284
MLB,20260415,PIT,WSH,,player_prop,batter_bases,686894,0.5,over,287
MLB,20260415,PIT,WSH,,player_prop,batter_hits,678391,0.5,over,150
MLB,20260415,PIT,WSH,,player_prop,batter_bases,678391,0.5,over,136
MLB,20260415,PIT,WSH,,player_prop,batter_h+r+rbi,804606,1.5,over,110
MLB,20260415,PIT,WSH,,player_prop,batter_bases,542303,1.5,over,309
MLB,20260415,PIT,WSH,,player_prop,batter_hits,693304,0.5,over,134
MLB,20260415,PIT,WSH,,player_prop,batter_bases,693304,1.5,over,244
MLB,20260415,PIT,WSH,,player_prop,batter_bases,694377,1.5,over,220
MLB,20260415,PIT,WSH,,player_prop,batter_hits,656811,0.5,over,108
MLB,20260415,PIT,WSH,,player_prop,batter_h+r+rbi,656811,1.5,over,136
MLB,20260415,PIT,WSH,,player_prop,batter_bases,687462,1.5,over,193
MLB,20260415,PHI,CHC,,player_prop,batter_bases,664761,1.5,over,291
MLB,20260415,PHI,CHC,,player_prop,batter_bases,608324,1.5,over,126
