LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260418,WSH,SF,,player_prop,batter_bases,656305,1.5,over,155
MLB,20260418,WSH,SF,,player_prop,batter_bases,646240,1.5,over,201
MLB,20260418,PHI,ATL,,player_prop,batter_bases,645277,1.5,over,102
MLB,20260418,PHI,ATL,,player_prop,batter_bases,607208,1.5,over,116
MLB,20260418,NYY,KC,,player_prop,batter_bases,502671,1.5,over,201
MLB,20260418,LAA,SD,,player_prop,batter_bases,592518,1.5,over,189
MLB,20260418,LAA,SD,,player_prop,batter_bases,609280,1.5,over,216
MLB,20260418,HOU,STL,,player_prop,batter_bases,621043,1.5,over,158
MLB,20260418,HOU,STL,,player_prop,batter_bases,514888,1.5,over,121
MLB,20260418,BOS,DET,,player_prop,batter_bases,690993,1.5,over,177
MLB,20260418,BOS,DET,,player_prop,batter_bases,682985,1.5,over,113
MLB,20260418,ATH,CWS,,player_prop,batter_bases,701762,1.5,over,177
