LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,682928,1.5,under,122
MLB,20260417,WSH,SF,,player_prop,batter_bases,669477,1.5,under,101
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,695734,1.5,over,148
MLB,20260417,WSH,SF,,player_prop,batter_hits,687551,0.5,over,138
MLB,20260417,WSH,SF,,player_prop,batter_bases,687551,0.5,over,122
MLB,20260417,WSH,SF,,player_prop,batter_hits,696285,0.5,under,110
MLB,20260417,WSH,SF,,player_prop,batter_bases,696285,0.5,under,155
MLB,20260417,WSH,SF,,player_prop,batter_hits,695578,0.5,under,139
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,695578,1.5,under,117
MLB,20260417,WSH,SF,,player_prop,batter_hits,678391,0.5,over,146
MLB,20260417,WSH,SF,,player_prop,batter_bases,678391,0.5,over,133
MLB,20260417,WSH,SF,,player_prop,batter_bases,808982,1.5,under,114
MLB,20260417,WSH,SF,,player_prop,batter_hits,660688,0.5,over,169
MLB,20260417,WSH,SF,,player_prop,batter_bases,660688,0.5,over,141
MLB,20260417,WSH,SF,,player_prop,batter_hits,650333,1.5,over,209
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,650333,2.5,over,273
MLB,20260417,WSH,SF,,player_prop,batter_hits,656305,0.5,over,-127
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,656305,1.5,over,123
MLB,20260417,WSH,SF,,player_prop,batter_hits,672275,0.5,over,192
MLB,20260417,WSH,SF,,player_prop,batter_bases,672275,1.5,under,-407
MLB,20260417,WSH,SF,,player_prop,batter_hits,646240,0.5,over,-118
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,646240,1.5,over,145
MLB,20260417,WSH,SF,,player_prop,batter_bases,686823,1.5,under,-260
MLB,20260417,WSH,SF,,player_prop,batter_h+r+rbi,642715,1.5,over,102
MLB,20260417,WSH,SF,,player_prop,batter_bases,642715,1.5,under,107
