LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260417,CHC,NYM,,player_prop,batter_h+r+rbi,596019,1.5,under,-197
MLB,20260417,CHC,NYM,,player_prop,batter_h+r+rbi,666182,1.5,under,-160
MLB,20260417,CHC,NYM,,player_prop,batter_hits,668901,0.5,under,-355
MLB,20260417,MIN,CIN,,player_prop,batter_hits,663647,0.5,under,-673
MLB,20260417,MIN,CIN,,player_prop,batter_bases,663647,0.5,under,-605
MLB,20260417,CLE,BAL,,player_prop,batter_hits,682877,0.5,under,-236
MLB,20260417,HOU,STL,,player_prop,batter_hits,669397,0.5,under,-212
MLB,20260417,NYY,KC,,player_prop,batter_hits,665862,0.5,under,-222
MLB,20260417,BOS,DET,,player_prop,batter_hits,691785,0.5,under,-201
MLB,20260417,COL,LAD,,player_prop,batter_hits,681198,0.5,under,-194
MLB,20260417,WSH,SF,,player_prop,batter_hits,672275,0.5,under,-192
MLB,20260417,NYY,KC,,player_prop,batter_hits,663697,0.5,under,-294
MLB,20260417,MIA,MIL,,player_prop,batter_hits,669003,0.5,under,-213
MLB,20260417,CHC,NYM,,player_prop,batter_h+r+rbi,683737,1.5,under,-270
MLB,20260417,MIA,MIL,,player_prop,batter_hits,691277,0.5,under,-211
MLB,20260417,BOS,DET,,player_prop,batter_hits,663330,0.5,under,-193
MLB,20260417,ATH,CWS,,player_prop,batter_hits,671976,0.5,under,-236
MLB,20260417,LAA,SD,,player_prop,batter_hits,666139,0.5,under,-175
MLB,20260417,PHI,ATL,,player_prop,batter_h+r+rbi,664761,1.5,under,-248
MLB,20260417,PHI,ATL,,player_prop,batter_hits,805249,0.5,under,-223
MLB,20260417,NYY,KC,,player_prop,batter_hits,686681,0.5,under,-221
MLB,20260417,PIT,TB,,player_prop,batter_hits,641584,0.5,under,-168
MLB,20260417,PIT,TB,,player_prop,batter_hits,656775,0.5,under,-169
MLB,20260417,NYY,KC,,player_prop,batter_hits,663757,0.5,under,-179
MLB,20260417,COL,LAD,,player_prop,batter_hits,678662,0.5,under,-165
MLB,20260417,ATH,CWS,,player_prop,batter_bases,671976,0.5,under,-231
MLB,20260417,CLE,BAL,,player_prop,batter_hits,677942,0.5,under,-207
MLB,20260417,CHC,NYM,,player_prop,batter_hits,701807,0.5,under,-192
MLB,20260417,MIA,MIL,,player_prop,batter_bases,691277,0.5,under,-199
MLB,20260417,ATH,CWS,,player_prop,batter_hits,695657,0.5,under,-167
MLB,20260417,MIN,CIN,,player_prop,batter_bases,680574,0.5,under,-196
MLB,20260417,NYY,KC,,player_prop,batter_bases,663697,0.5,under,-228
MLB,20260417,CLE,BAL,,player_prop,batter_hits,687637,0.5,under,-182
MLB,20260417,MIN,CIN,,player_prop,batter_hits,680574,0.5,under,-193
MLB,20260417,ATH,CWS,,player_prop,batter_hits,808959,0.5,under,-169
MLB,20260417,SEA,TEX,,player_prop,batter_hits,647304,0.5,under,-159
MLB,20260417,LAA,SD,,player_prop,batter_hits,630105,0.5,under,-167
MLB,20260417,CHC,NYM,,player_prop,pitcher_strikeouts,665795,5.5,under,-291
MLB,20260417,CLE,BAL,,player_prop,pitcher_strikeouts,605135,3.5,under,-231
MLB,20260417,AZ,TOR,,player_prop,pitcher_strikeouts,641778,3.5,under,-289
