LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260420,CLE,HOU,,player_prop,batter_bases,666310,0.5,over,-5644
MLB,20260420,CLE,HOU,,player_prop,batter_bases,682177,0.5,over,-173210
MLB,20260420,SEA,ATH,,player_prop,batter_bases,672016,0.5,over,-30490
MLB,20260420,CLE,HOU,,player_prop,batter_bases,677587,0.5,over,-53148
MLB,20260420,CLE,HOU,,player_prop,batter_bases,671655,0.5,over,-90975
MLB,20260420,SEA,ATH,,player_prop,batter_bases,660844,0.5,over,-52979
MLB,20260420,LAA,TOR,,player_prop,batter_bases,681351,0.5,over,-99999900
MLB,20260420,CLE,HOU,,player_prop,batter_bases,666211,0.5,over,-99999900
MLB,20260420,LAA,TOR,,player_prop,batter_bases,624428,0.5,over,-32827
MLB,20260420,MIA,STL,,player_prop,batter_bases,687363,0.5,over,-99999900
MLB,20260420,SEA,ATH,,player_prop,batter_bases,671732,0.5,over,-23474
MLB,20260420,CHC,PHI,,player_prop,batter_bases,621020,0.5,over,-35936
MLB,20260420,SEA,ATH,,player_prop,batter_bases,702284,0.5,over,-18588
MLB,20260420,WSH,ATL,,player_prop,pitcher_strikeouts,693821,4.5,over,-232
MLB,20260420,CLE,HOU,,player_prop,batter_hits,682177,0.5,over,-310
MLB,20260420,COL,LAD,,player_prop,batter_bases,571970,1.5,over,-200
MLB,20260420,MIA,STL,,player_prop,batter_bases,672640,1.5,over,-200
MLB,20260420,CLE,HOU,,player_prop,batter_bases,670541,1.5,over,-200
MLB,20260420,SEA,ATH,,player_prop,batter_hits,670042,0.5,over,-328
MLB,20260420,COL,LAD,,player_prop,batter_bases,663656,1.5,over,-232
MLB,20260420,CHC,PHI,,player_prop,batter_hits,681082,0.5,over,-353
MLB,20260420,MIA,STL,,player_prop,batter_bases,676475,1.5,over,-158
MLB,20260420,CHC,PHI,,player_prop,batter_hits,621020,0.5,over,-247
MLB,20260420,SEA,ATH,,player_prop,batter_hits,669127,0.5,over,-474
MLB,20260420,BOS,DET,,player_prop,batter_h+r+rbi,693307,1.5,over,-168
MLB,20260420,CLE,HOU,,player_prop,batter_hits,677587,0.5,over,-196
MLB,20260420,WSH,ATL,,player_prop,batter_hits,645277,0.5,over,-504
MLB,20260420,LAA,TOR,,player_prop,batter_hits,672960,0.5,over,-253
MLB,20260420,CLE,HOU,,player_prop,batter_hits,666211,0.5,over,-206
MLB,20260420,CHC,PHI,,player_prop,batter_hits,673548,0.5,over,-312
MLB,20260420,SEA,ATH,,player_prop,batter_hits,668227,0.5,over,-282
MLB,20260420,WSH,ATL,,player_prop,batter_hits,695578,0.5,over,-303
MLB,20260420,LAA,TOR,,player_prop,batter_hits,666176,0.5,over,-224
MLB,20260420,BOS,DET,,player_prop,batter_hits,679529,0.5,over,-204
MLB,20260420,CHC,PHI,,player_prop,batter_hits,608348,0.5,over,-232
MLB,20260420,CHC,PHI,,player_prop,batter_hits,702222,0.5,over,-238
MLB,20260420,WSH,ATL,,player_prop,batter_hits,686452,0.5,over,-231
MLB,20260420,WSH,ATL,,player_prop,batter_hits,573262,0.5,over,-242
MLB,20260420,LAA,TOR,,player_prop,batter_hits,545361,0.5,over,-254
MLB,20260420,KC,BAL,,player_prop,batter_hits,669236,0.5,over,-438
MLB,20260420,LAA,TOR,,player_prop,batter_hits,624428,0.5,over,-180
MLB,20260420,CHC,PHI,,player_prop,batter_hits,694208,0.5,over,-206
MLB,20260420,CHC,PHI,,player_prop,batter_hits,669016,0.5,over,-221
MLB,20260420,WSH,ATL,,player_prop,batter_hits,621566,0.5,over,-313
MLB,20260420,WSH,ATL,,player_prop,batter_hits,678391,0.5,over,-199
MLB,20260420,SEA,ATH,,player_prop,batter_hits,671732,0.5,over,-176
MLB,20260420,BOS,DET,,player_prop,batter_hits,677800,0.5,over,-377
MLB,20260420,CHC,PHI,,player_prop,batter_hits,656941,0.5,over,-254
MLB,20260420,BOS,DET,,player_prop,batter_hits,693307,0.5,over,-351
MLB,20260420,CHC,PHI,,player_prop,batter_hits,664023,0.5,over,-230
MLB,20260420,SEA,ATH,,player_prop,batter_hits,702284,0.5,over,-166
MLB,20260420,CHC,PHI,,player_prop,batter_hits,608324,0.5,over,-335
MLB,20260420,BOS,DET,,player_prop,batter_hits,575929,0.5,over,-272
MLB,20260420,WSH,ATL,,player_prop,batter_hits,671739,0.5,over,-283
MLB,20260420,MIA,STL,,player_prop,batter_hits,689414,0.5,over,-291
MLB,20260420,MIA,STL,,player_prop,batter_hits,691023,0.5,over,-299
MLB,20260420,BOS,DET,,player_prop,batter_hits,681481,0.5,over,-185
MLB,20260420,KC,BAL,,player_prop,batter_hits,686469,0.5,over,-298
