LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260422,KC,BAL,,player_prop,batter_h+r+rbi,686469,1.5,under,-182
MLB,20260422,KC,BAL,,player_prop,batter_h+r+rbi,683002,1.5,under,-158
MLB,20260422,KC,BAL,,player_prop,batter_h+r+rbi,624413,1.5,under,-169
MLB,20260422,CLE,HOU,,player_prop,batter_h+r+rbi,680757,1.5,under,-154
MLB,20260422,SF,LAD,,player_prop,batter_hits,642715,0.5,over,-425
MLB,20260422,CLE,HOU,,player_prop,batter_hits,677587,0.5,over,-415
MLB,20260422,SF,LAD,,player_prop,batter_hits,669477,0.5,over,-335
MLB,20260422,SF,LAD,,player_prop,batter_hits,671218,0.5,over,-307
MLB,20260422,CLE,HOU,,player_prop,batter_hits,682177,0.5,over,-366
MLB,20260422,CHC,PHI,,player_prop,batter_h+r+rbi,607208,1.5,under,-204
MLB,20260422,TEX,PIT,,player_prop,batter_hits,804606,0.5,over,-369
MLB,20260422,SF,LAD,,player_prop,batter_hits,656305,0.5,over,-305
MLB,20260422,TB,CIN,,player_prop,batter_hits,663743,0.5,over,-302
MLB,20260422,LAA,TOR,,player_prop,batter_hits,672724,0.5,over,-354
MLB,20260422,CLE,HOU,,player_prop,batter_hits,694728,0.5,over,-154
MLB,20260422,CHC,PHI,,player_prop,batter_hits,669016,0.5,over,-242
MLB,20260422,SF,LAD,,player_prop,batter_hits,687551,0.5,over,-171
MLB,20260422,DET,MIL,,player_prop,batter_hits,666152,0.5,over,-283
MLB,20260422,SEA,ATH,,player_prop,batter_hits,805779,0.5,over,-693
MLB,20260422,TEX,PIT,,player_prop,batter_hits,673962,0.5,over,-499
MLB,20260422,COL,SD,,player_prop,batter_bases,657757,1.5,under,-200
MLB,20260422,WSH,ATL,,player_prop,batter_h+r+rbi,691781,1.5,under,-180
MLB,20260422,CHC,PHI,,player_prop,batter_hits,664023,0.5,over,-392
MLB,20260422,TB,CIN,,player_prop,batter_hits,668715,0.5,over,-355
MLB,20260422,SF,LAD,,player_prop,batter_hits,808982,0.5,over,-310
MLB,20260422,TEX,PIT,,player_prop,batter_hits,607043,0.5,over,-433
MLB,20260422,TB,CIN,,player_prop,batter_hits,676356,0.5,over,-347
MLB,20260422,SEA,ATH,,player_prop,batter_hits,669127,0.5,over,-336
MLB,20260422,AZ,CWS,,player_prop,batter_hits,808959,0.5,over,-310
MLB,20260422,SEA,ATH,,player_prop,batter_hits,647304,0.5,over,-438
MLB,20260422,SF,LAD,,player_prop,batter_hits,663656,0.5,over,-472
MLB,20260422,LAA,TOR,,player_prop,batter_hits,662139,0.5,over,-303
MLB,20260422,DET,MIL,,player_prop,batter_hits,663604,0.5,over,-239
MLB,20260422,TEX,PIT,,player_prop,batter_hits,664040,0.5,over,-326
MLB,20260422,CHC,PHI,,player_prop,batter_hits,691718,0.5,over,-327
MLB,20260422,SF,LAD,,player_prop,batter_hits,571970,0.5,over,-217
MLB,20260422,TEX,PIT,,player_prop,batter_hits,694671,0.5,over,-393
MLB,20260422,TB,CIN,,player_prop,batter_hits,670770,0.5,over,-296
MLB,20260422,MIA,STL,,player_prop,batter_hits,689414,0.5,over,-364
MLB,20260422,DET,MIL,,player_prop,batter_hits,668930,0.5,over,-450
MLB,20260422,TB,CIN,,player_prop,batter_hits,682829,0.5,over,-436
MLB,20260422,KC,BAL,,player_prop,batter_hits,695506,0.5,over,-287
MLB,20260422,WSH,ATL,,player_prop,batter_hits,642086,0.5,over,-349
MLB,20260422,AZ,CWS,,player_prop,batter_hits,656537,0.5,over,-232
MLB,20260422,SEA,ATH,,player_prop,batter_hits,643446,0.5,over,-251
MLB,20260422,AZ,CWS,,player_prop,batter_hits,543510,0.5,over,-264
MLB,20260422,KC,BAL,,player_prop,batter_hits,668939,0.5,over,-397
MLB,20260422,COL,SD,,player_prop,batter_hits,687859,0.5,over,-402
MLB,20260422,SF,LAD,,player_prop,batter_bases,660271,1.5,under,-171
MLB,20260422,BOS,NYY,,player_prop,batter_hits,665862,0.5,over,-223
MLB,20260422,DET,MIL,,player_prop,batter_hits,682985,0.5,over,-369
MLB,20260422,DET,MIL,,player_prop,batter_hits,669003,0.5,over,-192
MLB,20260422,SF,LAD,,player_prop,batter_hits,646240,0.5,over,-189
MLB,20260422,MIA,STL,,player_prop,batter_hits,691026,0.5,over,-369
MLB,20260422,SEA,ATH,,player_prop,batter_hits,691016,0.5,over,-212
MLB,20260422,DET,MIL,,player_prop,batter_hits,701678,0.5,over,-226
MLB,20260422,KC,BAL,,player_prop,batter_hits,691723,0.5,over,-200
MLB,20260422,AZ,CWS,,player_prop,batter_hits,571448,0.5,over,-374
MLB,20260422,TEX,PIT,,player_prop,batter_hits,542303,0.5,over,-249
MLB,20260422,CLE,HOU,,player_prop,batter_hits,514888,0.5,over,-342
MLB,20260422,BOS,NYY,,player_prop,batter_hits,702332,0.5,over,-246
MLB,20260422,CHC,PHI,,player_prop,batter_hits,694025,0.5,over,-227
MLB,20260422,TEX,PIT,,player_prop,batter_hits,669394,0.5,over,-291
MLB,20260422,AZ,CWS,,player_prop,batter_hits,699912,0.5,over,-300
MLB,20260422,KC,BAL,,player_prop,batter_hits,694212,0.5,over,-234
MLB,20260422,AZ,CWS,,player_prop,batter_hits,545121,0.5,over,-259
