LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260416,SD,SEA,,player_prop,batter_hits,680977,0.5,under,-103
MLB,20260416,SD,SEA,,player_prop,batter_h+r+rbi,663728,1.5,over,121
MLB,20260416,SD,SEA,,player_prop,batter_bases,663728,1.5,over,190
MLB,20260416,SD,SEA,,player_prop,batter_hits,702284,0.5,over,137
MLB,20260416,SD,SEA,,player_prop,batter_bases,702284,0.5,over,127
MLB,20260416,SD,SEA,,player_prop,batter_hits,686527,0.5,over,149
MLB,20260416,SD,SEA,,player_prop,batter_bases,686527,0.5,over,106
MLB,20260416,SD,SEA,,player_prop,batter_hits,665487,0.5,over,-115
MLB,20260416,SD,SEA,,player_prop,batter_h+r+rbi,665487,1.5,over,116
MLB,20260416,SD,SEA,,player_prop,batter_hits,657757,0.5,under,132
MLB,20260416,SD,SEA,,player_prop,batter_bases,657757,0.5,under,272
MLB,20260416,SD,SEA,,player_prop,batter_hits,641487,0.5,over,126
MLB,20260416,SD,SEA,,player_prop,batter_bases,641487,0.5,over,131
MLB,20260416,SD,SEA,,player_prop,batter_hits,630105,0.5,over,176
MLB,20260416,SD,SEA,,player_prop,batter_bases,630105,0.5,over,136
MLB,20260416,SD,SEA,,player_prop,batter_hits,647304,0.5,under,-175
MLB,20260416,SD,SEA,,player_prop,batter_h+r+rbi,647304,1.5,over,162
MLB,20260416,SD,SEA,,player_prop,batter_hits,669134,0.5,over,113
MLB,20260416,SD,SEA,,player_prop,pitcher_strikeouts,622491,4.5,over,149
MLB,20260416,SD,SEA,,player_prop,batter_hits,592518,0.5,over,181
MLB,20260416,SD,SEA,,player_prop,batter_bases,592518,0.5,over,126
MLB,20260416,SD,SEA,,player_prop,batter_h+r+rbi,668227,1.5,under,151
MLB,20260416,SD,SEA,,player_prop,batter_bases,668227,0.5,under,142
MLB,20260416,SD,SEA,,player_prop,pitcher_strikeouts,621111,3.5,under,142
MLB,20260416,SD,SEA,,player_prop,batter_h+r+rbi,593428,1.5,under,109
MLB,20260416,SD,SEA,,player_prop,batter_bases,593428,1.5,over,-115
MLB,20260416,HOU,COL,,player_prop,batter_hits,686668,0.5,over,109
MLB,20260416,HOU,COL,,player_prop,batter_hits,701358,0.5,under,162
MLB,20260416,HOU,COL,,player_prop,batter_bases,701358,0.5,under,186
MLB,20260416,HOU,COL,,player_prop,batter_hits,621043,0.5,over,-139
MLB,20260416,HOU,COL,,player_prop,batter_h+r+rbi,572233,1.5,over,150
MLB,20260416,HOU,COL,,player_prop,batter_bases,678662,1.5,over,137
MLB,20260416,HOU,COL,,player_prop,batter_hits,696100,0.5,under,106
MLB,20260416,HOU,COL,,player_prop,batter_bases,696100,0.5,under,230
MLB,20260416,HOU,COL,,player_prop,batter_hits,670623,0.5,over,115
MLB,20260416,HOU,COL,,player_prop,batter_h+r+rbi,670623,1.5,over,217
MLB,20260416,HOU,COL,,player_prop,batter_bases,670623,0.5,over,118
MLB,20260416,HOU,COL,,player_prop,batter_hits,694388,0.5,over,163
MLB,20260416,HOU,COL,,player_prop,batter_bases,694388,0.5,over,150
MLB,20260416,HOU,COL,,player_prop,batter_hits,687597,0.5,over,174
MLB,20260416,HOU,COL,,player_prop,batter_bases,687597,0.5,over,120
MLB,20260416,HOU,COL,,player_prop,batter_hits,514888,0.5,under,-151
MLB,20260416,HOU,COL,,player_prop,batter_h+r+rbi,514888,1.5,over,190
MLB,20260416,HOU,COL,,player_prop,batter_bases,514888,1.5,over,242
MLB,20260416,HOU,COL,,player_prop,batter_hits,666160,0.5,under,-116
MLB,20260416,HOU,COL,,player_prop,batter_bases,666160,1.5,over,116
MLB,20260416,HOU,COL,,player_prop,batter_hits,687859,0.5,under,125
MLB,20260416,HOU,COL,,player_prop,batter_bases,687859,1.5,under,-122
MLB,20260416,HOU,COL,,player_prop,batter_hits,673237,0.5,under,-153
MLB,20260416,HOU,COL,,player_prop,batter_h+r+rbi,670541,2.5,under,107
MLB,20260416,HOU,COL,,player_prop,batter_bases,670541,1.5,under,215
MLB,20260416,DET,KC,,player_prop,batter_bases,695600,0.5,under,105
