league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,702332,Caleb Durbin,hits,batter_hits,0.5,0.49547,0.50453,102,-102,under,0.50453,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,702332,Caleb Durbin,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,702332,Caleb Durbin,total_bases,batter_bases,0.5,0.612087,0.387913,-158,158,over,0.612087,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,678882,Ceddanne Rafaela,hits,batter_hits,0.5,0.55911,0.44089,-127,127,over,0.55911,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,678882,Ceddanne Rafaela,singles,batter_singles,0.5,0.491045,0.508955,104,-104,under,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,678882,Ceddanne Rafaela,total_bases,batter_bases,0.5,0.694727,0.305273,-228,228,over,0.694727,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,662139,Daulton Varsho,hits,batter_hits,0.5,0.514004,0.485996,-106,106,over,0.514004,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,662139,Daulton Varsho,singles,batter_singles,0.5,0.540952,0.459048,-118,118,over,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,662139,Daulton Varsho,total_bases,batter_bases,0.5,0.582748,0.417252,-140,140,over,0.582748,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,676914,Davis Schneider,hits,batter_hits,0.5,0.291632,0.708368,243,-243,under,0.708368,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,676914,Davis Schneider,singles,batter_singles,0.5,0.421674,0.578326,137,-137,under,0.578326,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,676914,Davis Schneider,total_bases,batter_bases,0.5,0.389869,0.610131,156,-156,under,0.610131,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
