LEAGUE,DATE,HOME,AWAY,DOUBLEHEADER,SECTION,MARKET,SELECTOR,POINT,SIDE,WIN %
MLB,20260415,ATH,TEX,,player_prop,batter_h+r+rbi,671732,1.5,under,-234
MLB,20260415,NYY,LAA,,player_prop,batter_h+r+rbi,641355,1.5,under,-192
MLB,20260415,HOU,COL,,player_prop,batter_h+r+rbi,514888,1.5,under,-190
MLB,20260415,ATH,TEX,,player_prop,batter_h+r+rbi,694671,1.5,under,-221
MLB,20260415,DET,KC,,player_prop,batter_h+r+rbi,677951,1.5,under,-201
MLB,20260415,CWS,TB,,player_prop,batter_h+r+rbi,691406,1.5,under,-180
MLB,20260415,PHI,CHC,,player_prop,batter_h+r+rbi,607208,1.5,under,-159
MLB,20260415,ATH,TEX,,player_prop,batter_h+r+rbi,805779,1.5,under,-158
MLB,20260415,MIL,TOR,,player_prop,batter_hits,664770,0.5,under,-440
MLB,20260415,CIN,SF,,player_prop,batter_hits,663647,0.5,under,-312
MLB,20260415,CIN,SF,,player_prop,batter_hits,666931,0.5,under,-240
MLB,20260415,DET,KC,,player_prop,batter_hits,656716,0.5,under,-234
MLB,20260415,NYY,LAA,,player_prop,batter_hits,641857,0.5,under,-257
MLB,20260415,CWS,TB,,player_prop,batter_hits,678246,0.5,under,-217
MLB,20260415,CWS,TB,,player_prop,batter_hits,700337,0.5,under,-202
MLB,20260415,LAD,NYM,,player_prop,batter_hits,668901,0.5,under,-385
MLB,20260415,DET,KC,,player_prop,batter_hits,695506,0.5,under,-211
MLB,20260415,NYY,LAA,,player_prop,batter_hits,666139,0.5,under,-203
MLB,20260415,NYY,LAA,,player_prop,batter_h+r+rbi,665862,1.5,under,-263
MLB,20260415,ATH,TEX,,player_prop,batter_hits,643376,0.5,under,-187
MLB,20260415,CIN,SF,,player_prop,batter_hits,672275,0.5,under,-186
MLB,20260415,DET,KC,,player_prop,batter_hits,664728,0.5,under,-215
MLB,20260415,NYY,LAA,,player_prop,batter_bases,641857,0.5,under,-250
MLB,20260415,NYY,LAA,,player_prop,batter_hits,518595,0.5,under,-226
MLB,20260415,SD,SEA,,player_prop,batter_hits,686527,0.5,under,-169
MLB,20260415,LAD,NYM,,player_prop,batter_bases,668901,0.5,under,-299
MLB,20260415,CIN,SF,,player_prop,batter_hits,666181,0.5,under,-234
MLB,20260415,DET,KC,,player_prop,batter_bases,664728,0.5,under,-207
MLB,20260415,NYY,LAA,,player_prop,batter_bases,518595,0.5,under,-209
MLB,20260415,HOU,COL,,player_prop,batter_hits,694728,0.5,under,-239
MLB,20260415,CWS,TB,,player_prop,batter_hits,643217,0.5,under,-155
MLB,20260415,ATL,MIA,,player_prop,batter_hits,573262,0.5,under,-153
MLB,20260415,CIN,SF,,player_prop,batter_hits,663886,0.5,under,-161
MLB,20260415,ATL,MIA,,player_prop,batter_hits,683357,0.5,under,-161
MLB,20260415,DET,KC,,player_prop,batter_hits,686555,0.5,under,-153
MLB,20260415,CWS,TB,,player_prop,batter_hits,808959,0.5,under,-167
MLB,20260415,ATH,TEX,,player_prop,batter_hits,592626,0.5,under,-160
MLB,20260415,CWS,TB,,player_prop,batter_hits,671976,0.5,under,-209
MLB,20260415,PIT,WSH,,player_prop,batter_hits,660688,0.5,under,-157
MLB,20260415,DET,KC,,player_prop,batter_hits,663697,0.5,under,-183
