slate_date,game_pk,player_mlb_id,player,prop_type,line,governing_run_tag,market_timestamp_utc,final_pregame_over_odds,final_pregame_under_odds,plate_appearances,total_bases,outcome,settlement_status,outcome_source,source_sha256
2026-07-30,822946,607043,Brandon Nimmo,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,141,-185,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,650490,Yandy Díaz,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,113,-147,4,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,656775,Cedric Mullins,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,158,-208,4,4,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,666018,Jonathan Aranda,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,122,-159,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,669394,Jake Burger,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,158,-208,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,676356,Jonny DeLuca,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,182,-244,4,5,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,677649,Ezequiel Duran,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,155,-204,5,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,683748,Victor Mesa Jr.,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,158,-208,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,691406,Junior Caminero,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,102,-132,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
2026-07-30,822946,694671,Wyatt Langford,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:27:29+00:00,130,-169,5,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9
