slate_date,game_pk,batter_mlb_id,player,game,team,opponent,line,over_odds,under_odds,source_timestamp,lineup_status,batting_order,participation_state
2026-07-28,822703,678218,Brandon Valenzuela,TOR @ WSH,TOR,WSH,1.5,178,-238,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,682928,CJ Abrams,TOR @ WSH,WSH,TOR,1.5,106,-137,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,662139,Daulton Varsho,TOR @ WSH,TOR,WSH,1.5,132,-172,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,695734,Daylen Lile,TOR @ WSH,WSH,TOR,1.5,126,-164,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,686611,Dylan Crews,TOR @ WSH,WSH,TOR,1.5,120,-156,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,676391,Ernie Clement,TOR @ WSH,TOR,WSH,1.5,155,-204,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,543807,George Springer,TOR @ WSH,TOR,WSH,1.5,126,-164,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,696285,Jacob Young,TOR @ WSH,WSH,TOR,1.5,199,-270,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,695578,James Wood,TOR @ WSH,WSH,TOR,1.5,120,-156,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,660688,Keibert Ruiz,TOR @ WSH,WSH,TOR,1.5,149,-196,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,664770,Nathan Lukes,TOR @ WSH,TOR,WSH,1.5,155,-204,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,822703,665489,Vladimir Guerrero Jr.,TOR @ WSH,TOR,WSH,1.5,106,-137,2026-07-28T23:29:53Z,UNKNOWN,,PREGAME
2026-07-28,823026,676475,Alec Burleson,CHC @ STL,STL,CHC,1.5,112,-145,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,608324,Alex Bregman,CHC @ STL,CHC,STL,1.5,141,-185,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,691458,Blaze Jordan,CHC @ STL,STL,CHC,1.5,186,-250,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,608348,Carson Kelly,CHC @ STL,CHC,STL,1.5,174,-233,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,664023,Ian Happ,CHC @ STL,CHC,STL,1.5,144,-189,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,802139,JJ Wetherholt,CHC @ STL,STL,CHC,1.5,128,-167,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,691023,Jordan Walker,CHC @ STL,STL,CHC,1.5,112,-145,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
2026-07-28,823026,663457,Lars Nootbaar,CHC @ STL,STL,CHC,1.5,158,-208,2026-07-28T23:29:34Z,UNKNOWN,,PREGAME
