full_name,team,game_id,p_over_18.5,p_over_19.5,p_over_20.5,p_over_21.5,p_over_22.5,p_over_23.5,p_over_24.5,p_over_25.5,p_over_26.5,p_over_27.5,p_over_28.5,p_over_29.5,p_over_30.5,player_id
Semyon Varlamov,NYI,2025020127,7.5916661812502895e-06,2.103668080177812e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8473575
Marcus Hogberg,NYI,2025020127,0.0083424045275216,0.0040674679287709,0.0018972269808776,0.0008479336086137,0.0003636692351735,0.0001498912621848,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8477405
Ilya Sorokin,NYI,2025020127,0.8342707589815699,0.7732707042055013,0.7025800448477573,0.6245602972577987,0.5423656259086496,0.4595375390117437,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478009
Dan Vladar,PHI,2025020127,0.8295987582473164,0.767582948876862,0.6960019051335389,0.6173146604669877,0.5347475162662414,0.4518760479185532,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478435
David Rittich,NYI,2025020127,0.0119771271027615,0.0060490076113399,0.0029236093656448,0.0013543147667934,0.000602172127213,0.0002573534475569,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8479496
Samuel Ersson,PHI,2025020127,0.8638030534952846,0.8097769641455524,0.7454534022278783,0.6725164957465342,0.5935721177683992,0.5118405330269247,0.4166666666666667,0.3535109201846379,0.2827725633718264,0.2203864756135305,0.1673314816940302,0.1237677755546509,0.0891897561452979,8481035
Scott Wedgewood,COL,2025020128,0.8108396747517197,0.7449676722792073,0.6701004347137589,0.589061550495402,0.5053295030937854,0.422576299920323,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8475809
Joonas Korpisalo,BOS,2025020128,0.8429150590485838,0.7838553399392142,0.7148925856560622,0.6382008581569014,0.5567906141340692,0.4741288941968493,0.4166666666666667,0.3185556466016697,0.2510656370428052,0.1926903616566038,0.1440021158149558,0.1047936953459027,0.0742718133433765,8476914
Mackenzie Blackwood,COL,2025020128,0.0171017479775771,0.0089515345377353,0.0044855621392054,0.0021549296949028,0.0009939405609482,0.0004407466807052,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478406
Jeremy Swayman,BOS,2025020128,0.8353268509259533,0.7745595710908328,0.7040743456742168,0.6262102774812637,0.5441046919914416,0.4612908070117529,0.0517857448405628,0.0517857448405628,0.0517857448405628,0.0517857448405628,0.0517857448405628,0.0517857448405628,0.0517857448405628,8480280
Trent Miner,COL,2025020128,0.7113814029795928,0.6302344532007256,0.5443117117671956,0.4576644682338294,0.3742583342517168,0.297462780510127,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8481529
Petr Mrazek,ANA,2025020129,0.8018687184596366,0.7342730840247088,0.6579884639604979,0.575997493375765,0.4918789620798177,0.4093298930085108,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8475852
Andrei Vasilevskiy,TBL,2025020129,0.8218474366704067,0.7581958248819419,0.6852021356655642,0.605481285067242,0.5223709281338256,0.4394940819611602,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476883
Jonas Johansson,TBL,2025020129,0.0131523245814404,0.0067045178586966,0.003270965795626,0.0015296162208228,0.0006866214021347,0.0002962673506716,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8477992
Ville Husso,ANA,2025020129,0.0186520387042551,0.009850113582332,0.0049803583714475,0.002414413666933,0.0011238362263511,0.0005029447608584,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478024
Lukas Dostal,ANA,2025020129,0.8442370162429829,0.7854811630342584,0.7167921448869694,0.6403145571618912,0.5590356852905309,0.4764098242790088,0.4166666666666667,0.3206314215740625,0.2529312294842543,0.1943049540791692,0.1453495725507185,0.1058794378342781,0.0751175119806116,8480843
Sergei Bobrovsky,FLA,2025020130,0.8179850289907467,0.7535408218624915,0.679872398505757,0.5996695918314292,0.5163217475237587,0.4334714596351459,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8475683
Adin Hill,VGK,2025020130,0.8003747927156675,0.7324994192919505,0.6559879678831867,0.5738486011867228,0.489675588116925,0.4071688834268501,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478499
Daniil Tarasov,FLA,2025020130,0.7860755584598991,0.7156250230128507,0.6370701258011133,0.5536495982360363,0.4690887728589823,0.3870988761181702,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480193
Akira Schmid,VGK,2025020130,0.7826971247871336,0.7116646661897333,0.6326597350265538,0.548971915584592,0.4643531045027065,0.3825129518317606,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8481033
Vitek Vanecek,UTA,2025020131,0.7867183909970682,0.7163797112036725,0.6379118326706754,0.5545436545988678,0.4699952681392308,0.3879780222090047,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8477970
Karel Vejmelka,UTA,2025020131,0.7974282671244667,0.7290071629885662,0.6520558566473305,0.569632059787656,0.4853595651842546,0.4029431105554888,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478872
Filip Gustavsson,MIN,2025020131,0.8518833865935378,0.7949233226787561,0.7278689038428096,0.6526901645413408,0.5722340068532081,0.4898736190616546,0.4166666666666667,0.3329844862145473,0.2640788771205142,0.2039922615908844,0.1534672244326919,0.1124472321607932,0.0802542469543821,8479406
Jesper Wallstedt,MIN,2025020131,3.276918153127806e-05,1.0096781880353234e-05,2.968969753713857e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8482661
Anthony Stolarz,TOR,2025020132,0.8407537233975694,0.7812013161270037,0.7117965129454555,0.6347610967313896,0.5531427198887346,0.4704284732146964,0.4166666666666667,0.3151984734069855,0.248053064387252,0.1900871407125853,0.1418329617673245,0.1030485567321364,0.0729146055748991,8476932
Alex Lyon,BUF,2025020132,0.8279275672767678,0.7655539082982917,0.6936615645579837,0.6147438020170727,0.5320518013942241,0.4491723095686748,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8479312
Ukko-Pekka Luukkonen,BUF,2025020132,0.7556707576999155,0.6803312238886334,0.5981480783051543,0.5127686401887707,0.4281004184176341,0.3477880506825044,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480045
Cayden Primeau,TOR,2025020132,1.1527043259129677e-05,3.2910487356430096e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480051
Colten Ellis,BUF,2025020132,0.8666378181592203,0.813334607869653,0.7496950224660789,0.6773327797894348,0.5987923436387043,0.5172525808055057,0.4166666666666667,0.3586396702747528,0.2874762587949412,0.2245405733514879,0.1708691754998252,0.1266766440303667,0.0915018472983311,8481551
Cam Talbot,DET,2025020133,0.7730805288875734,0.7004455048747085,0.620225335426339,0.5358468420613105,0.4511286709093853,0.3697676813469649,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8475660
Jordan Binnington,STL,2025020133,0.7941386682537162,0.7251176296756423,0.6476869186432077,0.5649583127889155,0.4805870055892743,0.3982815364190256,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476412
John Gibson,DET,2025020133,0.8024423457807282,0.7349546715035741,0.6587578370497832,0.5768246030260857,0.4927277238412385,0.4101630049794542,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476434
Joel Hofer,STL,2025020133,0.7645235563085764,0.690528130065972,0.6093059477731579,0.5243966727596072,0.4396676445467983,0.35879453111443,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480981
Tristan Jarry,PIT,2025020134,0.8323168974652291,0.7708892797099874,0.6998226207834444,0.6215195444994919,0.5391648492348741,0.4563148040959225,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8477465
Elvis Merzlikins,CBJ,2025020134,0.8854274637641021,0.8371761890684748,0.7784351603204405,0.7103292179900549,0.6349546079347237,0.5551624895500783,0.4166666666666667,0.3953757308014786,0.3215472969823164,0.2549705388091392,0.1970773641066338,0.1484711136129961,0.1090223297816656,8478007
Arturs Silovs,PIT,2025020134,0.7995247287356845,0.7314910973837745,0.6548517269947172,0.5726291839192831,0.4884263912192828,0.4059448188954245,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8481668
Joel Blomqvist,PIT,2025020134,0.0015252517074249,0.0006374165148999,0.0002545550996054,9.7315638782125e-05,3.567344230870351e-05,1.2558675864471349e-05,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8482446
Jet Greaves,CBJ,2025020134,0.8796956982980069,0.829853756147571,0.7695483202069283,0.7000573033552533,0.62362138532406,0.5432019257717073,0.4166666666666667,0.3836306328244355,0.3105821749007911,0.2451127104622014,0.1885314970242017,0.1413180445449643,0.1032346190713001,8482982
Linus Ullmark,OTT,2025020135,0.7768448575132173,0.7048277385357932,0.625071826391776,0.540951542449709,0.4562609467732162,0.3747033368953884,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476999
Charlie Lindgren,WSH,2025020135,0.7674606610029798,0.6939253233979925,0.613038834939779,0.5283031052414429,0.4435698717750747,0.362523079567483,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8479292
Logan Thompson,WSH,2025020135,0.8507784910625473,0.7935548591916872,0.7262587445077566,0.650885837604487,0.5703040026147586,0.4878989415736288,0.4166666666666667,0.3311619484582244,0.2624293135873617,0.2025545519615949,0.1522589124391244,0.1114667333708894,0.0794851310033156,8480313
Leevi Meriläinen,OTT,2025020135,0.7468147304545463,0.6701935092775964,0.5871233944254095,0.5013502654378375,0.4168118098224701,0.3371129312007391,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8482447
Thatcher Demko,VAN,2025020136,0.8212833687503879,0.7575150829693276,0.6844216639061317,0.6046290829582437,0.5214826997690374,0.4386085555397141,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8477967
Sam Montembeault,MTL,2025020136,0.831134955785984,0.7694506299150419,0.6981590634584605,0.6196875203608033,0.5372390045328592,0.4543783544138161,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8478470
Kevin Lankinen,VAN,2025020136,0.8087708159086675,0.7424945816413666,0.6672919445297646,0.5860240483983181,0.502193640860132,0.4194796486057298,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8480947
Jakub Dobes,MTL,2025020136,0.8474895984407909,0.7894896123187968,0.7214851218490006,0.6455473249587709,0.5646051240094466,0.4820798698843873,0.4166666666666667,0.3258127622928756,0.2575975299076909,0.1983517670645136,0.1487338005782768,0.1086119773152598,0.0772503129408149,8482487
Darcy Kuemper,LAK,2025020137,0.8438941751880772,0.7850593318004429,0.7162990752582327,0.6397656631714319,0.5584524210959165,0.4758169849516199,0.4166666666666667,0.3200914326948118,0.2524457051479992,0.1938845694988283,0.1449985877672409,0.1055965007744509,0.0748970325237242,8475311
Anton Forsberg,LAK,2025020137,0.8048601159982809,0.7378308399581137,0.6620082410861541,0.58032301708041,0.4963219203080601,0.4136950594387256,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,8476341
